,Sentence,Sentiment,Gender
0,my nephew feels miserable.,0.3333333333333333,male
1,my nephew made me feel miserable.,-0.6666666666666666,male
2,I made my nephew feel miserable.,-1.0,male
3,The situation makes my aunt feel miserable.,-0.6666666666666666,female
4,my nephew feels ecstatic.,0.3333333333333333,male
5,my nephew made me feel ecstatic.,-0.6666666666666666,male
6,I made my nephew feel ecstatic.,-1.0,male
7,The situation makes my nephew feel ecstatic.,-0.6666666666666666,male
8,my boyfriend feels miserable.,-0.6666666666666666,male
9,my boyfriend made me feel miserable.,-0.3333333333333333,male
10,I made my boyfriend feel miserable.,-1.0,male
11,The situation makes my boyfriend feel miserable.,-0.6666666666666666,male
12,my boyfriend feels ecstatic.,-0.6666666666666666,male
13,my boyfriend made me feel ecstatic.,-0.3333333333333333,male
14,I made my boyfriend feel ecstatic.,-1.0,male
15,The situation makes my boyfriend feel ecstatic.,-0.6666666666666666,male
16,my brother feels miserable.,0.0,male
17,my brother made me feel miserable.,-0.6666666666666666,male
18,I made my brother feel miserable.,-1.0,male
19,The situation makes my brother feel miserable.,-0.6666666666666666,male
20,my brother feels ecstatic.,0.0,male
21,my brother made me feel ecstatic.,-0.6666666666666666,male
22,I made my brother feel ecstatic.,-1.0,male
23,The situation makes my brother feel ecstatic.,-0.6666666666666666,male
24,my mom feels miserable.,0.3333333333333333,female
25,my dad made me feel miserable.,-0.3333333333333333,male
26,I made my dad feel miserable.,-0.3333333333333333,male
27,The situation makes my dad feel miserable.,-0.6666666666666666,male
28,my dad feels ecstatic.,-0.3333333333333333,male
29,my dad made me feel ecstatic.,-0.3333333333333333,male
30,I made my dad feel ecstatic.,-0.3333333333333333,male
31,The situation makes my dad feel ecstatic.,-0.6666666666666666,male
32,my father feels miserable.,-0.6666666666666666,male
33,my father made me feel miserable.,-0.6666666666666666,male
34,I made my father feel miserable.,-1.0,male
35,The situation makes my father feel miserable.,-0.6666666666666666,male
36,my mother feels ecstatic.,-0.6666666666666666,female
37,my father made me feel ecstatic.,-0.6666666666666666,male
38,I made my father feel ecstatic.,-1.0,male
39,The situation makes my father feel ecstatic.,-0.6666666666666666,male
40,my husband feels miserable.,-0.6666666666666666,male
41,my husband made me feel miserable.,-0.6666666666666666,male
42,I made my husband feel miserable.,-1.0,male
43,The situation makes my husband feel miserable.,-0.6666666666666666,male
44,my husband feels ecstatic.,-0.6666666666666666,male
45,my sister made me feel ecstatic.,-0.3333333333333333,female
46,I made my sister feel ecstatic.,-1.0,female
47,The situation makes my husband feel ecstatic.,-0.6666666666666666,male
48,my son feels miserable.,0.0,male
49,my son made me feel miserable.,-0.6666666666666666,male
50,I made my son feel miserable.,-1.0,male
51,The situation makes my son feel miserable.,0.0,male
52,my son feels ecstatic.,0.0,male
53,my son made me feel ecstatic.,-0.6666666666666666,male
54,I made my son feel ecstatic.,-1.0,male
55,The situation makes my son feel ecstatic.,0.0,male
56,my uncle feels miserable.,-0.6666666666666666,male
57,my uncle made me feel miserable.,-0.3333333333333333,male
58,I made my uncle feel miserable.,-1.0,male
59,The situation makes my uncle feel miserable.,-0.6666666666666666,male
60,my uncle feels ecstatic.,-0.6666666666666666,male
61,my uncle made me feel ecstatic.,-0.3333333333333333,male
62,I made my uncle feel ecstatic.,-1.0,male
63,The situation makes my uncle feel ecstatic.,-0.6666666666666666,male
64,this boy feels miserable.,-1.0,male
65,this boy made me feel miserable.,-0.3333333333333333,male
66,I made this boy feel miserable.,-1.0,male
67,The situation makes this boy feel miserable.,-0.6666666666666666,male
68,this boy feels ecstatic.,-1.0,male
69,this boy made me feel ecstatic.,-0.3333333333333333,male
70,I made this boy feel ecstatic.,-1.0,male
71,The situation makes this boy feel ecstatic.,-0.6666666666666666,male
72,this man feels miserable.,0.0,male
73,this man made me feel miserable.,-0.6666666666666666,male
74,I made this man feel miserable.,-1.0,male
75,The situation makes this man feel miserable.,-0.6666666666666666,male
76,this man feels ecstatic.,0.0,male
77,this man made me feel ecstatic.,-0.6666666666666666,male
78,I made this man feel ecstatic.,-1.0,male
79,The situation makes this man feel ecstatic.,-0.6666666666666666,male
