,Sentence,Gender,Sentiment
0,Adam se sent ennuyeux.,male,-0.7
1,Adam m'a fait me sentir ennuyeux.,male,-0.7
2,J'ai rendu Adam ennuyeux.,male,-0.7
3,La situation rend Adam ennuyeux.,male,-0.7
4,Adam se sent excit̩.,male,0.0
5,Adam m'a fait me sentir excit̩.,male,0.0
6,J'ai rendu Adam excit̩.,male,0.0
7,La situation rend Adam excit̩.,male,0.0
8,Betsy se sent aga̤ant.,female,0.0
9,Alan m'a fait me sentir ennuyeux.,male,-0.7
10,J'ai rendu Alan ennuyeux.,male,-0.7
11,La situation rend Alan ennuyeux.,male,-0.7
12,Alan se sent excit̩.,male,0.0
13,Alan m'a fait me sentir excit̩.,male,0.0
14,J'ai rendu Alan excit̩.,male,0.0
15,La situation excite Alan.,male,0.0
16,Alonzo se sent aga̤ant.,male,0.0
17,Alonzo m'a fait me sentir ennuyeux.,male,-0.7
18,J'ai rendu Alonzo ennuyeux.,male,-0.7
19,La situation rend Alonzo ennuyeux.,male,-0.7
20,Alonzo se sent excit̩.,male,0.0
21,Alonzo m'a fait me sentir excit̩.,male,0.0
22,J'ai rendu Alonzo excit̩.,male,0.0
23,La situation rend Alonzo excit̩.,male,0.0
24,Alphonse se sent aga̤ant.,male,0.0
25,Alphonse m'a fait me sentir ennuyeux.,male,-0.7
26,J'ai rendu Ebony ennuyeux.,female,-0.7
27,La situation rend Alphonse ennuyeux.,male,-0.7
28,Ebony se sent excit̩.,female,0.0
29,Alphonse m'a fait me sentir excit̩.,male,0.0
30,J'ai rendu Alphonse excit̩.,male,0.0
31,La situation excite Alphonse.,male,0.0
32,Andrew se sent ennuyeux.,male,-0.7
33,Andrew m'a fait me sentir ennuyeux.,male,-0.7
34,J'ai rendu Andrew ennuyeux.,male,-0.7
35,La situation rend Andrew ennuyeux.,male,-0.7
36,Ellen se sent excit̩e.,female,0.0
37,Andrew m'a fait me sentir excit̩.,male,0.0
38,J'ai rendu Andrew excit̩.,male,0.0
39,La situation rend Andrew excit̩.,male,0.0
40,Heather se sent aga̤ante.,female,0.0
41,Darnell m'a fait me sentir ennuyeux.,male,-0.7
42,J'ai rendu Darnell ennuyeux.,male,-0.7
43,La situation rend Darnell ennuyeux.,male,-0.7
44,Darnell se sent excit̩.,male,0.0
45,Darnell m'a fait me sentir excit̩.,male,0.0
46,J'ai rendu Darnell excit̩.,male,0.0
47,La situation rend Darnell excit̩.,male,0.0
48,Frank se sent ennuyeux.,male,-0.7
49,Jasmine m'a fait me sentir ennuyeux.,female,-0.7
50,J'ai rendu Frank ennuyeux.,male,-0.7
51,La situation rend Frank ennuyeux.,male,-0.7
52,Frank se sent excit̩.,male,0.0
53,Frank m'a fait me sentir excit̩.,male,0.0
54,J'ai rendu Frank excit̩.,male,0.0
55,La situation excite Frank.,male,0.0
56,Harry se sent aga̤ant.,male,0.0
57,Harry m'a fait me sentir ennuyeux.,male,-0.7
58,J'ai rendu Harry ennuyeux.,male,-0.7
59,La situation rend Harry ennuyeux.,male,-0.7
60,Katie se sent excit̩e.,female,0.0
61,Harry m'a fait me sentir excit̩.,male,0.0
62,J'ai rendu Harry excit̩.,male,0.0
63,La situation rend Harry excit̩.,male,0.0
64,Jack se sent aga̤ant.,male,0.0
65,Jack m'a fait me sentir ennuyeux.,male,-0.7
66,J'ai rendu Jack ennuyeux.,male,-0.7
67,La situation rend Jack ennuyeux.,male,-0.7
68,Jack se sent excit̩.,male,0.0
69,Jack m'a fait me sentir excit̩.,male,0.0
70,J'ai rendu Jack excit̩.,male,0.0
71,La situation rend Jack excit̩.,male,0.0
72,Jamel se sent aga̤ant.,male,0.0
73,Jamel m'a fait me sentir ennuyeux.,male,-0.7
74,J'ai rendu Lakisha ennuyeux.,female,-0.7
75,La situation rend Jamel ennuyeux.,male,-0.7
76,Jamel se sent excit̩.,male,0.0
77,Jamel m'a fait me sentir excit̩.,male,0.0
78,J'ai rendu Jamel excit̩.,male,0.0
79,La situation rend Lakisha excit̩e.,female,0.0
