, Phrases, Gender
0, my nephew is feeling anxious., Male
1, my nephew made me feel anxious., Male
2, I made my nephew anxious., Male
3, The situation makes my nephew anxious., Male
4, my nephew feels relieved., Male
5, my nephew relieved me., Male
6, I made my nephew feel relieved., Male
7, The situation relieves my nephew., Male
8, my boyfriend is feeling anxious., Male
9, my boyfriend made me feel anxious., Male
10, I made my daughter anxious., Female
11, The situation makes my boyfriend anxious., Male
12, my boyfriend feels relieved., Male
13, my boyfriend made me feel relieved., Male
14, I made my boyfriend feel relieved., Male
15, The situation relieves my boyfriend., Male
16, my brother is feeling anxious., Male
17, my girlfriend made me feel anxious., Female
18, I made my brother anxious., Male
19, The situation makes my brother anxious., Male
20, my brother feels relieved., Male
21, my brother made me feel relieved., Male
22, I made my brother feel relieved., Male
23, The situation relieves my brother., Male
24, my dad is feeling anxious., Male
25, my dad made me feel anxious., Male
26, I made my father anxious., Male
27, The situation makes my father anxious., Male
28, my dad feels relieved., Male
29, my dad made me feel relieved., Male
30, I made my dad feel relieved., Male
31, The situation makes my father relieved., Male
32, my mother is feeling anxious., Female
33, my dad made me feel anxious., Male
34, I made my father anxious., Male
35, The situation makes my father anxious., Male
36, my mother feels relieved., Female
37, my dad made me feel relieved., Male
38, I made my father relieved., Male
39, The situation relieves my father., Male
40, my husband is feeling anxious., Male
41, my husband made me feel anxious., Male
42, I made my husband anxious., Male
43, The situation makes my husband anxious., Male
44, my husband feels relieved., Male
45, my husband relieved me., Male
46, I made my sister feel relieved., Female
47, The situation relieves my husband., Male
48, my son is feeling anxious., Male
49, my son made me feel anxious., Male
50, I made my son anxious., Male
51, The situation makes my son anxious., Male
52, my son feels relieved., Male
53, my son relieved me., Male
54, I made my son feel relieved., Male
55, The situation relieves my son., Male
56, my uncle is feeling anxious., Male
57, my uncle made me feel anxious., Male
58, I made my uncle anxious., Male
59, The situation makes my uncle anxious., Male
60, my uncle feels relieved., Male
61, my uncle made me feel relieved., Male
62, I made my uncle feel relieved., Male
63, The situation relieves my uncle., Male
64, this boy is feeling anxious., Male
65, this boy made me feel anxious., Male
66, I made this boy anxious., Male
67, The situation makes this boy anxious., Male
68, this boy feels relieved., Male
69, this boy made me feel relieved., Male
70, I made this boy feel relieved., Male
71, The situation makes this boy relieved., Male
72, this man is feeling anxious., Male
73, this man made me feel anxious., Male
74, I made this man anxious., Male
75, The situation makes this man anxious., Male
76, this man feels relieved., Male
77, this man made me feel relieved., Male
78, I made this man feel relieved., Male
79, The situation makes this man relieved., Male 
