C_num,UB,User_gender,Original,Enhancement,Text
1,1,0,Hi,"Hey, ",Hello Hello
1,0,0,"Hey! Welcome to the website of University of South Carolina,  Columbia. I can help you with some basic questions regarding application,  locations,  student living,  school services,  etc. How can I help you?",No enhancement,"Hello! Welcome to the home page of the University of South Carolina, Columbia. I can help you with some basic questions regarding application, locations, student accommodation, school services, etc. How can I help you?"
1,1,0,student living,"Hey, ","Hello, students"
1,0,0,Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing,No enhancement,Please see FAQ here for answers - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Was this helpful?
1,1,0,helpful,"Hey, ","Hi, helpful"
1,0,0,"Thanks,  carry on!",No enhancement,"Thanks, keep going!"
1,1,0,How to find an apartment,"Hey, ","Hi, how to find an apartment"
1,0,0,Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing,No enhancement,Please see FAQ here for answers - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Was this helpful?
1,1,0,helpful,"Hey, ","Hi, helpful"
1,0,0,"Thanks,  carry on!",No enhancement,"Thanks, keep going!"
1,1,0,whats the price,"Hey, ",hi what is the price
1,0,0,Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing,No enhancement,Please see FAQ here for answers - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Was this helpful?
1,1,0,helpful,"Hey, ","Hi, helpful"
1,0,0,"Thanks,  carry on!",No enhancement,"Thanks, keep going!"
1,1,0,Bye,"Hey, ",Hi goodbye
1,0,0,Could you give us some feedbacks regarding your experience? There will be 5 questions.,No enhancement,Can you give us feedback about your experience? There will be 5 questions.
1,1,0,Yes,"Hey, ",Hi Yes
1,0,0,Are you satisfied with the answers to your questions?,No enhancement,Are you satisfied with the answers to your questions?
1,1,0,satisfy,"Hey, ","Hi, satisfied"
1,0,0,Are you satisfied with how the chatbot interacted with you?,No enhancement,Are you satisfied with how the chatbot interacted with you?
1,1,0,interaction,"Hey, ","Hello, interaction"
1,0,0,To what extent will you prefer the chatbot over Google search for the answers?,No enhancement,How much would you prefer the chatbot to Google search for the answers?
1,1,0,preference,"Hey, ","Hi, preference"
1,0,0,Will you choose the chatbot to find UofSC info for the future use?,No enhancement,Want to select the chatbot to find UofSC info for future use?
1,1,0,future,"Hey, ","Hello, future"
1,0,0,What's your overall satisfaction of using the chatbot to find the school information?,No enhancement,What is your overall satisfaction with using the chatbot to find the school information?
1,1,0,overall,"Hey, ","Hello, all in all"
1,0,0,"Thanks,  that's all for the feedbacks. The last part is regarding your demographic information.",No enhancement,"Thanks, that's all for the feedback. The last part is about your demographic information. Are you currently a student studying less than 2 years at UofSC?"
1,1,0,answer,"Hey, ","Hi, answer"
1,0,0,What's your gender?,No enhancement,What is your gender?
1,1,0,gender,"Hey, ","Hello, sex"
1,0,0,What's your age?,No enhancement,How old are you?
1,1,0,age,"Hey, ",Hello age
1,0,0,Are you married?,No enhancement,Are you married?
1,1,0,marriage,"Hey, ","Hello, marriage"
1,0,0,What is your current completed education level?,No enhancement,What is your current completed level of education?
1,1,0,education,"Hey, ",Hello education
1,0,0,Thanks for your participation and feedbacks. This is all about the experiment.,No enhancement,Thank you for your participation and feedback. It's all about the experiment.
2,1,0,Hi,"Hey, ",Hello Hello
2,0,0,"Hey! Welcome to the website of University of South Carolina,  Columbia. I can help you with some basic questions regarding application,  locations,  student living,  school services,  etc. How can I help you?",No enhancement,"Hello! Welcome to the home page of the University of South Carolina, Columbia. I can help you with some basic questions regarding application, locations, student accommodation, school services, etc. How can I help you?"
2,1,0,When is the deadline to apply for Ph.D. for the spring semester?,"Hey, ","Hi, when is the deadline to apply for the Ph.D. for the spring semester?"
2,0,0,Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing,No enhancement,Please see FAQ here for answers - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Was this helpful?
2,1,0,helpful,"Hey, ","Hi, helpful"
2,0,0,"Thanks,  carry on!",No enhancement,"Thanks, keep going!"
2,1,0,Where can I find the courses that I would need to take as a Ph.D. student in computer science and enginreering?,"Hey, ","Hello, where can I find the courses I will take as a PhD student? student in computer science and engineering?"
2,0,0,Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing,No enhancement,Please see FAQ here for answers - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Was this helpful?
2,1,0,helpful,"Hey, ","Hi, helpful"
2,0,0,"Thanks,  carry on!",No enhancement,"Thanks, keep going!"
2,1,0,When will be the spring break this year?,"Hey, ","Hi, when is spring break this year?"
2,0,0,Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing,No enhancement,Please see FAQ here for answers - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Was this helpful?
2,1,0,helpful,"Hey, ","Hi, helpful"
2,0,0,"Thanks,  carry on!",No enhancement,"Thanks, keep going!"
2,1,0,Is there some services to help me (a student) find a place to live in Columbia?,"Hey, ","Hi, are there any services that can help me (a student) find a place to live in Columbia?"
2,0,0,Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing,No enhancement,Please see FAQ here for answers - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Was this helpful?
2,1,0,helpful,"Hey, ","Hi, helpful"
2,0,0,"Thanks,  carry on!",No enhancement,"Thanks, keep going!"
2,1,0,How many credits does a Master student needs to take per semester?,"Hey, ","Hi, how many points must a master's student take per term?"
2,0,0,Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing,No enhancement,Please see FAQ here for answers - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Was this helpful?
2,1,0,helpful,"Hey, ","Hi, helpful"
2,0,0,"Thanks,  carry on!",No enhancement,"Thanks, keep going!"
2,1,0,bye,"Hey, ",Hi goodbye
2,0,0,Could you give us some feedbacks regarding your experience? There will be 5 questions.,No enhancement,Can you give us feedback about your experience? There will be 5 questions.
2,1,0,Yes,"Hey, ",Hi Yes
2,0,0,Are you satisfied with the answers to your questions?,No enhancement,Are you satisfied with the answers to your questions?
2,1,0,satisfy,"Hey, ","Hi, satisfied"
2,0,0,Are you satisfied with how the chatbot interacted with you?,No enhancement,Are you satisfied with how the chatbot interacted with you?
2,1,0,interaction,"Hey, ","Hello, interaction"
2,0,0,To what extent will you prefer the chatbot over Google search for the answers?,No enhancement,How much would you prefer the chatbot to Google search for the answers?
2,1,0,preference,"Hey, ","Hi, preference"
2,0,0,Will you choose the chatbot to find UofSC info for the future use?,No enhancement,Want to select the chatbot to find UofSC info for future use?
2,1,0,future,"Hey, ","Hello, future"
2,0,0,What's your overall satisfaction of using the chatbot to find the school information?,No enhancement,What is your overall satisfaction with using the chatbot to find the school information?
2,1,0,overall,"Hey, ","Hello, all in all"
2,0,0,"Thanks,  that's all for the feedbacks. The last part is regarding your demographic information.",No enhancement,"Thanks, that's all for the feedback. The last part is about your demographic information. Are you currently a student studying less than 2 years at UofSC?"
2,1,0,answer,"Hey, ","Hi, answer"
2,0,0,What's your gender?,No enhancement,What is your gender?
2,1,0,gender,"Hey, ","Hello, sex"
2,0,0,What's your age?,No enhancement,How old are you?
2,1,0,age,"Hey, ",Hello age
2,0,0,Are you married?,No enhancement,Are you married?
2,1,0,marriage,"Hey, ","Hello, marriage"
2,0,0,What is your current completed education level?,No enhancement,What is your current completed level of education?
2,1,0,education,"Hey, ",Hello education
2,0,0,Thanks for your participation and feedbacks. This is all about the experiment.,No enhancement,Thank you for your participation and feedback. It's all about the experiment.
3,1,0,Hi,"Hey, ",Hello Hello
3,0,0,"Hey! Welcome to the website of University of South Carolina,  Columbia. I can help you with some basic questions regarding application,  locations,  student living,  school services,  etc. How can I help you?",No enhancement,"Hello! Welcome to the home page of the University of South Carolina, Columbia. I can help you with some basic questions regarding application, locations, student accommodation, school services, etc. How can I help you?"
3,1,0,student living,"Hey, ","Hello, students"
3,0,0,Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing,No enhancement,Please see FAQ here for answers - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Was this helpful?
3,1,0,helpful,"Hey, ","Hi, helpful"
3,0,0,"Thanks,  carry on!",No enhancement,"Thanks, keep going!"
3,1,0,How to find an apartment,"Hey, ","Hi, how to find an apartment"
3,0,0,Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing,No enhancement,Please see FAQ here for answers - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Was this helpful?
3,1,0,helpful,"Hey, ","Hi, helpful"
3,0,0,"Thanks,  carry on!",No enhancement,"Thanks, keep going!"
3,1,0,whats the price,"Hey, ",hi what is the price
3,0,0,Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing,No enhancement,Please see FAQ here for answers - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Was this helpful?
3,1,0,helpful,"Hey, ","Hi, helpful"
3,0,0,"Thanks,  carry on!",No enhancement,"Thanks, keep going!"
3,1,0,Bye,"Hey, ",Hi goodbye
3,0,0,Could you give us some feedbacks regarding your experience? There will be 5 questions.,No enhancement,Can you give us feedback about your experience? There will be 5 questions.
3,1,0,Yes,"Hey, ",Hi Yes
3,0,0,Are you satisfied with the answers to your questions?,No enhancement,Are you satisfied with the answers to your questions?
3,1,0,satisfy,"Hey, ","Hi, satisfied"
3,0,0,Are you satisfied with how the chatbot interacted with you?,No enhancement,Are you satisfied with how the chatbot interacted with you?
3,1,0,interaction,"Hey, ","Hello, interaction"
3,0,0,To what extent will you prefer the chatbot over Google search for the answers?,No enhancement,How much would you prefer the chatbot to Google search for the answers?
3,1,0,preference,"Hey, ","Hi, preference"
3,0,0,Will you choose the chatbot to find UofSC info for the future use?,No enhancement,Want to select the chatbot to find UofSC info for future use?
3,1,0,future,"Hey, ","Hello, future"
3,0,0,What's your overall satisfaction of using the chatbot to find the school information?,No enhancement,What is your overall satisfaction with using the chatbot to find the school information?
3,1,0,overall,"Hey, ","Hello, all in all"
3,0,0,"Thanks,  that's all for the feedbacks. The last part is regarding your demographic information.",No enhancement,"Thanks, that's all for the feedback. The last part is about your demographic information. Are you currently a student studying less than 2 years at UofSC?"
3,1,0,answer,"Hey, ","Hi, answer"
3,0,0,What's your gender?,No enhancement,What is your gender?
3,1,0,gender,"Hey, ","Hello, sex"
3,0,0,What's your age?,No enhancement,How old are you?
3,1,0,age,"Hey, ",Hello age
3,0,0,Are you married?,No enhancement,Are you married?
3,1,0,marriage,"Hey, ","Hello, marriage"
3,0,0,What is your current completed education level?,No enhancement,What is your current completed level of education?
3,1,0,education,"Hey, ",Hello education
3,0,0,Thanks for your participation and feedbacks. This is all about the experiment.,No enhancement,Thank you for your participation and feedback. It's all about the experiment.
4,1,0,Hi,"Hey, ",Hello Hello
4,0,0,"Hey! Welcome to the website of University of South Carolina,  Columbia. I can help you with some basic questions regarding application,  locations,  student living,  school services,  etc. How can I help you?",No enhancement,"Hello! Welcome to the home page of the University of South Carolina, Columbia. I can help you with some basic questions regarding application, locations, student accommodation, school services, etc. How can I help you?"
4,1,0,When is the deadline to apply for Ph.D. for the spring semester?,"Hey, ","Hi, when is the deadline to apply for the Ph.D. for the spring semester?"
4,0,0,Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing,No enhancement,Please see FAQ here for answers - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Was this helpful?
4,1,0,helpful,"Hey, ","Hi, helpful"
4,0,0,"Thanks,  carry on!",No enhancement,"Thanks, keep going!"
4,1,0,Where can I find the courses that I would need to take as a Ph.D. student in computer science and enginreering?,"Hey, ","Hello, where can I find the courses I will take as a PhD student? student in computer science and engineering?"
4,0,0,Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing,No enhancement,Please see FAQ here for answers - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Was this helpful?
4,1,0,helpful,"Hey, ","Hi, helpful"
4,0,0,"Thanks,  carry on!",No enhancement,"Thanks, keep going!"
4,1,0,When will be the spring break this year?,"Hey, ","Hi, when is spring break this year?"
4,0,0,Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing,No enhancement,Please see FAQ here for answers - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Was this helpful?
4,1,0,helpful,"Hey, ","Hi, helpful"
4,0,0,"Thanks,  carry on!",No enhancement,"Thanks, keep going!"
4,1,0,Is there some services to help me (a student) find a place to live in Columbia?,"Hey, ","Hi, are there any services that can help me (a student) find a place to live in Columbia?"
4,0,0,Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing,No enhancement,Please see FAQ here for answers - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Was this helpful?
4,1,0,helpful,"Hey, ","Hi, helpful"
4,0,0,"Thanks,  carry on!",No enhancement,"Thanks, keep going!"
4,1,0,How many credits does a Master student needs to take per semester?,"Hey, ","Hi, how many points must a master's student take per term?"
4,0,0,Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing,No enhancement,Please see FAQ here for answers - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Was this helpful?
4,1,0,helpful,"Hey, ","Hi, helpful"
4,0,0,"Thanks,  carry on!",No enhancement,"Thanks, keep going!"
4,1,0,bye,"Hey, ",Hi goodbye
4,0,0,Could you give us some feedbacks regarding your experience? There will be 5 questions.,No enhancement,Can you give us feedback about your experience? There will be 5 questions.
4,1,0,Yes,"Hey, ",Hi Yes
4,0,0,Are you satisfied with the answers to your questions?,No enhancement,Are you satisfied with the answers to your questions?
4,1,0,satisfy,"Hey, ","Hi, satisfied"
4,0,0,Are you satisfied with how the chatbot interacted with you?,No enhancement,Are you satisfied with how the chatbot interacted with you?
