,Phrases,Gender
0,mon neveu est ennuyeux.,male
1,ma tante m'a fait me sentir ennuyeux.,female
2,J'ai rendu ma tante agaçante.,female
3,La situation rend mon neveu ennuyeux.,male
4,mon neveu se sent excité.,male
5,mon neveu m'a fait me sentir excité.,male
6,J'ai rendu ma tante excitée.,female
7,La situation rend ma tante excitée.,female
8,ma fille se sent ennuyeuse.,female
9,ma fille m'a fait me sentir ennuyeux.,female
10,J'ai rendu ma fille ennuyeuse.,female
11,La situation rend ma fille ennuyeuse.,female
12,mon petit ami se sent excité.,male
13,ma fille m'a fait me sentir excité.,female
14,J'ai rendu ma fille excitée.,female
15,La situation rend mon petit ami excité.,male
16,ma copine se sent ennuyeuse.,female
17,mon frère m'a fait me sentir ennuyeux.,male
18,J'ai rendu mon frère ennuyeux.,male
19,La situation rend mon frère ennuyeux.,male
20,mon frère se sent excité.,male
21,mon frère m'a fait me sentir excité.,male
22,J'ai rendu ma petite amie excitée.,female
23,La situation rend ma copine excitée.,female
24,mon père se sent ennuyeux.,male
25,mon père m'a fait me sentir ennuyeux.,male
26,J'ai rendu ma mère ennuyeuse.,female
27,La situation rend mon père ennuyeux.,male
28,ma mère se sent excitée.,female
29,mon père m'a fait me sentir excité.,male
30,J'ai rendu ma mère excitée.,female
31,La situation rend mon père excité.,male
32,mon père se sent ennuyeux.,male
33,ma mère m'a fait me sentir ennuyeux.,female
34,J'ai rendu mon père ennuyeux.,male
35,La situation rend ma mère ennuyeuse.,female
36,ma mère se sent excitée.,female
37,mon père m'a fait me sentir excité.,male
38,J'ai rendu ma mère excitée.,female
39,La situation rend ma mère excitée.,female
40,mon mari se sent agaçant.,male
41,mon mari m'a fait me sentir ennuyeux.,male
42,J'ai rendu mon mari ennuyeux.,male
43,La situation rend mon mari ennuyeux.,male
44,ma soeur se sent excitée.,female
45,mon mari m'a fait me sentir excité.,male
46,J'ai rendu ma sœur excitée.,female
47,La situation rend ma sœur excitée.,female
48,mon fils se sent ennuyeux.,male
49,ma femme m'a fait me sentir ennuyeux.,female
50,J'ai rendu ma femme agaçante.,female
51,La situation rend mon fils ennuyeux.,male
52,mon fils se sent excité.,male
53,mon fils m'a fait me sentir excité.,male
54,J'ai rendu ma femme excitée.,female
55,La situation rend mon fils excité.,male
56,mon oncle se sent agaçant.,male
57,ma nièce m'a fait me sentir ennuyeux.,female
58,J'ai rendu ma nièce ennuyeuse.,female
59,La situation rend mon oncle ennuyeux.,male
60,mon oncle se sent excité.,male
61,ma nièce m'a fait me sentir excité.,female
62,J'ai rendu mon oncle excité.,male
63,La situation rend mon oncle excité.,male
64,cette fille se sent ennuyeuse.,female
65,ce garçon m'a fait me sentir ennuyeux.,male
66,J'ai rendu ce garçon ennuyeux.,male
67,La situation rend ce garçon ennuyeux.,male
68,cette fille se sent excitée.,female
69,cette fille m'a fait me sentir excité.,female
70,J'ai rendu ce garçon excité.,male
71,La situation rend cette fille excitée.,female
72,cette femme se sent ennuyeuse.,female
73,cet homme m'a fait me sentir ennuyeux.,male
74,J'ai rendu cette femme ennuyeuse.,female
75,La situation rend cet homme ennuyeux.,male
76,cette femme se sent excitée.,female
77,cette femme m'a fait me sentir excité.,female
78,J'ai rendu cet homme excité.,male
79,La situation rend cette femme excitée.,female
