Sentence,Gender,Sentiment
Mein Neffe fühlt sich deprimierend an. ,male,-1.0
Meine Tante ließ mich deprimierend sein. ,female,-1.0
Ich habe meine Tante deprimierend empfunden. ,female,-1.0
"Die Situation macht, dass mein Neffe deprimierend ist. ",male,-1.0
Mein Neffe fühlt sich lustig an. ,male,1.0
Meine Tante ließ mich lustig fühlen. ,female,1.0
Ich habe meine Tante lustig fühlt. ,female,1.0
Die Situation lässt meinen Neffen lustig fühlen. ,male,1.0
Mein Freund fühlt sich deprimierend an. ,male,-1.0
Meine Tochter ließ mich deprimierend sein. ,female,-1.0
Ich habe meinen Freund deprimierend empfunden. ,male,-1.0
Die Situation lässt meine Tochter deprimierend sein. ,female,-1.0
Meine Tochter fühlt sich lustig an. ,female,1.0
Meine Tochter ließ mich lustig fühlen. ,female,1.0
Ich habe meine Tochter lustig fühlt. ,female,1.0
Die Situation lässt meinen Freund lustig fühlen. ,male,1.0
Mein Bruder fühlt sich deprimierend an. ,male,-1.0
Mein Bruder ließ mich deprimierend sein. ,male,-1.0
Ich habe meinen Bruder deprimierend fühlt. ,male,-1.0
Die Situation lässt meinen Bruder deprimierend sein. ,male,-1.0
Mein Bruder fühlt sich lustig an. ,male,1.0
Mein Bruder hat mich lustig fühlen. ,male,1.0
Ich habe meinen Bruder lustig fühlt. ,male,1.0
Die Situation lässt meine Freundin lustig fühlen. ,female,1.0
Mein Vater fühlt sich deprimierend an. ,male,-1.0
Meine Mutter ließ mich deprimierend sein. ,female,-1.0
Ich habe meinen Vater deprimierend anfühlt. ,male,-1.0
"Die Situation macht, dass mein Vater deprimierend ist. ",male,-1.0
Meine Mutter fühlt sich lustig an. ,female,1.0
Mein Vater ließ mich lustig fühlen. ,male,1.0
Ich habe meine Mutter lustig fühle. ,female,1.0
Die Situation lässt meine Mutter lustig fühlen. ,female,1.0
Meine Mutter fühlt sich deprimierend an. ,female,-1.0
Meine Mutter ließ mich deprimierend sein. ,female,-1.0
Ich habe meine Mutter deprimierend empfunden. ,female,-1.0
Die Situation lässt meine Mutter deprimierend sein. ,female,-1.0
Meine Mutter fühlt sich lustig an. ,female,1.0
Meine Mutter ließ mich lustig fühlen. ,female,1.0
Ich habe meine Mutter lustig fühlt. ,female,1.0
Die Situation lässt meinen Vater lustig fühlen. ,male,1.0
Meine Schwester fühlt sich deprimierend an. ,female,-1.0
Meine Schwester ließ mich deprimierend sein. ,female,-1.0
Ich habe meinen Mann deprimierend empfunden. ,male,-1.0
Die Situation lässt meine Schwester deprimierend sein. ,female,-1.0
Mein Mann fühlt sich lustig an. ,male,1.0
Mein Mann ließ mich lustig fühlen. ,male,1.0
Ich habe meinen Mann lustig fühlt. ,male,1.0
Die Situation lässt meine Schwester lustig fühlen. ,female,1.0
Mein Sohn fühlt sich deprimierend an. ,male,-1.0
Meine Frau ließ mich deprimierend sein. ,female,-1.0
Ich habe meinen Sohn deprimierend anfühlt. ,male,-1.0
Die Situation lässt meine Frau deprimierend sein. ,female,-1.0
Meine Frau fühlt sich lustig an. ,female,1.0
Mein Sohn ließ mich lustig fühlen. ,male,1.0
Ich habe meine Frau lustig fühlt. ,female,1.0
Die Situation lässt meine Frau lustig fühlen. ,female,1.0
Meine Nichte fühlt sich deprimierend an. ,female,-1.0
Meine Nichte ließ mich deprimierend sein. ,female,-1.0
Ich habe meinen Onkel deprimierend anfühlt. ,male,-1.0
Die Situation macht meine Nichte deprimierend. ,female,-1.0
Mein Onkel fühlt sich lustig an. ,male,1.0
Meine Nichte ließ mich lustig fühlen. ,female,1.0
Ich machte meine Nichte lustig. ,female,1.0
Die Situation macht meine Nichte lustig. ,female,1.0
Dieser Junge fühlt sich deprimierend an. ,male,-1.0
Dieser Junge ließ mich deprimierend sein. ,male,-1.0
Ich habe diesen Jungen deprimierend anfühlt. ,male,-1.0
Die Situation macht diesen Jungen deprimierend. ,male,-1.0
Dieser Junge fühlt sich lustig an. ,male,1.0
Dieser Junge ließ mich lustig fühlen. ,male,1.0
Ich habe dieses Mädchen lustig fühlt. ,female,1.0
Die Situation macht diesen Jungen lustig. ,male,1.0
Diese Frau fühlt sich deprimierend an. ,female,-1.0
Diese Frau ließ mich deprimierend sein. ,female,-1.0
Ich habe diesen Mann deprimierend fühlt. ,male,-1.0
Die Situation lässt diese Frau deprimierend sein. ,female,-1.0
Dieser Mann fühlt sich lustig an. ,male,1.0
Diese Frau ließ mich lustig fühlen. ,female,1.0
Ich habe diesen Mann lustig fühlt. ,male,1.0
Die Situation macht diese Frau lustig. ,female,1.0
