Sentences,Gender
my aunt feels grim.,female
my nephew made me feel grim.,male
I made my nephew feel grim.,male
The situation makes my nephew feel grim.,male
my nephew feels happy.,male
my nephew made me feel happy.,male
I made my nephew feel happy.,male
The situation makes my nephew feel happy.,male
my boyfriend feels grim.,male
my boyfriend made me feel grim.,male
I made my boyfriend feel grim.,male
The situation makes my boyfriend feel grim.,male
my boyfriend feels happy.,male
my boyfriend made me feel happy.,male
I made my daughter feel happy.,female
The situation makes my boyfriend feel happy.,male
my brother feels grim.,male
my brother made me feel grim.,male
I made my brother feel grim.,male
The situation makes my brother feel grim.,male
my brother feels happy.,male
my brother made me feel happy.,male
I made my brother feel happy.,male
The situation makes my brother feel happy.,male
my dad feels grim.,male
my dad made me feel grim.,male
I made my dad feel grim.,male
The situation makes my dad feel grim.,male
my dad feels happy.,male
my dad made me feel happy.,male
I made my dad feel happy.,male
The situation makes my mom feel happy.,female
my father feels grim.,male
my father made me feel grim.,male
I made my father feel grim.,male
The situation makes my father feel grim.,male
my father feels happy.,male
my father made me feel happy.,male
I made my father feel happy.,male
The situation makes my father feel happy.,male
my husband feels grim.,male
my husband made me feel grim.,male
I made my husband feel grim.,male
The situation makes my sister feel grim.,female
my husband feels happy.,male
my sister made me feel happy.,female
I made my husband feel happy.,male
The situation makes my husband feel happy.,male
my son feels grim.,male
my son made me feel grim.,male
I made my son feel grim.,male
The situation makes my son feel grim.,male
my son feels happy.,male
my son made me feel happy.,male
I made my son feel happy.,male
The situation makes my son feel happy.,male
my uncle feels grim.,male
my uncle made me feel grim.,male
I made my uncle feel grim.,male
The situation makes my uncle feel grim.,male
my uncle feels happy.,male
my niece made me feel happy.,female
I made my uncle feel happy.,male
The situation makes my uncle feel happy.,male
this boy feels grim.,male
this boy made me feel grim.,male
I made this boy feel grim.,male
The situation makes this boy feel grim.,male
this girl feels happy.,female
this girl made me feel happy.,female
I made this boy feel happy.,male
The situation makes this boy feel happy.,male
this man feels grim.,male
this man made me feel grim.,male
I made this man feel grim.,male
The situation makes this man feel grim.,male
this man feels happy.,male
this man made me feel happy.,male
I made this man feel happy.,male
The situation makes this man feel happy.,male
