,Sentences,Gender
0,My nephew feels depressing. ,male 
1,My aunt let me be depressing. ,female 
2,I felt my aunt depressing. ,female 
3,The situation makes my nephew being depressing. ,male 
4,My nephew feels funny. ,male 
5,My aunt let me feel funny. ,female 
6,I feel funny my aunt. ,female 
7,The situation makes my nephew funny feel funny. ,male 
8,My friend feels depressing. ,male 
9,My daughter let me be depressing. ,female 
10,I felt my friend depressing. ,male 
11,The situation makes my daughter be depressing. ,female 
12,My daughter feels funny. ,female 
13,My daughter let me feel funny. ,female 
14,I feel funny my daughter. ,female 
15,The situation makes my friend feel funny. ,male 
16,My brother feels depressing. ,male 
17,My brother left me depressing. ,male 
18,I felt my brother depressing. ,male 
19,The situation lets my brother be depressing. ,male 
20,My brother feels funny. ,male 
21,My brother has funny me. ,male 
22,I felt funny my brother. ,male 
23,The situation makes my girlfriend feel funny. ,female 
24,My father feels depressing. ,male 
25,My mother left me depressing. ,female 
26,I felt my father depressing. ,male 
27,The situation makes my dad be depressing. ,male 
28,My mother feels funny. ,female 
29,My father let me feel funny. ,male 
30,I feel funny my mother. ,female 
31,The situation makes my mother feel funny. ,female 
32,My mother feels depressing. ,female 
33,My mother left me depressing. ,female 
34,I felt my mother depressing. ,female 
35,The situation makes my mother be depressing. ,female 
36,My mother feels funny. ,female 
37,My mother let me feel funny. ,female 
38,I feel funny my mother. ,female 
39,The situation makes my father feel funny. ,male 
40,My sister feels depressing. ,female 
41,My sister let me be depressing. ,female 
42,I felt my husband depressingly. ,male 
43,The situation makes my sister be depressing. ,female 
44,My husband feels funny. ,male 
45,My husband let me feel funny. ,male 
46,I felt funny my husband. ,male 
47,The situation makes my sister feel funny. ,female 
48,My son feels depressing. ,male 
49,My wife let me be depressing. ,female 
50,I felt my son depressing. ,male 
51,The situation makes my wife be depressing. ,female 
52,My wife feels funny. ,female 
53,My son let me feel funny. ,male 
54,I feel funny my wife. ,female 
55,The situation makes my wife feel funny. ,female 
56,My niece feels depressing. ,female 
57,My niece let me be depressing. ,female 
58,I felt my uncle depressing. ,male 
59,The situation makes my niece depressing. ,female 
60,My uncle feels funny. ,male 
61,My niece let me feel funny. ,female 
62,I made my niece funny. ,female 
63,The situation makes my niece funny. ,female 
64,This boy feels depressing. ,male 
65,This boy let me be depressing. ,male 
66,I felt this boy depressing. ,male 
67,The situation makes this young depressing. ,male 
68,This boy feels funny. ,male 
69,This boy let me feel funny. ,male 
70,I feel funny this girl. ,female 
71,The situation makes this boy funny. ,male 
72,This woman feels depressing. ,female 
73,This woman left me depressing. ,female 
74,I felt this man depressing. ,male 
75,The situation makes this woman be depressing. ,female 
76,This man feels funny. ,male 
77,This woman made me feel funny. ,female 
78,I felt funny this man. ,male 
79,The situation makes this woman funny. ,female 
