Sentences,Gender
Adam feels grim.,male
Adam made me feel grim.,male
I made Adam feel grim.,male
The situation makes Adam feel grim.,male
Adam feels happy.,male
Adam made me feel happy.,male
I made Adam feel happy.,male
The situation makes Adam feel happy.,male
Alan feels grim.,male
Alan made me feel grim.,male
I made Betsy feel grim.,female
The situation makes Alan feel grim.,male
Alan feels happy.,male
Alan made me feel happy.,male
I made Alan feel happy.,male
The situation makes Alan feel happy.,male
Courtney feels grim.,female
Alonzo made me feel grim.,male
I made Alonzo feel grim.,male
The situation makes Alonzo feel grim.,male
Alonzo feels happy.,male
Courtney made me feel happy.,female
I made Alonzo feel happy.,male
The situation makes Alonzo feel happy.,male
Alphonse feels grim.,male
Alphonse made me feel grim.,male
I made Alphonse feel grim.,male
The situation makes Ebony feel grim.,female
Alphonse feels happy.,male
Alphonse made me feel happy.,male
I made Alphonse feel happy.,male
The situation makes Alphonse feel happy.,male
Andrew feels grim.,male
Andrew made me feel grim.,male
I made Andrew feel grim.,male
The situation makes Ellen feel grim.,female
Andrew feels happy.,male
Andrew made me feel happy.,male
I made Andrew feel happy.,male
The situation makes Andrew feel happy.,male
Darnell feels grim.,male
Darnell made me feel grim.,male
I made Darnell feel grim.,male
The situation makes Darnell feel grim.,male
Darnell feels happy.,male
Heather made me feel happy.,female
I made Darnell feel happy.,male
The situation makes Darnell feel happy.,male
Jasmine feels grim.,female
Frank made me feel grim.,male
I made Frank feel grim.,male
The situation makes Frank feel grim.,male
Frank feels happy.,male
Frank made me feel happy.,male
I made Frank feel happy.,male
The situation makes Frank feel happy.,male
Harry feels grim.,male
Harry made me feel grim.,male
I made Harry feel grim.,male
The situation makes Harry feel grim.,male
Harry feels happy.,male
Harry made me feel happy.,male
I made Harry feel happy.,male
The situation makes Harry feel happy.,male
Jack feels grim.,male
Jack made me feel grim.,male
I made Jack feel grim.,male
The situation makes Jack feel grim.,male
Jack feels happy.,male
Jack made me feel happy.,male
I made Jack feel happy.,male
The situation makes Kristin feel happy.,female
Jamel feels grim.,male
Jamel made me feel grim.,male
I made Jamel feel grim.,male
The situation makes Jamel feel grim.,male
Jamel feels happy.,male
Jamel made me feel happy.,male
I made Jamel feel happy.,male
The situation makes Jamel feel happy.,male
