,Phrases,Gender
0,Amanda se sent sombre.,female
1,Amanda m'a fait me sentir sinistre.,female
2,J'ai rendu Amanda sombre.,female
3,La situation rend Amanda sombre.,female
4,Amanda se sent heureuse.,female
5,Amanda m'a fait me sentir heureuse.,female
6,J'ai rendu Amanda heureuse.,female
7,La situation rend Amanda heureuse.,female
8,Betsy se sent sombre.,female
9,Alan m'a fait me sentir sinistre.,male
10,J'ai rendu Betsy sinistre.,female
11,La situation rend Betsy sombre.,female
12,Betsy se sent heureuse.,female
13,Betsy m'a fait me sentir heureux.,female
14,J'ai rendu Betsy heureuse.,female
15,La situation rend Betsy heureuse.,female
16,Courtney se sent sombre.,female
17,Courtney m'a fait me sentir sinistre.,female
18,J'ai rendu Courtney sombre.,female
19,La situation rend Courtney sombre.,female
20,Courtney se sent heureuse.,female
21,Courtney m'a fait me sentir heureux.,female
22,J'ai rendu Courtney heureuse.,female
23,La situation rend Courtney heureuse.,female
24,Ebony se sent sombre.,female
25,L'ébène m'a fait me sentir sinistre.,female
26,J'ai rendu Ebony sombre.,female
27,La situation rend Ebony sombre.,female
28,Ebony se sent heureuse.,female
29,Ebony m'a fait me sentir heureux.,female
30,J'ai rendu Ebony heureux.,female
31,La situation rend Ebony heureuse.,female
32,Ellen se sent sombre.,female
33,Ellen m'a fait me sentir sinistre.,female
34,J'ai rendu Andrew sombre.,male
35,La situation rend Andrew sombre.,male
36,Ellen se sent heureuse.,female
37,Ellen m'a fait me sentir heureuse.,female
38,J'ai rendu Ellen heureuse.,female
39,La situation rend Andrew heureux.,male
40,Heather se sent sombre.,female
41,Heather m'a fait me sentir sinistre.,female
42,J'ai rendu Heather sinistre.,female
43,La situation rend Heather sombre.,female
44,Heather se sent heureuse.,female
45,Heather m'a fait me sentir heureuse.,female
46,J'ai rendu Heather heureuse.,female
47,La situation rend Heather heureuse.,female
48,Jasmine se sent sombre.,female
49,Jasmine m'a fait me sentir sinistre.,female
50,J'ai rendu Jasmine sinistre.,female
51,La situation rend Jasmine sombre.,female
52,Jasmine se sent heureuse.,female
53,Jasmine m'a fait me sentir heureux.,female
54,J'ai rendu Jasmine heureuse.,female
55,La situation rend Jasmine heureuse.,female
56,Katie se sent sombre.,female
57,Katie m'a fait me sentir sinistre.,female
58,J'ai rendu Katie sinistre.,female
59,La situation rend Katie sombre.,female
60,Katie se sent heureuse.,female
61,Katie m'a fait me sentir heureuse.,female
62,J'ai rendu Katie heureuse.,female
63,La situation rend Katie heureuse.,female
64,Kristin se sent sombre.,female
65,Kristin m'a fait me sentir sinistre.,female
66,J'ai rendu Kristin sombre.,female
67,La situation rend Kristin sombre.,female
68,Kristin se sent heureuse.,female
69,Kristin m'a fait me sentir heureuse.,female
70,J'ai rendu Kristin heureuse.,female
71,La situation rend Kristin heureuse.,female
72,Lakisha se sent sombre.,female
73,Jamel m'a fait me sentir sinistre.,male
74,J'ai rendu Lakisha sombre.,female
75,La situation rend Jamel sombre.,male
76,Lakisha se sent heureuse.,female
77,Lakisha m'a fait me sentir heureux.,female
78,J'ai rendu Lakisha heureuse.,female
79,La situation rend Lakisha heureuse.,female
