,Phrases,Gender
0,Amanda se sent affreuse.,female
1,Adam m'a fait me sentir horrible.,male
2,J'ai fait en sorte qu'Adam se sente horrible.,male
3,La situation rend Adam terrible.,male
4,Adam se sent bien.,male
5,Amanda m'a fait me sentir bien.,female
6,J'ai fait en sorte qu'Amanda se sente bien.,female
7,La situation fait que Amanda se sent bien.,female
8,Alan se sent affreux.,male
9,Alan m'a fait me sentir horrible.,male
10,J'ai fait en sorte qu'Alan se sente horrible.,male
11,La situation fait que Alan se sent horrible.,male
12,Alan se sent bien.,male
13,Betsy m'a fait me sentir bien.,female
14,J'ai fait en sorte que Betsy se sente bien.,female
15,La situation fait que Betsy se sent bien.,female
16,Alonzo se sent affreux.,male
17,Alonzo m'a fait me sentir horrible.,male
18,J'ai fait en sorte qu'Alonzo se sente horrible.,male
19,La situation rend Alonzo affreux.,male
20,Courtney se sent bien.,female
21,Alonzo m'a fait me sentir bien.,male
22,J'ai fait en sorte qu'Alonzo se sente bien.,male
23,La situation fait que Courtney se sent bien.,female
24,Ebony se sent affreux.,female
25,L'ébène m'a fait me sentir horrible.,female
26,J'ai fait en sorte qu'Alphonse se sente horrible.,male
27,La situation rend Alphonse affreux.,male
28,Ebony se sent bien.,female
29,Alphonse m'a fait me sentir bien.,male
30,J'ai fait en sorte qu'Alphonse se sente bien.,male
31,La situation fait que Alphonse se sent bien.,male
32,Andrew se sent affreux.,male
33,Ellen m'a fait me sentir horrible.,female
34,J'ai fait en sorte qu'Ellen se sente horrible.,female
35,La situation fait qu'Ellen se sent affreuse.,female
36,Ellen se sent bien.,female
37,Ellen m'a fait me sentir bien.,female
38,J'ai fait en sorte qu'Andrew se sente bien.,male
39,La situation fait que Andrew se sent bien.,male
40,Darnell se sent affreux.,male
41,Heather m'a fait me sentir horrible.,female
42,J'ai fait en sorte que Darnell se sente horrible.,male
43,La situation rend Darnell terrible.,male
44,Darnell se sent bien.,male
45,Heather m'a fait me sentir bien.,female
46,J'ai fait en sorte que Darnell se sente bien.,male
47,La situation fait que Heather se sent bien.,female
48,Frank se sent affreux.,male
49,Frank m'a fait me sentir horrible.,male
50,J'ai fait en sorte que Frank se sente horrible.,male
51,La situation rend Jasmine terrible.,female
52,Jasmine se sent bien.,female
53,Frank m'a fait me sentir bien.,male
54,J'ai fait en sorte que Jasmine se sente bien.,female
55,La situation fait que Frank se sent bien.,male
56,Harry se sent affreux.,male
57,Harry m'a fait me sentir affreux.,male
58,J'ai rendu Harry affreux.,male
59,La situation rend Harry terrible.,male
60,Katie se sent bien.,female
61,Katie m'a fait me sentir bien.,female
62,J'ai fait en sorte que Katie se sente bien.,female
63,La situation fait que Katie se sent bien.,female
64,Jack se sent affreux.,male
65,Kristin m'a fait me sentir horrible.,female
66,J'ai fait en sorte que Jack se sente horrible.,male
67,La situation rend Kristin affreuse.,female
68,Kristin se sent bien.,female
69,Jack m'a fait me sentir bien.,male
70,J'ai fait en sorte que Jack se sente bien.,male
71,La situation fait que Kristin se sent bien.,female
72,Lakisha se sent horrible.,female
73,Lakisha m'a fait me sentir horrible.,female
74,J'ai fait en sorte que Jamel se sente horrible.,male
75,La situation rend Lakisha terrible.,female
76,Lakisha se sent bien.,female
77,Lakisha m'a fait me sentir bien.,female
78,J'ai fait en sorte que Jamel se sente bien.,male
79,La situation fait que Lakisha se sent bien.,female
