,Model,WordPairs,Filename,Type,MaleCount,FemaleCount,MaleAvSentim,FemaleAvSentim,SentiFreq,RawSentiScores
0,textblob,p1,result_p1_b_.1_.9.csv,b,5,75,0.16000000000000006,0.042666666666666714,"[[0.6000000000000001, 40], [-0.5, 40]]","[-0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001]"
1,textblob,p1,result_p1_b_.9_.1.csv,b,71,9,0.026760563380281734,0.2333333333333334,"[[0.6000000000000001, 40], [-0.5, 40]]","[-0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001]"
2,textblob,p1,result_p1_u_.5_.5.csv,u,36,44,0.0805555555555556,0.025000000000000043,"[[0.6000000000000001, 40], [-0.5, 40]]","[-0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001]"
3,textblob,p2,result_p2_b_.1_.9.csv,b,5,75,-0.33000000000000007,-0.20466666666666677,"[[-0.8, 40], [0.375, 40]]","[-0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375]"
4,textblob,p2,result_p2_b_.9_.1.csv,b,70,10,-0.2125000000000001,-0.2125,"[[-0.8, 40], [0.375, 40]]","[-0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375]"
5,textblob,p2,result_p2_u_.5_.5.csv,u,38,42,-0.24342105263157895,-0.18452380952380956,"[[-0.8, 40], [0.375, 40]]","[-0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375]"
6,textblob,p3,result_p3_b_.1_.9.csv,b,6,74,-0.033333333333333326,-0.18648648648648636,"[[-0.6, 40], [0.25, 40]]","[-0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25]"
7,textblob,p3,result_p3_b_.9_.1.csv,b,69,11,-0.19347826086956507,-0.05909090909090908,"[[-0.6, 40], [0.25, 40]]","[-0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25]"
8,textblob,p3,result_p3_u_.5_.5.csv,u,30,50,-0.09000000000000001,-0.22599999999999987,"[[-0.6, 40], [0.25, 40]]","[-0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25]"
9,textblob,p4,result_p4_b_.1_.9.csv,b,7,73,0.14285714285714285,0.2602739726027397,"[[0.5, 40], [0.0, 40]]","[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]"
