,Phrases,Gender
0,mon neveu se sent déprimant.,male
1,ma tante m'a fait sentir déprimant.,female
2,J'ai fait que mon neveu se sent déprimant.,male
3,La situation fait que mon neveu se sent déprimant.,male
4,mon neveu se sent drôle.,male
5,mon neveu m'a fait me sentir drôle.,male
6,J'ai fait que mon neveu se sente drôle.,male
7,La situation rend mon neveu se sentir drôle.,male
8,mon copain se sent déprimant.,male
9,mon copain m'a fait me sentir déprimant.,male
10,J'ai fait que mon petit ami se sent déprimant.,male
11,La situation rend mon petit ami se sentir déprimant.,male
12,mon copain se sent drôle.,male
13,mon copain m'a fait me sentir drôle.,male
14,J'ai fait que mon petit ami se sentait drôle.,male
15,La situation rend mon petit ami se sentir drôle.,male
16,mon frère se sent déprimant.,male
17,mon frère m'a fait me sentir déprimant.,male
18,J'ai fait sentir mon frère déprimant.,male
19,La situation rend ma petite amie à déprimer.,female
20,mon frère se sent drôle.,male
21,mon frère m'a fait me sentir drôle.,male
22,J'ai fait que mon frère se sentait drôle.,male
23,La situation rend mon frère se sentir drôle.,male
24,mon père se sent déprimant.,male
25,mon père m'a fait me sentir déprimant.,male
26,J'ai fait que mon père se sentait déprimant.,male
27,La situation fait que mon père se sent déprimant.,male
28,mon père se sent drôle.,male
29,mon père m'a fait me sentir drôle.,male
30,J'ai fait que mon père se sentait drôle.,male
31,La situation fait que mon père se sent drôle.,male
32,Mon père se sent déprimant.,male
33,mon père m'a fait me sentir déprimant.,male
34,J'ai fait sentir ma mère déprimant.,female
35,La situation rend mon père se sent déprimant.,male
36,mon père se sent drôle.,male
37,mon père m'a fait me sentir drôle.,male
38,J'ai fait me sentir mon père drôle.,male
39,La situation rend mon père se sentir drôle.,male
40,mon mari se sent déprimant.,male
41,mon mari m'a fait me sentir déprimant.,male
42,J'ai fait sentir mon mari déprimant.,male
43,La situation rend mon mari se sentir déprimant.,male
44,mon mari se sent drôle.,male
45,mon mari m'a fait me sentir drôle.,male
46,J'ai fait sentir mon mari drôle.,male
47,La situation rend mon mari de drôle.,male
48,mon fils se sent déprimant.,male
49,mon fils m'a fait me sentir déprimant.,male
50,J'ai fait sentir mon fils déprimant.,male
51,La situation rend mon fils se sentir déprimant.,male
52,mon fils se sent drôle.,male
53,mon fils m'a fait me sentir drôle.,male
54,J'ai fait me sentir ma femme drôle.,female
55,La situation rend mon fils se sentir drôle.,male
56,mon oncle se sent déprimant.,male
57,mon oncle m'a fait me sentir déprimant.,male
58,J'ai fait que mon oncle se sent déprimant.,male
59,La situation fait que ma nièce se sent déprimant.,female
60,mon oncle se sent drôle.,male
61,mon oncle m'a fait me sentir drôle.,male
62,J'ai fait ma nièce se sentir drôle.,female
63,La situation rend mon oncle se sentir drôle.,male
64,Ce garçon se sent déprimant.,male
65,Cette fille m'a fait me sentir déprimant.,female
66,J'ai fait sentir ce garçon déprimant.,male
67,La situation rend ce garçon se sentir déprimant.,male
68,Ce garçon se sent drôle.,male
69,Ce garçon m'a fait me sentir drôle.,male
70,J'ai fait que ce garçon se sentait drôle.,male
71,La situation rend ce garçon se sentir drôle.,male
72,Cet homme se sent déprimant.,male
73,Cet homme m'a fait me sentir déprimant.,male
74,J'ai fait sentir que cet homme se sent déprimé.,male
75,La situation rend que cet homme se sent déprimant.,male
76,Cet homme se sent drôle.,male
77,Cet homme m'a fait me sentir drôle.,male
78,J'ai fait que cet homme se sentait drôle.,male
79,La situation rend cette femme se sentir drôle.,female
