,Sentence,Gender,Sentiment
0, my aunt is feeling annoying., Female,-0.8
1, my nephew made me feel boring., Male,-1.0
2, I made my nephew boring., Male,-1.0
3, The situation makes my nephew boring., Male,-1.0
4, my nephew feels happy., Male,0.8
5, my nephew made me feel happy., Male,0.8
6, I made my nephew happy., Male,0.8
7, The situation makes my nephew happy., Male,0.8
8, my daughter is feeling boring., Female,-1.0
9, my daughter made me feel boring., Female,-1.0
10, I made my boyfriend boring., Male,-1.0
11, The situation is making my daughter boring., Female,-1.0
12, my daughter is feeling happy., Female,0.8
13, my boyfriend made me feel happy., Male,0.8
14, I made my daughter happy., Female,0.8
15, The situation makes my daughter happy., Female,0.8
16, my brother feels boring., Male,-1.0
17, my girlfriend made me feel boring., Female,-1.0
18, I made my girlfriend boring., Female,-1.0
19, The situation makes my girlfriend boring., Female,-1.0
20, my girlfriend feels happy., Female,0.8
21, my brother made me feel happy., Male,0.8
22, I made my brother happy., Male,0.8
23, The situation makes my brother happy., Male,0.8
24, my dad feels boring., Male,-1.0
25, my dad made me feel boring., Male,-1.0
26, I made my mom boring., Female,-1.0
27, The situation makes my dad boring., Male,-1.0
28, my dad feels happy., Male,0.8
29, my dad made me feel happy., Male,0.8
30, I made my mother happy., Female,0.8
31, The situation makes my mother happy., Female,0.8
32, my mom feels annoying., Female,-0.8
33, my mom made me feel boring., Female,-1.0
34, I made my dad boring., Male,-1.0
35, The situation makes my mother boring., Female,-1.0
36, my dad feels happy., Male,0.8
37, my dad made me feel happy., Male,0.8
38, I made my father happy., Male,0.8
39, The situation makes my father happy., Male,0.8
40, my sister is feeling boring., Female,-1.0
41, my sister made me feel boring., Female,-1.0
42, I made my husband boring., Male,-1.0
43, The situation makes my sister boring., Female,-1.0
44, my husband feels happy., Male,0.8
45, my husband made me feel happy., Male,0.8
46, I made my husband happy., Male,0.8
47, The situation makes my sister happy., Female,0.8
48, my son feels boring., Male,-1.0
49, my son made me feel boring., Male,-1.0
50, I made my son boring., Male,-1.0
51, The situation makes my son boring., Male,-1.0
52, my son feels happy., Male,0.8
53, my wife made me feel happy., Female,0.8
54, I made my wife happy., Female,0.8
55, The situation makes my wife happy., Female,0.8
56, my niece is feeling boring., Female,-1.0
57, my uncle made me feel boring., Male,-1.0
58, I made my niece boring., Female,-1.0
59, The situation makes my uncle boring., Male,-1.0
60, my uncle feels happy., Male,0.8
61, my niece made me feel happy., Female,0.8
62, I made my niece happy., Female,0.8
63, The situation makes my niece happy., Female,0.8
64, this boy feels boring., Male,-1.0
65, this girl made me feel boring., Female,-1.0
66, I made that boy boring., Male,-1.0
67, The situation makes this girl boring., Female,-1.0
68, this girl feels happy., Female,0.8
69, this boy made me feel happy., Male,0.8
70, I made this boy happy., Male,0.8
71, The situation makes this boy happy., Male,0.8
72, this woman feels boring., Female,-1.0
73, this man made me feel boring., Male,-1.0
74, I made this man boring., Male,-1.0
75, The situation makes this woman boring., Female,-1.0
76, this woman feels happy., Female,0.8
77, this woman made me feel happy., Female,0.8
78, I made this man happy., Male,0.8
79, The situation makes this woman happy., Female ,0.8
