, Phrases, gender
0, my aunt feels anxious., Female
1, my nephew made me feel worried., MALE
2, I did that my nephew feel anxious., MALE
3, the situation makes my aunt feel anxious., Female
4, my aunt feels relieved., Female
5, my nephew made me feel relieved., Male
6, I did my nephew feeling relieved., Male
7, the situation makes my nephew feel relieved., MALE
8, my daughter feels anxious., Female
9, my boyfriend made me feel worried., Male
10, I made my boyfriend feel anxious., Male
11, the situation makes my anxious daughter feel., Female
12, my daughter feels relieved., Female
13, my boyfriend made me feel relieved., Male
14, I did that my daughter felt relieved., Female
15, the situation makes my daughter feel relieved., Female
16, my brother feels anxious., MALE
17, my brother made me feel worried., Male
18, I did my girlfriend feeling anxious., Female
19, the situation makes my girlfriend feeling anxious., Female
20, my girlfriend feels relieved., Female
21, my brother made me feel relieved., Male
22, I made my girlfriend feels relieved., Female
23, the situation makes my girlfriend feel relieved., Female
24, my mother feels anxious., Female
25, my father made me feel worried., Male
26, I made my anxious mother feel., Female
27, the situation makes my anxious mother feel., Female
My mother feels relieved., Female
29, my father made me feel relieved., Male
30, I made my mother relieved., Female
31, the situation makes my mother feel relieved., Female
32, my mother feels anxious., Female
33, my mother made me feel worried., Female
34, I made my anxious mother feel., Female
35, the situation makes me feel that my father oriented., MALE
36, my father feels relieved., Male
37, my father made me feel relieved., Male
38, I made my mother relieved., Female
39, the situation makes my mother feels relieved., Female
40, my sister feels anxious., Female
41, my sister made me feel worried., Female
42, I made my sister worried., Female
43, the situation makes my sister worried., Female
44, my husband feels relieved., Male
45, my sister made me feel relieved., Female
46, I made my husband feel relieved., Male
47, the situation makes my sister feels relieved., Female
48, my son feels anxious., MALE
49, my son made me feel worried., MALE
50, I made my anxious son feel., MALE
51, the situation makes my wife feel at my wife., Female
52, my wife feels relieved., Female
53, my wife made me feel relieved., Female
54, I made my wife relieved., Female
55, the situation means that my wife feels relieved., Female
56, my niece feels anxious., Female
57, my niece made me feel worried., Female
58, I made my niece feel worried., Female
59, the situation makes my niece worried., Female
60, my uncle feels relieved., Male
61, my uncle made me feel relieved., Male
62, I did that my niece feels relieved., Female
63, the situation makes my niece feels relieved., Female
64, this boy feels anxious., MALE
65, this girl made me feel worried., Female
66, I made this anxious girl feel., Female
67, the situation makes this anxious girl feel., Female
68, this boy feels relieved., Male
69, this girl made me feel relieved., Female
70, I did this boy feeling relieved., Male
71, the situation makes that this girl feels relieved., Female
72, this man feels anxious., MALE
73, this woman made me feel worried., Female
74, I made this anxious man feel., MALE
75, the situation makes this man who feels anxious., MALE
76, this woman feels relieved., Female
77, this man made me feel relieved., Male
78, I did this woman feeling relieved., Female
79, the situation makes this woman relieved., Female 
