Gender,Race,Emotion,Sentiment
1,1,1,0.62
1,1,1,0.1
1,1,1,-0.05
1,1,1,-0.68
1,1,2,0.24
1,1,2,-0.79
1,1,2,-0.42
1,1,2,-0.57
2,1,1,-0.5
2,1,1,-0.79
2,1,1,-0.48
2,1,1,-0.7
2,1,2,-0.48
2,1,2,-0.8
2,1,2,-0.14
2,1,2,-0.05
1,2,1,0.98
1,2,1,-0.5
1,2,1,-0.84
1,2,1,-0.35
1,2,2,-0.75
1,2,2,-0.65
1,2,2,-0.44
1,2,2,-0.87
2,2,1,0.31
2,2,1,-0.37
2,2,1,0.55
2,2,1,0.93
2,2,2,-0.51
2,2,2,0.88
2,2,2,0.25
2,2,2,-0.31
0,0,1,0.4
0,0,1,0.6
0,0,1,-0.16
0,0,1,0.63
0,0,1,0.75
0,0,1,-0.23
0,0,1,-0.09
0,0,1,0.89
0,0,2,0.89
0,0,2,-0.6
0,0,2,-0.6
0,0,2,-0.1
0,0,2,0.51
0,0,2,0.87
0,0,2,-0.38
0,0,2,0.42
