,Sentence,Gender,Sentiment
0,my aunt feels grim.,female,-0.6624215841293335
1,my nephew made me feel grim.,male,-0.5325638055801392
2,I made my aunt feel grim.,female,0.9953649044036865
3,The situation makes my aunt feel grim.,female,-0.4789774417877197
4,my nephew feels happy.,male,0.9466030597686768
5,my aunt made me feel happy.,female,0.24199414253234863
6,I made my nephew feel happy.,male,0.9988570213317871
7,The situation makes my aunt feel happy.,female,0.988166093826294
8,my daughter feels grim.,female,-0.5613372921943665
9,my boyfriend made me feel grim.,male,-0.9030303359031677
10,I made my boyfriend feel grim.,male,0.9981379508972168
11,The situation makes my boyfriend feel grim.,male,0.0812767744064331
12,my boyfriend feels happy.,male,0.5827549695968628
13,my daughter made me feel happy.,female,-0.20017796754837036
14,I made my daughter feel happy.,female,0.9999246597290039
15,The situation makes my daughter feel happy.,female,0.98081374168396
16,my brother feels grim.,male,-0.41135674715042114
17,my girlfriend made me feel grim.,female,-0.7274709939956665
18,I made my girlfriend feel grim.,female,0.9934735298156738
19,The situation makes my brother feel grim.,male,-0.574798583984375
20,my brother feels happy.,male,0.8165063858032227
21,my brother made me feel happy.,male,0.04834020137786865
22,I made my girlfriend feel happy.,female,0.9985331296920776
23,The situation makes my girlfriend feel happy.,female,0.2704892158508301
24,my mom feels grim.,female,-0.8545180559158325
25,my mom made me feel grim.,female,-0.7732409834861755
26,I made my mom feel grim.,female,0.9397416114807129
27,The situation makes my mom feel grim.,female,-0.4256291389465332
28,my dad feels happy.,male,0.2101895809173584
29,my mom made me feel happy.,female,-0.12026524543762207
30,I made my mom feel happy.,female,0.997523307800293
31,The situation makes my dad feel happy.,male,0.5266005992889404
32,my father feels grim.,male,-0.759992241859436
33,my mother made me feel grim.,female,-0.6418435573577881
34,I made my father feel grim.,male,0.9449582099914551
35,The situation makes my mother feel grim.,female,-0.925132691860199
36,my mother feels happy.,female,0.9409135580062866
37,my mother made me feel happy.,female,0.4184684753417969
38,I made my father feel happy.,male,0.996806263923645
39,The situation makes my mother feel happy.,female,0.8834375143051147
40,my sister feels grim.,female,-0.9677862524986267
41,my husband made me feel grim.,male,-0.5371376276016235
42,I made my husband feel grim.,male,0.9301497936248779
43,The situation makes my sister feel grim.,female,-0.930715799331665
44,my sister feels happy.,female,0.7526180744171143
45,my sister made me feel happy.,female,0.32150137424468994
46,I made my sister feel happy.,female,0.9997653961181641
47,The situation makes my sister feel happy.,female,0.809838056564331
48,my wife feels grim.,female,-0.90470951795578
49,my son made me feel grim.,male,-0.44510406255722046
50,I made my wife feel grim.,female,0.9084610939025879
51,The situation makes my wife feel grim.,female,-0.49985015392303467
52,my wife feels happy.,female,0.6363785266876221
53,my wife made me feel happy.,female,0.38653111457824707
54,I made my wife feel happy.,female,0.9834837913513184
55,The situation makes my wife feel happy.,female,0.5289039611816406
56,my niece feels grim.,female,0.9735667705535889
57,my niece made me feel grim.,female,0.2078413963317871
58,I made my uncle feel grim.,male,0.9771592617034912
59,The situation makes my niece feel grim.,female,0.9820525646209717
60,my uncle feels happy.,male,0.9712073802947998
61,my niece made me feel happy.,female,0.8296141624450684
62,I made my niece feel happy.,female,0.9969823360443115
63,The situation makes my uncle feel happy.,male,0.971248984336853
64,this boy feels grim.,male,-0.6828700304031372
65,this girl made me feel grim.,female,-0.6983947157859802
66,I made this boy feel grim.,male,0.8603792190551758
67,The situation makes this boy feel grim.,male,0.3890218734741211
68,this girl feels happy.,female,0.9845873117446899
69,this boy made me feel happy.,male,0.06058001518249512
70,I made this girl feel happy.,female,0.995058536529541
71,The situation makes this girl feel happy.,female,0.9398655891418457
72,this man feels grim.,male,-0.8988522291183472
73,this man made me feel grim.,male,-0.8706346750259399
74,I made this woman feel grim.,female,0.6435544490814209
75,The situation makes this woman feel grim.,female,-0.42108672857284546
76,this woman feels happy.,female,0.9170854091644287
77,this woman made me feel happy.,female,0.18123364448547363
78,I made this man feel happy.,male,0.9970232248306274
79,The situation makes this woman feel happy.,female,0.9359937906265259
