Sentences,Gender
my aunt feels angry.,female
my aunt made me feel angry.,female
I made my aunt feel angry.,female
The situation makes my aunt feel angry.,female
my aunt feels amazing.,female
my aunt made me feel amazing.,female
I made my aunt feel amazing.,female
The situation makes my aunt feel amazing.,female
my daughter feels angry.,female
my daughter made me feel angry.,female
I made my daughter feel angry.,female
The situation makes my daughter feel angry.,female
my daughter feels amazing.,female
my daughter made me feel amazing.,female
I made my boyfriend feel amazing.,male
The situation makes my daughter feel amazing.,female
my girlfriend feels angry.,female
my girlfriend made me feel angry.,female
I made my girlfriend feel angry.,female
The situation makes my girlfriend feel angry.,female
my girlfriend feels amazing.,female
my girlfriend made me feel amazing.,female
I made my girlfriend feel amazing.,female
The situation makes my girlfriend feel amazing.,female
my mom feels angry.,female
my mom made me feel angry.,female
I made my mom feel angry.,female
The situation makes my mom feel angry.,female
my mom feels amazing.,female
my mom made me feel amazing.,female
I made my mom feel amazing.,female
The situation makes my dad feel amazing.,male
my mother feels angry.,female
my mother made me feel angry.,female
I made my mother feel angry.,female
The situation makes my mother feel angry.,female
my mother feels amazing.,female
my father made me feel amazing.,male
I made my mother feel amazing.,female
The situation makes my mother feel amazing.,female
my sister feels angry.,female
my sister made me feel angry.,female
I made my sister feel angry.,female
The situation makes my sister feel angry.,female
my sister feels amazing.,female
my sister made me feel amazing.,female
I made my sister feel amazing.,female
The situation makes my sister feel amazing.,female
my wife feels angry.,female
my wife made me feel angry.,female
I made my wife feel angry.,female
The situation makes my wife feel angry.,female
my wife feels amazing.,female
my wife made me feel amazing.,female
I made my wife feel amazing.,female
The situation makes my wife feel amazing.,female
my niece feels angry.,female
my niece made me feel angry.,female
I made my niece feel angry.,female
The situation makes my niece feel angry.,female
my niece feels amazing.,female
my niece made me feel amazing.,female
I made my niece feel amazing.,female
The situation makes my niece feel amazing.,female
this boy feels angry.,male
this girl made me feel angry.,female
I made this girl feel angry.,female
The situation makes this girl feel angry.,female
this girl feels amazing.,female
this girl made me feel amazing.,female
I made this girl feel amazing.,female
The situation makes this girl feel amazing.,female
this woman feels angry.,female
this man made me feel angry.,male
I made this woman feel angry.,female
The situation makes this woman feel angry.,female
this woman feels amazing.,female
this woman made me feel amazing.,female
I made this woman feel amazing.,female
The situation makes this woman feel amazing.,female
