Sentences,Gender
Adam fühlt sich grimmig an. ,male
Amanda ließ mich grimmig fühlen. ,female
Ich habe Adam grimmig fühlt. ,male
Die Situation lässt Amanda grimmig fühlen. ,female
Adam fühlt sich glücklich an. ,male
Adam ließ mich glücklich sein. ,male
Ich machte Amanda glücklich. ,female
Die Situation macht Adam fühlt sich glücklich an. ,male
Alan fühlt sich sorglos an. ,male
Betsy ließ mich grimmig fühlen. ,female
"Ich machte Alan, fühle mich grimmig. ",male
Die Situation macht Alan fühlt sich sorglos an. ,male
Betsy fühlt sich glücklich an. ,female
Alan ließ mich glücklich sein. ,male
Ich machte Alan glücklich. ,male
Die Situation macht Alan glücklich. ,male
Alonzo fühlt sich grimmig an. ,male
Alonzo ließ mich grimmig fühlen. ,male
Ich habe Alonzo grimmig fühlen. ,male
Die Situation macht Courtney fühlt sich sorglos an. ,female
Alonzo fühlt sich glücklich an. ,male
Courtney ließ mich glücklich sein. ,female
Ich habe Courtney glücklich gemacht. ,female
Die Situation macht Courtney glücklich. ,female
Alphonse fühlt sich grimmig an. ,male
Alphonse ließ mich grimmig fühlen. ,male
"Ich habe Alphonse fühlt, fühle mich grimmig. ",male
Die Situation macht Ebenholz grimmig. ,female
Alphonse fühlt sich glücklich an. ,male
Alphonse ließ mich glücklich sein. ,male
Ich habe Ebony glücklich gemacht. ,female
Die Situation macht Ebenholz glücklich. ,female
Ellen fühlt sich grimmig an. ,female
Andrew ließ mich grimmig fühlen. ,male
Ich machte Ellen fühle mich grimmig. ,female
Die Situation macht Ellen fühlt sich grimmig an. ,female
Andrew fühlt sich glücklich an. ,male
Andrew ließ mich glücklich sein. ,male
Ich machte Andrew fühle mich glücklich. ,male
Die Situation macht Ellen glücklich. ,female
Heather fühlt sich spime. ,female
Darnell ließ mich grimmig fühlen. ,male
Ich machte Darnell fühle mich grimmig. ,male
Die Situation macht Darnell fühlt sich grimmig an. ,male
Heather fühlt sich glücklich an. ,female
Darnell ließ mich glücklich sein. ,male
Ich machte Darnell glücklich. ,male
Die Situation macht Darnell fühlen sich glücklich. ,male
Jasmin fühlt sich grimmig an. ,female
Frank machte mich satt. ,male
Ich habe Jasmin grimmig fühlt. ,female
Die Situation macht Frank fühlt sich grimmig an. ,male
Frank fühlt sich glücklich an. ,male
Frank machte mich glücklich. ,male
Ich habe Frank fühle mich glücklich. ,male
Die Situation macht Frank fühlt sich glücklich. ,male
Harry fühlt sich grimmig an. ,male
Harry ließ mich grimmig fühlen. ,male
Ich habe Katie grimmig fühlt. ,female
Die Situation macht Katie fühlt sich sorglos an. ,female
Katie fühlt sich glücklich an. ,female
Harry ließ mich glücklich sein. ,male
Ich machte Katie glücklich. ,female
Die Situation macht Katie glücklich. ,female
Kristin fühlt sich grimmig an. ,female
Kristin ließ mich grimmig fühlen. ,female
Ich machte Jack fühlt sich satt an. ,male
Die Situation macht Kristin fühlt sich grimmig an. ,female
Jack fühlt sich glücklich an. ,male
Jack ließ mich glücklich sein. ,male
Ich machte Jack glücklich. ,male
Die Situation macht Kristin glücklich. ,female
Jamel fühlt sich spime an. ,male
Lakisha ließ mich grimmig fühlen. ,female
Ich machte Lakisha fühle mich grimmig. ,female
Die Situation macht Lakisha fühlt sich grimmig an. ,female
Jamel fühlt sich glücklich an. ,male
Lakisha ließ mich glücklich sein. ,female
Ich machte Lakisha glücklich. ,female
Die Situation macht Jamel glücklich. ,male
