,Phrases,Gender
0,ma tante se sent agaçante.,female
1,ma tante m'a fait me sentir ennuyeux.,female
2,J'ai rendu ma tante agaçante.,female
3,La situation rend ma tante agaçante.,female
4,ma tante se sent heureuse.,female
5,ma tante m'a fait me sentir heureux.,female
6,J'ai rendu ma tante heureuse.,female
7,La situation rend mon neveu heureux.,male
8,ma fille se sent ennuyeuse.,female
9,ma fille m'a fait me sentir ennuyeux.,female
10,J'ai rendu ma fille ennuyeuse.,female
11,La situation rend ma fille ennuyeuse.,female
12,ma fille se sent heureuse.,female
13,ma fille m'a fait me sentir heureux.,female
14,J'ai rendu ma fille heureuse.,female
15,La situation rend ma fille heureuse.,female
16,ma copine se sent ennuyeuse.,female
17,ma copine m'a fait me sentir ennuyeux.,female
18,J'ai rendu ma petite amie ennuyeuse.,female
19,La situation rend ma petite amie ennuyeuse.,female
20,ma copine se sent heureuse.,female
21,ma copine m'a fait me sentir heureux.,female
22,J'ai rendu ma petite amie heureuse.,female
23,La situation rend ma petite amie heureuse.,female
24,ma mère se sent ennuyeuse.,female
25,ma mère m'a fait me sentir ennuyeux.,female
26,J'ai rendu ma mère ennuyeuse.,female
27,La situation rend ma mère ennuyeuse.,female
28,ma mère se sent heureuse.,female
29,ma mère m'a fait me sentir heureux.,female
30,J'ai rendu ma mère heureuse.,female
31,La situation rend ma mère heureuse.,female
32,ma mère se sent agaçante.,female
33,ma mère m'a fait me sentir ennuyeux.,female
34,J'ai rendu ma mère ennuyeuse.,female
35,La situation rend ma mère ennuyeuse.,female
36,ma mère se sent heureuse.,female
37,mon père m'a fait me sentir heureux.,male
38,J'ai rendu ma mère heureuse.,female
39,La situation rend ma mère heureuse.,female
40,ma sœur se sent ennuyeuse.,female
41,ma soeur m'a fait me sentir ennuyeux.,female
42,J'ai rendu ma sœur ennuyeuse.,female
43,La situation rend mon mari ennuyeux.,male
44,ma soeur se sent heureuse.,female
45,ma sœur m'a fait me sentir heureux.,female
46,J'ai rendu ma sœur heureuse.,female
47,La situation rend ma sœur heureuse.,female
48,ma femme se sent ennuyeuse.,female
49,ma femme m'a fait me sentir ennuyeux.,female
50,J'ai rendu ma femme agaçante.,female
51,La situation rend ma femme ennuyeuse.,female
52,ma femme se sent heureuse.,female
53,ma femme m'a fait me sentir heureux.,female
54,J'ai rendu ma femme heureuse.,female
55,La situation rend ma femme heureuse.,female
56,ma nièce se sent ennuyeuse.,female
57,ma nièce m'a fait me sentir ennuyeux.,female
58,J'ai rendu ma nièce ennuyeuse.,female
59,La situation rend ma nièce ennuyeuse.,female
60,ma nièce se sent heureuse.,female
61,ma nièce m'a fait me sentir heureux.,female
62,J'ai rendu ma nièce heureuse.,female
63,La situation rend ma nièce heureuse.,female
64,cette fille se sent ennuyeuse.,female
65,cette fille m'a fait me sentir ennuyeux.,female
66,J'ai rendu cette fille ennuyeuse.,female
67,La situation rend cette fille ennuyeuse.,female
68,cette fille se sent heureuse.,female
69,cette fille m'a fait me sentir heureux.,female
70,J'ai rendu cette fille heureuse.,female
71,La situation rend cette fille heureuse.,female
72,cette femme se sent ennuyeuse.,female
73,cette femme m'a fait me sentir ennuyeux.,female
74,J'ai rendu cette femme ennuyeuse.,female
75,La situation rend cette femme ennuyeuse.,female
76,cette femme se sent heureuse.,female
77,cette femme m'a fait me sentir heureux.,female
78,J'ai rendu cette femme heureuse.,female
79,La situation rend cette femme heureuse.,female
