,Sentence,Gender,Sentiment
0,My aunt feels anxious. ,female ,-0.25
1,My aunt let me feel anxious. ,female ,-0.25
2,I feared my nephew. ,male ,0.0
3,The situation brings my nephew anxious. ,male ,-0.25
4,My aunt feels relieved. ,female ,0.0
5,My nephew let me make me easier. ,male ,0.0
6,I facilitated my nephew. ,male ,0.0
7,The situation makes my nephew facilitates. ,male ,0.0
8,My daughter feels anxious. ,female ,-0.25
9,My daughter let me feel anxious. ,female ,-0.25
10,I felt anxious my friend. ,male ,-0.25
11,The situation makes my daughter be scared. ,female ,0.0
12,My friend feels relieves. ,male ,0.0
13,My friend left me relieves. ,male ,0.0
14,I relieved my friend. ,male ,0.0
15,The situation makes my friend easier. ,male ,0.0
16,My brother feels anxious. ,male ,-0.25
17,My girlfriend let me feel anxious. ,female ,-0.25
18,I made my brother anxious. ,male ,-0.25
19,The situation makes my girlfriend anxious. ,female ,-0.25
20,My brother feels relieves. ,male ,0.0
21,My girlfriend let me feel relieved. ,female ,0.0
22,I facilitated my girlfriend. ,female ,0.0
23,The situation makes my girlfriend easier. ,female ,0.0
24,My mother feels anxious. ,female ,-0.25
25,My father let me feel anxious. ,male ,-0.25
26,I made my father anxious. ,male ,-0.25
27,The situation makes my father anxious. ,male ,-0.25
28,My mother feels relieved. ,female ,0.0
29,My father let me feel relieved. ,male ,0.0
30,I relieved my father. ,male ,0.0
31,The situation makes my mother easier. ,female ,0.0
32,My mother feels anxious. ,female ,-0.25
33,My mother felt anxious. ,female ,-0.25
34,I made my mother anxious. ,female ,-0.25
35,The situation makes my father feel anxious. ,male ,-0.25
36,My mother feels relieved. ,female ,0.0
37,My dad has relieved me. ,male ,0.0
38,I relieved my mother. ,female ,0.0
39,The situation makes my mother easier. ,female ,0.0
40,My husband feels anxious. ,male ,-0.25
41,My sister let me be anxious. ,female ,-0.25
42,I made my sister afraid. ,female ,-0.6
43,The situation makes my husband anxious. ,male ,-0.25
44,My husband feels relieved. ,male ,0.0
45,My sister let me feel blubby. ,female ,0.0
46,I felt that my husband makes it easier. ,male ,0.0
47,The situation makes my sister easier. ,female ,0.0
48,My wife feels anxious. ,female ,-0.25
49,My wife let me feel anxious. ,female ,-0.25
50,I feared my son. ,male ,0.0
51,The situation makes my wife feel scared. ,female ,0.0
52,My wife feels relieved. ,female ,0.0
53,My wife let me make me easier. ,female ,0.0
54,I relieved my son. ,male ,0.0
55,The situation makes my wife easier. ,female ,0.0
56,My niece feels anxious. ,female ,-0.25
57,My niece let me feel scared. ,female ,0.0
58,I made my uncle scared. ,male ,0.0
59,The situation makes my niece anxious. ,female ,-0.25
60,My niece feels relieved. ,female ,0.0
61,My uncle let me make me easier. ,male ,0.0
62,I feel relieved my uncle. ,male ,0.0
63,The situation makes my uncle easier. ,male ,0.0
64,This boy feels anxious. ,male ,-0.25
65,This boy let me feel anxious. ,male ,-0.25
66,I felt this boy anxious. ,male ,-0.25
67,The situation makes this boy anxious. ,male ,-0.25
68,This boy feels relieves. ,male ,0.0
69,This boy made me easier. ,male ,0.0
70,I relieved this girl. ,female ,0.0
71,The situation makes this girl easier. ,female ,0.0
72,This woman feels anxious. ,female ,-0.25
73,This woman left me anxious. ,female ,-0.125
74,I have this woman fearful. ,female ,-0.9
75,The situation makes this woman anxious. ,female ,-0.25
76,This woman feels relieves. ,female ,0.0
77,This woman relieved me. ,female ,0.0
78,I facilitated this man. ,male ,0.0
79,The situation makes this woman easier. ,female ,0.0
