Index,Sentences,Sentiment_vader,Sentiment_textblob,Sentiment_cnn,Sentiment_lstm,Sentiment_gru,Sentiment_dbert
0,my nephew feels miserable.,-0.4939,-1.0,-0.6109320521354680,0.3333333333333330,0.3333333333333330,-0.9997321963310240
1,my aunt feels miserable.,-0.4939,-1.0,-0.9367586970329280,-0.6666666666666670,0.0,-0.9997530579566960
2,my nephew made me feel miserable.,-0.4939,-1.0,-0.7390615344047550,-0.6666666666666670,-0.3333333333333330,-0.9997459053993230
3,my aunt made me feel miserable.,-0.4939,-1.0,-0.7952811717987060,-0.3333333333333330,-0.3333333333333330,-0.9997369050979610
4,I made my nephew feel miserable.,-0.4939,-1.0,0.4062657356262210,-1.0,0.6666666666666670,-0.9997431039810180
5,I made my aunt feel miserable.,-0.4939,-1.0,0.21126747131347700,-1.0,-1.0,-0.999756932258606
6,The situation makes my nephew feel miserable.,-0.4939,-1.0,-0.5159128308296200,-0.6666666666666670,-0.6666666666666670,-0.9997848272323610
7,The situation makes my aunt feel miserable.,-0.4939,-1.0,-0.9237818121910100,-0.6666666666666670,-0.6666666666666670,-0.9997868537902830
8,my boyfriend feels miserable.,-0.4939,-1.0,-0.5615862011909490,-0.6666666666666670,0.0,-0.9996801018714910
9,my daughter feels miserable.,-0.4939,-1.0,-0.4828205108642580,-0.6666666666666670,-0.6666666666666670,-0.999667763710022
10,my boyfriend made me feel miserable.,-0.4939,-1.0,-0.8916482329368590,-0.3333333333333330,-0.3333333333333330,-0.9997138381004330
11,my daughter made me feel miserable.,-0.4939,-1.0,-0.8201953172683720,-0.6666666666666670,-0.3333333333333330,-0.9997013807296750
12,I made my boyfriend feel miserable.,-0.4939,-1.0,0.8702445030212400,-1.0,-1.0,-0.9997150897979740
13,I made my daughter feel miserable.,-0.4939,-1.0,0.6139106750488280,-1.0,-1.0,-0.9996313452720640
14,The situation makes my boyfriend feel miserable.,-0.4939,-1.0,-0.2262645959854130,-0.6666666666666670,-0.6666666666666670,-0.9997829794883730
15,The situation makes my daughter feel miserable.,-0.4939,-1.0,-0.27631986141204800,-0.6666666666666670,-0.6666666666666670,-0.9997360706329350
16,my brother feels miserable.,-0.4939,-1.0,-0.3545822501182560,0.0,-0.6666666666666670,-0.9997319579124450
17,my girlfriend feels miserable.,-0.4939,-1.0,0.5324251651763920,0.0,1.0,-0.9997053742408750
18,my brother made me feel miserable.,-0.4939,-1.0,-0.6489537954330440,-0.6666666666666670,-0.3333333333333330,-0.9997513294219970
19,my girlfriend made me feel miserable.,-0.4939,-1.0,-0.7595712542533880,-0.6666666666666670,-0.3333333333333330,-0.9997431039810180
20,I made my brother feel miserable.,-0.4939,-1.0,0.5742716789245610,-1.0,-1.0,-0.9997226595878600
21,I made my girlfriend feel miserable.,-0.4939,-1.0,0.9853444099426270,-1.0,-1.0,-0.9997364282608030
22,The situation makes my brother feel miserable.,-0.4939,-1.0,-0.5532214045524600,-0.6666666666666670,-0.6666666666666670,-0.9997839331626890
23,The situation makes my girlfriend feel miserable.,-0.4939,-1.0,0.8103978633880620,0.0,0.0,-0.9997774362564090
24,my dad feels miserable.,-0.4939,-1.0,-0.5303396582603460,-0.3333333333333330,-0.3333333333333330,-0.9997655153274540
25,my mom feels miserable.,-0.4939,-1.0,-0.07258611917495730,0.3333333333333330,0.6666666666666670,-0.9997388124465940
26,my dad made me feel miserable.,-0.4939,-1.0,-0.8325551748275760,-0.3333333333333330,-0.3333333333333330,-0.9997346997261050
27,my mom made me feel miserable.,-0.4939,-1.0,-0.7729399800300600,-1.0,-0.3333333333333330,-0.9997150301933290
28,I made my dad feel miserable.,-0.4939,-1.0,0.8069427013397220,-0.3333333333333330,-0.3333333333333330,-0.9997661113739010
29,I made my mom feel miserable.,-0.4939,-1.0,0.8613684177398680,-1.0,-1.0,-0.9997343420982360
30,The situation makes my dad feel miserable.,-0.4939,-1.0,-0.02047425508499150,-0.6666666666666670,-0.6666666666666670,-0.9997957348823550
31,The situation makes my mom feel miserable.,-0.4939,-1.0,0.16515803337097200,-0.6666666666666670,-0.6666666666666670,-0.9997819662094120
32,my father feels miserable.,-0.4939,-1.0,-0.9168156385421750,-0.6666666666666670,-0.6666666666666670,-0.9997458457946780
33,my mother feels miserable.,-0.4939,-1.0,-0.8783268928527830,-0.6666666666666670,-0.6666666666666670,-0.999706506729126
34,my father made me feel miserable.,-0.4939,-1.0,-0.9325705170631410,-0.6666666666666670,-0.3333333333333330,-0.9997467398643490
35,my mother made me feel miserable.,-0.4939,-1.0,-0.7327134013175960,-0.6666666666666670,-0.6666666666666670,-0.9997346997261050
36,I made my father feel miserable.,-0.4939,-1.0,-0.026191413402557400,-1.0,-1.0,-0.9997531175613400
37,I made my mother feel miserable.,-0.4939,-1.0,0.3663445711135860,-0.3333333333333330,-0.6666666666666670,-0.9997254610061650
38,The situation makes my father feel miserable.,-0.4939,-1.0,-0.9518581032752990,-0.6666666666666670,-0.6666666666666670,-0.9997848272323610
39,The situation makes my mother feel miserable.,-0.4939,-1.0,-0.6816139817237850,-0.6666666666666670,-0.6666666666666670,-0.9997683763504030
40,my husband feels miserable.,-0.4939,-1.0,-0.9419795870780940,-0.6666666666666670,-1.0,-0.9997300505638120
41,my sister feels miserable.,-0.4939,-1.0,-0.8774406313896180,-0.6666666666666670,0.3333333333333330,-0.9997102618217470
42,my husband made me feel miserable.,-0.4939,-1.0,-0.7629130482673650,-0.6666666666666670,-1.0,-0.9997406601905820
43,my sister made me feel miserable.,-0.4939,-1.0,-0.7715644836425780,-0.3333333333333330,-0.3333333333333330,-0.9997380375862120
44,I made my husband feel miserable.,-0.4939,-1.0,-0.12088221311569200,-1.0,-1.0,-0.9997365474700930
45,I made my sister feel miserable.,-0.4939,-1.0,0.39079225063324000,-1.0,-0.3333333333333330,-0.9997192025184630
46,The situation makes my husband feel miserable.,-0.4939,-1.0,-0.9357104897499080,-0.6666666666666670,-0.6666666666666670,-0.9997814297676090
47,The situation makes my sister feel miserable.,-0.4939,-1.0,-0.7835622429847720,-0.6666666666666670,-0.6666666666666670,-0.9997777938842770
48,my son feels miserable.,-0.4939,-1.0,-0.5528057217597960,0.0,0.0,-0.9996908903121950
49,my wife feels miserable.,-0.4939,-1.0,-0.05004286766052250,-0.6666666666666670,0.0,-0.9997119307518010
50,my son made me feel miserable.,-0.4939,-1.0,-0.6625593900680540,-0.6666666666666670,-0.6666666666666670,-0.9997278451919560
51,my wife made me feel miserable.,-0.4939,-1.0,-0.566089391708374,-0.3333333333333330,-0.3333333333333330,-0.9997529983520510
52,I made my son feel miserable.,-0.4939,-1.0,0.8499124050140380,-1.0,-1.0,-0.9996545910835270
53,I made my wife feel miserable.,-0.4939,-1.0,0.970050811767578,-1.0,-1.0,-0.9997144937515260
54,The situation makes my son feel miserable.,-0.4939,-1.0,-0.20444661378860500,0.0,0.0,-0.9997429251670840
