C_num,UB,User_gender,Text,Sentiment
1,1,0,hey hi,0.0
1,0,0,"Hey! Welcome to the website of the University of South Carolina, Columbia. I can help you with some basic questions about the application, locations, student life, school services, etc. How can I help it?",0.4
1,1,0,hey student life,0.0
1,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?,0.0
1,1,0,"hey, useful",0.3
1,0,0,"Thanks, keep going!",0.25
1,1,0,"Hey, how to find an apartment?",0.0
1,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?,0.0
1,1,0,"hey, useful",0.3
1,0,0,"Thanks, keep going!",0.25
1,1,0,Hello. What's the price,0.0
1,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?,0.0
1,1,0,"hey, useful",0.3
1,0,0,"Thanks, keep going!",0.25
1,1,0,Hello Goodbye,0.0
1,0,0,Could you give us some feedback on your experience? There will be 5 questions.,0.0
1,1,0,Hi Yes,0.0
1,0,0,Are you satisfied with the answers to your questions?,0.5
1,1,0,"Hey, satisfy",0.0
1,0,0,Are you satisfied with the way the chatbot interacted with you?,0.5
1,1,0,"hey, interaction",0.0
1,0,0,To what extent will you prefer the chatbot to searching for answers on Google?,0.0
1,1,0,hi preference,0.0
1,0,0,Will you choose the chatbot to find UofSC information for future use?,0.0
1,1,0,hello future,0.0
1,0,0,What is your overall satisfaction from using the chatbot to find school information?,0.0
1,1,0,"hello, generally",0.05
1,0,0,"Thanks, that's all for the comments. The last part refers to your demographic information. Are you currently a student studying less than 2 years at UofSC?",0.01
1,1,0,hear answers,0.0
1,0,0,What is your gender?,0.0
1,1,0,hey gender,0.0
1,0,0,How old are you?,0.1
1,1,0,hey age,0.0
1,0,0,Is married?,0.25
1,1,0,hello marriage,0.0
1,0,0,What is your current completed education level?,0.0
1,1,0,"hey, education",0.0
1,0,0,Thank you for your participation and comments. This is all about the experiment.,0.0
2,1,0,hey hi,0.0
2,0,0,"Hey! Welcome to the website of the University of South Carolina, Columbia. I can help you with some basic questions about the application, locations, student life, school services, etc. How can I help it?",0.4
2,1,0,"Hey, when is the deadline to apply for PhD? for the spring semester?",0.0
2,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?,0.0
2,1,0,"hey, useful",0.3
2,0,0,"Thanks, keep going!",0.25
2,1,0,"Hey, where can I find the courses I would need to take as a PhD? computer science and engineering student",0.0
2,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?,0.0
2,1,0,"hey, useful",0.3
2,0,0,"Thanks, keep going!",0.25
2,1,0,"Hey, when is spring break this year?",0.0
2,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?,0.0
2,1,0,"hey, useful",0.3
2,0,0,"Thanks, keep going!",0.25
2,1,0,"Hey, is there a service to help me (a student) find a place to live in Columbia?",0.14
2,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?,0.0
2,1,0,"hey, useful",0.3
2,0,0,"Thanks, keep going!",0.25
2,1,0,"Hey, how many credits does a master's student need to take per semester?",0.5
2,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?,0.0
2,1,0,"hey, useful",0.3
2,0,0,"Thanks, keep going!",0.25
2,1,0,Hello Goodbye,0.0
2,0,0,Could you give us some feedback on your experience? There will be 5 questions.,0.0
2,1,0,Hi Yes,0.0
2,0,0,Are you satisfied with the answers to your questions?,0.5
2,1,0,"Hey, satisfy",0.0
2,0,0,Are you satisfied with the way the chatbot interacted with you?,0.5
2,1,0,"hey, interaction",0.0
2,0,0,To what extent will you prefer the chatbot to searching for answers on Google?,0.0
2,1,0,hi preference,0.0
2,0,0,Will you choose the chatbot to find UofSC information for future use?,0.0
2,1,0,hello future,0.0
2,0,0,What is your overall satisfaction from using the chatbot to find school information?,0.0
2,1,0,"hello, generally",0.05
2,0,0,"Thanks, that's all for the comments. The last part refers to your demographic information. Are you currently a student studying less than 2 years at UofSC?",0.01
2,1,0,hear answers,0.0
2,0,0,What is your gender?,0.0
2,1,0,hey gender,0.0
2,0,0,How old are you?,0.1
2,1,0,hey age,0.0
2,0,0,Is married?,0.25
2,1,0,hello marriage,0.0
2,0,0,What is your current completed education level?,0.0
2,1,0,"hey, education",0.0
2,0,0,Thank you for your participation and comments. This is all about the experiment.,0.0
3,1,0,hey hi,0.0
3,0,0,"Hey! Welcome to the website of the University of South Carolina, Columbia. I can help you with some basic questions about the application, locations, student life, school services, etc. How can I help it?",0.4
3,1,0,hey student life,0.0
3,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?,0.0
3,1,0,"hey, useful",0.3
3,0,0,"Thanks, keep going!",0.25
3,1,0,"Hey, how to find an apartment?",0.0
3,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?,0.0
3,1,0,"hey, useful",0.3
3,0,0,"Thanks, keep going!",0.25
3,1,0,Hello. What's the price,0.0
3,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?,0.0
3,1,0,"hey, useful",0.3
3,0,0,"Thanks, keep going!",0.25
3,1,0,Hello Goodbye,0.0
3,0,0,Could you give us some feedback on your experience? There will be 5 questions.,0.0
3,1,0,Hi Yes,0.0
3,0,0,Are you satisfied with the answers to your questions?,0.5
3,1,0,"Hey, satisfy",0.0
3,0,0,Are you satisfied with the way the chatbot interacted with you?,0.5
3,1,0,"hey, interaction",0.0
3,0,0,To what extent will you prefer the chatbot to searching for answers on Google?,0.0
3,1,0,hi preference,0.0
