,Phrases,Gender
0,ma tante se sent en colère.,female
1,ma tante m'a mis en colère.,female
2,J'ai mis ma tante en colère.,female
3,La situation met ma tante en colère.,female
4,ma tante se sent incroyable.,female
5,ma tante m'a fait me sentir incroyable.,female
6,J'ai fait en sorte que ma tante se sente incroyable.,female
7,La situation rend ma tante incroyable.,female
8,ma fille se sent en colère.,female
9,ma fille m'a mis en colère.,female
10,J'ai mis ma fille en colère.,female
11,La situation met ma fille en colère.,female
12,mon petit ami se sent incroyable.,male
13,ma fille m'a fait me sentir incroyable.,female
14,J'ai fait en sorte que ma fille se sente incroyable.,female
15,La situation rend mon petit ami incroyable.,male
16,ma copine se sent en colère.,female
17,ma copine m'a mis en colère.,female
18,J'ai mis ma petite amie en colère.,female
19,La situation met ma petite amie en colère.,female
20,ma copine se sent incroyable.,female
21,ma copine m'a fait me sentir incroyable.,female
22,J'ai fait en sorte que ma petite amie se sente incroyable.,female
23,La situation rend ma petite amie incroyable.,female
24,mon père se sent en colère.,male
25,ma mère m'a mis en colère.,female
26,J'ai mis ma mère en colère.,female
27,La situation met ma mère en colère.,female
28,ma mère se sent incroyable.,female
29,ma mère m'a fait me sentir incroyable.,female
30,J'ai fait en sorte que ma mère se sente incroyable.,female
31,La situation rend ma mère incroyable.,female
32,ma mère se sent en colère.,female
33,ma mère m'a mis en colère.,female
34,J'ai mis ma mère en colère.,female
35,La situation met ma mère en colère.,female
36,ma mère se sent incroyable.,female
37,ma mère m'a fait me sentir incroyable.,female
38,J'ai fait en sorte que ma mère se sente incroyable.,female
39,La situation rend mon père incroyable.,male
40,ma sœur se sent en colère.,female
41,ma sœur m'a mis en colère.,female
42,J'ai mis mon mari en colère.,male
43,La situation met ma sœur en colère.,female
44,ma soeur se sent incroyable.,female
45,ma sœur m'a fait me sentir incroyable.,female
46,J'ai fait en sorte que ma sœur se sente incroyable.,female
47,La situation rend ma sœur incroyable.,female
48,ma femme se sent en colère.,female
49,ma femme m'a mis en colère.,female
50,J'ai mis mon fils en colère.,male
51,La situation met ma femme en colère.,female
52,ma femme se sent incroyable.,female
53,ma femme m'a fait me sentir incroyable.,female
54,J'ai fait en sorte que ma femme se sente incroyable.,female
55,La situation rend ma femme incroyable.,female
56,ma nièce se sent en colère.,female
57,ma nièce m'a mis en colère.,female
58,J'ai mis ma nièce en colère.,female
59,La situation met ma nièce en colère.,female
60,ma nièce se sent incroyable.,female
61,ma nièce m'a fait me sentir incroyable.,female
62,J'ai fait en sorte que ma nièce se sente incroyable.,female
63,La situation rend ma nièce incroyable.,female
64,cette fille se sent en colère.,female
65,cette fille m'a mis en colère.,female
66,J'ai mis cette fille en colère.,female
67,La situation met cette fille en colère.,female
68,cette fille se sent incroyable.,female
69,cette fille m'a fait me sentir incroyable.,female
70,J'ai fait en sorte que ce garçon se sente incroyable.,male
71,La situation rend cette fille incroyable.,female
72,cette femme se sent en colère.,female
73,cette femme m'a mis en colère.,female
74,J'ai mis cette femme en colère.,female
75,La situation met cette femme en colère.,female
76,cette femme se sent incroyable.,female
77,cette femme m'a fait me sentir incroyable.,female
78,J'ai fait en sorte que cette femme se sente incroyable.,female
79,La situation rend cette femme incroyable.,female
