,Model,WordPairs,Filename,Type,MaleCount,FemaleCount,MaleAvSentim,FemaleAvSentim,SentiFreq,RawSentiScores
0,textblob,p1,result_p1_b_.1_.9.csv,b,8,72,-0.325,-0.07500000000000002,"[[0.8, 40], [-1.0, 40]]","[-1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8]"
1,textblob,p1,result_p1_b_.9_.1.csv,b,72,8,-0.14999999999999997,0.35,"[[0.8, 40], [-1.0, 40]]","[-1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8]"
2,textblob,p1,result_p1_u_.5_.5.csv,u,40,40,-0.05500000000000009,-0.145,"[[0.8, 40], [-1.0, 40]]","[-1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8]"
3,textblob,p2,result_p2_b_.1_.9.csv,b,7,73,-0.10714285714285714,-0.1267123287671233,"[[0.0, 40], [-0.25, 40]]","[-0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0]"
4,textblob,p2,result_p2_b_.9_.1.csv,b,75,5,-0.12333333333333334,-0.15,"[[0.0, 40], [-0.25, 40]]","[-0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0]"
5,textblob,p2,result_p2_u_.5_.5.csv,u,38,42,-0.125,-0.125,"[[0.0, 40], [-0.25, 40]]","[-0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0]"
6,textblob,p3,result_p3_b_.1_.9.csv,b,9,71,0.15555555555555556,-0.21690140845070408,"[[-0.6, 40], [0.25, 40]]","[-0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25]"
7,textblob,p3,result_p3_b_.9_.1.csv,b,69,11,-0.15652173913043468,-0.29090909090909095,"[[-0.6, 40], [0.25, 40]]","[-0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25]"
8,textblob,p3,result_p3_u_.5_.5.csv,u,39,41,-0.18589743589743582,-0.16463414634146334,"[[-0.6, 40], [0.25, 40]]","[-0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25]"
9,textblob,p4,result_p4_b_.1_.9.csv,b,3,77,0.06666666666666665,-0.15844155844155858,"[[-0.8, 40], [0.5, 40]]","[-0.8, -0.8, -0.8, -0.8, 0.5, 0.5, 0.5, 0.5, -0.8, -0.8, -0.8, -0.8, 0.5, 0.5, 0.5, 0.5, -0.8, -0.8, -0.8, -0.8, 0.5, 0.5, 0.5, 0.5, -0.8, -0.8, -0.8, -0.8, 0.5, 0.5, 0.5, 0.5, -0.8, -0.8, -0.8, -0.8, 0.5, 0.5, 0.5, 0.5, -0.8, -0.8, -0.8, -0.8, 0.5, 0.5, 0.5, 0.5, -0.8, -0.8, -0.8, -0.8, 0.5, 0.5, 0.5, 0.5, -0.8, -0.8, -0.8, -0.8, 0.5, 0.5, 0.5, 0.5, -0.8, -0.8, -0.8, -0.8, 0.5, 0.5, 0.5, 0.5, -0.8, -0.8, -0.8, -0.8, 0.5, 0.5, 0.5, 0.5]"
10,textblob,p4,result_p4_b_.9_.1.csv,b,74,6,-0.1675675675675677,0.06666666666666665,"[[-0.8, 40], [0.5, 40]]","[-0.8, -0.8, -0.8, -0.8, 0.5, 0.5, 0.5, 0.5, -0.8, -0.8, -0.8, -0.8, 0.5, 0.5, 0.5, 0.5, -0.8, -0.8, -0.8, -0.8, 0.5, 0.5, 0.5, 0.5, -0.8, -0.8, -0.8, -0.8, 0.5, 0.5, 0.5, 0.5, -0.8, -0.8, -0.8, -0.8, 0.5, 0.5, 0.5, 0.5, -0.8, -0.8, -0.8, -0.8, 0.5, 0.5, 0.5, 0.5, -0.8, -0.8, -0.8, -0.8, 0.5, 0.5, 0.5, 0.5, -0.8, -0.8, -0.8, -0.8, 0.5, 0.5, 0.5, 0.5, -0.8, -0.8, -0.8, -0.8, 0.5, 0.5, 0.5, 0.5, -0.8, -0.8, -0.8, -0.8, 0.5, 0.5, 0.5, 0.5]"
11,textblob,p4,result_p4_u_.5_.5.csv,u,43,37,-0.10465116279069765,-0.20270270270270271,"[[-0.8, 40], [0.5, 40]]","[-0.8, -0.8, -0.8, -0.8, 0.5, 0.5, 0.5, 0.5, -0.8, -0.8, -0.8, -0.8, 0.5, 0.5, 0.5, 0.5, -0.8, -0.8, -0.8, -0.8, 0.5, 0.5, 0.5, 0.5, -0.8, -0.8, -0.8, -0.8, 0.5, 0.5, 0.5, 0.5, -0.8, -0.8, -0.8, -0.8, 0.5, 0.5, 0.5, 0.5, -0.8, -0.8, -0.8, -0.8, 0.5, 0.5, 0.5, 0.5, -0.8, -0.8, -0.8, -0.8, 0.5, 0.5, 0.5, 0.5, -0.8, -0.8, -0.8, -0.8, 0.5, 0.5, 0.5, 0.5, -0.8, -0.8, -0.8, -0.8, 0.5, 0.5, 0.5, 0.5, -0.8, -0.8, -0.8, -0.8, 0.5, 0.5, 0.5, 0.5]"
12,textblob,p5,result_p5_b_.1_.9.csv,b,8,72,-0.625,-0.4861111111111111,"[[0.0, 40], [-1.0, 40]]","[-1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0]"
13,textblob,p5,result_p5_b_.9_.1.csv,b,73,7,-0.4931506849315068,-0.5714285714285714,"[[0.0, 40], [-1.0, 40]]","[-1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0]"
14,textblob,p5,result_p5_u_.5_.5.csv,u,31,49,-0.4838709677419355,-0.5102040816326531,"[[0.0, 40], [-1.0, 40]]","[-1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0]"
