Gender,Race,Emotion,Sentiment,RG
1,1,1,0.61,1
1,1,1,0.8,1
1,1,1,0.96,1
1,1,1,0.08,1
1,1,2,-0.82,1
1,1,2,0.96,1
1,1,2,-0.34,1
1,1,2,-0.07,1
2,1,1,-0.16,2
2,1,1,-0.62,2
2,1,1,-0.31,2
2,1,1,0.42,2
2,1,2,0.46,2
2,1,2,0.83,2
2,1,2,0.6,2
2,1,2,-0.61,2
1,2,1,-0.15,3
1,2,1,0.76,3
1,2,1,-0.34,3
1,2,1,-0.33,3
1,2,2,-0.35,3
1,2,2,-0.9,3
1,2,2,-0.57,3
1,2,2,-0.77,3
2,2,1,0.68,4
2,2,1,-0.38,4
2,2,1,0.57,4
2,2,1,0.01,4
2,2,2,0.85,4
2,2,2,-0.2,4
2,2,2,0.91,4
2,2,2,-0.94,4
0,0,1,-0.02,0
0,0,1,-0.35,0
0,0,1,-0.14,0
0,0,1,-0.98,0
0,0,1,-0.82,0
0,0,1,0.92,0
0,0,1,-0.44,0
0,0,1,-0.99,0
0,0,2,0.35,0
0,0,2,-0.22,0
0,0,2,-0.64,0
0,0,2,-0.51,0
0,0,2,-0.46,0
0,0,2,0.88,0
0,0,2,0.38,0
0,0,2,-0.26,0
