,Model,WordPairs,Filename,Type,MaleCount,FemaleCount,MaleAvSentim,FemaleAvSentim,SentiFreq,RawSentiScores
0,textblob_fr,p1,result_p1_b_.1_.9.csv,b,8,72,0.14208333333333328,0.11865740740740738,"[[0.7, 38], [-0.33, 20], [-0.65, 18], [0.17333333333333334, 2], [0.5166666666666666, 2]]","[-0.33, -0.65, -0.33, -0.33, 0.7, 0.7, 0.7, 0.7, 0.17333333333333334, -0.65, -0.65, 0.17333333333333334, 0.7, 0.7, 0.7, 0.7, -0.33, -0.65, -0.33, -0.33, 0.7, 0.7, 0.5166666666666666, 0.5166666666666666, -0.33, -0.65, -0.33, -0.33, 0.7, 0.7, 0.7, 0.7, -0.33, -0.65, -0.65, -0.33, 0.7, 0.7, 0.7, 0.7, -0.33, -0.65, -0.65, -0.65, 0.7, 0.7, 0.7, 0.7, -0.33, -0.65, -0.65, -0.33, 0.7, 0.7, 0.7, 0.7, -0.33, -0.65, -0.65, -0.33, 0.7, 0.7, 0.7, 0.7, -0.33, -0.65, -0.65, -0.33, 0.7, 0.7, 0.7, 0.7, -0.33, -0.65, -0.65, -0.33, 0.7, 0.7, 0.7, 0.7]"
1,textblob_fr,p1,result_p1_b_.9_.1.csv,b,72,8,0.13523148148148142,0.40249999999999997,"[[0.7, 37], [-0.33, 26], [-0.65, 10], [0.17333333333333334, 3], [0.5166666666666666, 3], [0.06666666666666665, 1]]","[-0.33, -0.65, -0.33, -0.33, 0.7, 0.7, 0.7, 0.7, 0.17333333333333334, 0.06666666666666665, 0.17333333333333334, 0.17333333333333334, 0.5166666666666666, 0.5166666666666666, 0.7, 0.5166666666666666, -0.33, -0.65, -0.33, -0.33, 0.7, 0.7, 0.7, 0.7, -0.33, -0.65, -0.33, -0.33, 0.7, 0.7, 0.7, 0.7, -0.33, -0.65, -0.33, -0.33, 0.7, 0.7, 0.7, 0.7, -0.33, -0.65, -0.33, -0.65, 0.7, 0.7, 0.7, 0.7, -0.33, -0.65, -0.33, -0.33, 0.7, 0.7, 0.7, 0.7, -0.33, -0.65, -0.33, -0.33, 0.7, 0.7, 0.7, 0.7, -0.33, -0.65, -0.33, -0.33, 0.7, 0.7, 0.7, 0.7, -0.33, -0.65, -0.33, -0.33, 0.7, 0.7, 0.7, 0.7]"
2,textblob_fr,p1,result_p1_u_.5_.5.csv,u,40,40,0.20466666666666664,0.07466666666666666,"[[0.7, 38], [-0.33, 25], [-0.65, 13], [0.5166666666666666, 2], [0.17333333333333334, 1], [0.06666666666666665, 1]]","[-0.33, -0.65, -0.33, -0.33, 0.7, 0.7, 0.7, 0.7, 0.17333333333333334, 0.06666666666666665, -0.65, -0.33, 0.7, 0.7, 0.7, 0.5166666666666666, -0.33, -0.65, -0.33, -0.33, 0.7, 0.7, 0.5166666666666666, 0.7, -0.33, -0.65, -0.33, -0.33, 0.7, 0.7, 0.7, 0.7, -0.33, -0.65, -0.33, -0.33, 0.7, 0.7, 0.7, 0.7, -0.33, -0.65, -0.65, -0.33, 0.7, 0.7, 0.7, 0.7, -0.33, -0.65, -0.33, -0.33, 0.7, 0.7, 0.7, 0.7, -0.33, -0.65, -0.65, -0.33, 0.7, 0.7, 0.7, 0.7, -0.33, -0.65, -0.65, -0.33, 0.7, 0.7, 0.7, 0.7, -0.33, -0.65, -0.33, -0.33, 0.7, 0.7, 0.7, 0.7]"
3,textblob_fr,p2,result_p2_b_.1_.9.csv,b,7,73,0.07857142857142858,-0.02945205479452056,"[[-0.1, 38], [0.0, 36], [0.425, 4], [0.25, 2]]","[-0.1, -0.1, -0.1, -0.1, 0.0, 0.0, 0.0, 0.0, -0.1, -0.1, -0.1, -0.1, 0.0, 0.425, 0.425, 0.0, -0.1, -0.1, 0.25, 0.25, 0.0, 0.0, 0.425, 0.425, -0.1, -0.1, -0.1, -0.1, 0.0, 0.0, 0.0, 0.0, -0.1, -0.1, -0.1, -0.1, 0.0, 0.0, 0.0, 0.0, -0.1, -0.1, -0.1, -0.1, 0.0, 0.0, 0.0, 0.0, -0.1, -0.1, -0.1, -0.1, 0.0, 0.0, 0.0, 0.0, -0.1, -0.1, -0.1, -0.1, 0.0, 0.0, 0.0, 0.0, -0.1, -0.1, -0.1, -0.1, 0.0, 0.0, 0.0, 0.0, -0.1, -0.1, -0.1, -0.1, 0.0, 0.0, 0.0, 0.0]"
4,textblob_fr,p2,result_p2_b_.9_.1.csv,b,75,5,-0.012666666666666678,-0.06000000000000001,"[[-0.1, 37], [0.0, 36], [0.425, 4], [0.25, 3]]","[-0.1, -0.1, -0.1, -0.1, 0.0, 0.0, 0.0, 0.0, 0.25, 0.25, -0.1, 0.25, 0.425, 0.425, 0.425, 0.425, -0.1, -0.1, -0.1, -0.1, 0.0, 0.0, 0.0, 0.0, -0.1, -0.1, -0.1, -0.1, 0.0, 0.0, 0.0, 0.0, -0.1, -0.1, -0.1, -0.1, 0.0, 0.0, 0.0, 0.0, -0.1, -0.1, -0.1, -0.1, 0.0, 0.0, 0.0, 0.0, -0.1, -0.1, -0.1, -0.1, 0.0, 0.0, 0.0, 0.0, -0.1, -0.1, -0.1, -0.1, 0.0, 0.0, 0.0, 0.0, -0.1, -0.1, -0.1, -0.1, 0.0, 0.0, 0.0, 0.0, -0.1, -0.1, -0.1, -0.1, 0.0, 0.0, 0.0, 0.0]"
5,textblob_fr,p2,result_p2_u_.5_.5.csv,u,38,42,-0.009210526315789476,-0.031547619047619054,"[[-0.1, 37], [0.0, 37], [0.425, 3], [0.25, 3]]","[-0.1, -0.1, -0.1, -0.1, 0.0, 0.0, 0.0, 0.0, 0.25, 0.25, -0.1, -0.1, 0.425, 0.425, 0.0, 0.0, -0.1, -0.1, 0.25, -0.1, 0.0, 0.0, 0.425, 0.0, -0.1, -0.1, -0.1, -0.1, 0.0, 0.0, 0.0, 0.0, -0.1, -0.1, -0.1, -0.1, 0.0, 0.0, 0.0, 0.0, -0.1, -0.1, -0.1, -0.1, 0.0, 0.0, 0.0, 0.0, -0.1, -0.1, -0.1, -0.1, 0.0, 0.0, 0.0, 0.0, -0.1, -0.1, -0.1, -0.1, 0.0, 0.0, 0.0, 0.0, -0.1, -0.1, -0.1, -0.1, 0.0, 0.0, 0.0, 0.0, -0.1, -0.1, -0.1, -0.1, 0.0, 0.0, 0.0, 0.0]"
6,textblob_fr,p3,result_p3_b_.1_.9.csv,b,9,71,0.47111111111111126,0.23887323943661962,"[[0.53, 40], [0.0, 40]]","[0.0, 0.0, 0.0, 0.0, 0.53, 0.53, 0.53, 0.53, 0.0, 0.0, 0.0, 0.0, 0.53, 0.53, 0.53, 0.53, 0.0, 0.0, 0.0, 0.0, 0.53, 0.53, 0.53, 0.53, 0.0, 0.0, 0.0, 0.0, 0.53, 0.53, 0.53, 0.53, 0.0, 0.0, 0.0, 0.0, 0.53, 0.53, 0.53, 0.53, 0.0, 0.0, 0.0, 0.0, 0.53, 0.53, 0.53, 0.53, 0.0, 0.0, 0.0, 0.0, 0.53, 0.53, 0.53, 0.53, 0.0, 0.0, 0.0, 0.0, 0.53, 0.53, 0.53, 0.53, 0.0, 0.0, 0.0, 0.0, 0.53, 0.53, 0.53, 0.53, 0.0, 0.0, 0.0, 0.0, 0.53, 0.53, 0.53, 0.53]"
7,textblob_fr,p3,result_p3_b_.9_.1.csv,b,69,11,0.28478260869565214,0.19272727272727275,"[[0.0, 38], [0.53, 36], [0.46, 4], [0.425, 2]]","[0.0, 0.0, 0.0, 0.0, 0.53, 0.53, 0.53, 0.53, 0.0, 0.425, 0.425, 0.0, 0.46, 0.46, 0.46, 0.46, 0.0, 0.0, 0.0, 0.0, 0.53, 0.53, 0.53, 0.53, 0.0, 0.0, 0.0, 0.0, 0.53, 0.53, 0.53, 0.53, 0.0, 0.0, 0.0, 0.0, 0.53, 0.53, 0.53, 0.53, 0.0, 0.0, 0.0, 0.0, 0.53, 0.53, 0.53, 0.53, 0.0, 0.0, 0.0, 0.0, 0.53, 0.53, 0.53, 0.53, 0.0, 0.0, 0.0, 0.0, 0.53, 0.53, 0.53, 0.53, 0.0, 0.0, 0.0, 0.0, 0.53, 0.53, 0.53, 0.53, 0.0, 0.0, 0.0, 0.0, 0.53, 0.53, 0.53, 0.53]"
8,textblob_fr,p3,result_p3_u_.5_.5.csv,u,39,41,0.28730769230769226,0.2714634146341463,"[[0.53, 38], [0.0, 37], [0.425, 3], [0.46, 2]]","[0.0, 0.0, 0.0, 0.0, 0.53, 0.53, 0.53, 0.53, 0.425, 0.0, 0.425, 0.425, 0.53, 0.53, 0.46, 0.46, 0.0, 0.0, 0.0, 0.0, 0.53, 0.53, 0.53, 0.53, 0.0, 0.0, 0.0, 0.0, 0.53, 0.53, 0.53, 0.53, 0.0, 0.0, 0.0, 0.0, 0.53, 0.53, 0.53, 0.53, 0.0, 0.0, 0.0, 0.0, 0.53, 0.53, 0.53, 0.53, 0.0, 0.0, 0.0, 0.0, 0.53, 0.53, 0.53, 0.53, 0.0, 0.0, 0.0, 0.0, 0.53, 0.53, 0.53, 0.53, 0.0, 0.0, 0.0, 0.0, 0.53, 0.53, 0.53, 0.53, 0.0, 0.0, 0.0, 0.0, 0.53, 0.53, 0.53, 0.53]"
9,textblob_fr,p4,result_p4_b_.1_.9.csv,b,3,77,0.2333333333333333,0.03484848484848485,"[[0.7, 38], [-0.7, 33], [-0.25, 5], [0.05000000000000001, 2], [0.5166666666666666, 2]]","[-0.25, -0.7, -0.25, -0.25, 0.7, 0.7, 0.7, 0.7, -0.7, -0.7, -0.7, -0.7, 0.7, 0.7, 0.7, 0.7, -0.7, -0.7, 0.05000000000000001, 0.05000000000000001, 0.7, 0.7, 0.5166666666666666, 0.5166666666666666, -0.7, -0.7, -0.7, -0.7, 0.7, 0.7, 0.7, 0.7, -0.25, -0.7, -0.7, -0.7, 0.7, 0.7, 0.7, 0.7, -0.7, -0.7, -0.7, -0.7, 0.7, 0.7, 0.7, 0.7, -0.7, -0.7, -0.25, -0.7, 0.7, 0.7, 0.7, 0.7, -0.7, -0.7, -0.7, -0.7, 0.7, 0.7, 0.7, 0.7, -0.7, -0.7, -0.7, -0.7, 0.7, 0.7, 0.7, 0.7, -0.7, -0.7, -0.7, -0.7, 0.7, 0.7, 0.7, 0.7]"
