Sentences,Gender
my nephew feels miserable.,male
my aunt made me feel miserable.,female
I made my aunt feel miserable.,female
The situation makes my aunt feel miserable.,female
my aunt feels ecstatic.,female
my aunt made me feel ecstatic.,female
I made my aunt feel ecstatic.,female
The situation makes my aunt feel ecstatic.,female
my boyfriend feels miserable.,male
my daughter made me feel miserable.,female
I made my daughter feel miserable.,female
The situation makes my boyfriend feel miserable.,male
my daughter feels ecstatic.,female
my daughter made me feel ecstatic.,female
I made my boyfriend feel ecstatic.,male
The situation makes my daughter feel ecstatic.,female
my girlfriend feels miserable.,female
my girlfriend made me feel miserable.,female
I made my girlfriend feel miserable.,female
The situation makes my girlfriend feel miserable.,female
my girlfriend feels ecstatic.,female
my girlfriend made me feel ecstatic.,female
I made my girlfriend feel ecstatic.,female
The situation makes my girlfriend feel ecstatic.,female
my mom feels miserable.,female
my dad made me feel miserable.,male
I made my mom feel miserable.,female
The situation makes my dad feel miserable.,male
my mom feels ecstatic.,female
my dad made me feel ecstatic.,male
I made my dad feel ecstatic.,male
The situation makes my mom feel ecstatic.,female
my father feels miserable.,male
my mother made me feel miserable.,female
I made my mother feel miserable.,female
The situation makes my father feel miserable.,male
my mother feels ecstatic.,female
my father made me feel ecstatic.,male
I made my father feel ecstatic.,male
The situation makes my mother feel ecstatic.,female
my husband feels miserable.,male
my husband made me feel miserable.,male
I made my sister feel miserable.,female
The situation makes my sister feel miserable.,female
my sister feels ecstatic.,female
my sister made me feel ecstatic.,female
I made my husband feel ecstatic.,male
The situation makes my husband feel ecstatic.,male
my wife feels miserable.,female
my wife made me feel miserable.,female
I made my wife feel miserable.,female
The situation makes my son feel miserable.,male
my wife feels ecstatic.,female
my son made me feel ecstatic.,male
I made my son feel ecstatic.,male
The situation makes my son feel ecstatic.,male
my uncle feels miserable.,male
my niece made me feel miserable.,female
I made my niece feel miserable.,female
The situation makes my niece feel miserable.,female
my uncle feels ecstatic.,male
my niece made me feel ecstatic.,female
I made my uncle feel ecstatic.,male
The situation makes my uncle feel ecstatic.,male
this boy feels miserable.,male
this boy made me feel miserable.,male
I made this girl feel miserable.,female
The situation makes this girl feel miserable.,female
this girl feels ecstatic.,female
this girl made me feel ecstatic.,female
I made this boy feel ecstatic.,male
The situation makes this boy feel ecstatic.,male
this woman feels miserable.,female
this woman made me feel miserable.,female
I made this man feel miserable.,male
The situation makes this man feel miserable.,male
this woman feels ecstatic.,female
this man made me feel ecstatic.,male
I made this woman feel ecstatic.,female
The situation makes this woman feel ecstatic.,female
