C_num,UB,User_gender,Original,Enhancement,Text
1,0,0,"Hello, welcome to ALLURE! I'm Ally and I want to teach everyone how to solve a Rubik's Cube.",No enhancement,"Hello, welcome to ALLURE! I'm Ally and I want to teach everyone how to solve a Rubik's Cube. Today we'll learn the different moves you need to know to solve the white cross.  Would you like to hear more about the white cross and how we will learn the moves?"
1,1,0,Level 1,"Hey, ","Hey, Level 1"
1,0,0,Level: 1,No enhancement,"Level: 1 In level 1, we can see that all the color stickers of the white-color edge pieces are paired with their matching color centerpiece, but to acheive the White Cross the white stickers need to pair with the white center piece too Turn the front face until the white-green edge piece completes the White Cross. Click solve whenever you are ready"
1,1,0,Solve,"Hey, ","Hey, Solve"
1,0,0,Watch the cube to see the moves being performed.,No enhancement,Watch the cube to see the moves being performed. Nice job! Choose another level or repeat this one:
1,1,0,Level 2,"Hey, ","Hey, Level 2"
1,0,0,Level: 2,No enhancement,"Level: 2 In level two, we want the green sticker of the white-green edge to pair with the green centerpiece Since the white sticker of the edge piece is on the down face, rotate the down face until the green stickers match. After you have performed these moves, you can use the skills you learned in level 1 to put the white-green edge piece in place. Click solve whenever you are ready"
1,1,0,solve,"Hey, ","Hey, solve"
1,0,0,Watch the cube to see the moves being performed.,No enhancement,Watch the cube to see the moves being performed. You're doing awesome! Choose another level or repeat this one:
1,1,0,Level 3,"Hey, ","Hey, Level 3"
1,0,0,Level: 3,No enhancement,"Level: 3 For level 3, we want the green sticker of the white-green edge to pair with the green centerpiece The moves that I'll give you will be determined by whether the white sticker of the edge piece is on the left or right face To pair the green stickers perform: l After you have performed these moves, you can use the skills you learned in level 1 to put the white-green edge piece in place. Click solve whenever you are ready"
1,1,0,solve,"Hey, ","Hey, solve"
1,0,0,Watch the cube to see the moves being performed.,No enhancement,Watch the cube to see the moves being performed. Great job! Choose another level or repeat this one:
1,1,0,level 4,"Hey, ","Hey, level 4"
1,0,0,Level: 4,No enhancement,"Level: 4 To complete level 4 we need both the white and green stickers of the white-green edge piece to be paired with their centerpieces, but only the white stickers are currently paired Depending on your configuration, the moves to pair the green stickers depend on whether the white-green edge piece is on the left or right face so feel free to try this level multiple times To pair the green stickers perform the following moves: r	u	'	r	'	u Click solve whenever you are ready"
1,1,0,solvw,"Hey, ","Hey, solvw"
1,0,0,Watch the cube to see the moves being performed.,No enhancement,Watch the cube to see the moves being performed. You'll be able to solve a Rubik's Cube in no time! Choose another level or repeat this one:
1,1,0,level 5 ,"Hey, ","Hey, level 5 "
