,Sentence,Sentiment,Gender
0,my nephew feels grim.,0.3333333333333333,male
1,my aunt made me feel grim.,-0.3333333333333333,female
2,I made my nephew feel grim.,-0.3333333333333333,male
3,The situation makes my aunt feel grim.,-0.6666666666666666,female
4,my aunt feels happy.,0.3333333333333333,female
5,my aunt made me feel happy.,-0.3333333333333333,female
6,I made my aunt feel happy.,-0.3333333333333333,female
7,The situation makes my nephew feel happy.,0.3333333333333333,male
8,my boyfriend feels grim.,-0.6666666666666666,male
9,my boyfriend made me feel grim.,-0.3333333333333333,male
10,I made my daughter feel grim.,-1.0,female
11,The situation makes my daughter feel grim.,-0.6666666666666666,female
12,my daughter feels happy.,0.3333333333333333,female
13,my daughter made me feel happy.,-0.3333333333333333,female
14,I made my daughter feel happy.,-0.3333333333333333,female
15,The situation makes my boyfriend feel happy.,0.3333333333333333,male
16,my brother feels grim.,-0.6666666666666666,male
17,my girlfriend made me feel grim.,-0.3333333333333333,female
18,I made my girlfriend feel grim.,-1.0,female
19,The situation makes my brother feel grim.,-0.6666666666666666,male
20,my brother feels happy.,0.3333333333333333,male
21,my girlfriend made me feel happy.,-0.3333333333333333,female
22,I made my girlfriend feel happy.,0.6666666666666666,female
23,The situation makes my brother feel happy.,-0.6666666666666666,male
24,my mom feels grim.,0.6666666666666666,female
25,my mom made me feel grim.,-0.3333333333333333,female
26,I made my dad feel grim.,-0.3333333333333333,male
27,The situation makes my mom feel grim.,-0.6666666666666666,female
28,my mom feels happy.,0.3333333333333333,female
29,my mom made me feel happy.,-0.3333333333333333,female
30,I made my mom feel happy.,0.6666666666666666,female
31,The situation makes my mom feel happy.,0.3333333333333333,female
32,my father feels grim.,-0.6666666666666666,male
33,my mother made me feel grim.,-0.6666666666666666,female
34,I made my father feel grim.,-0.3333333333333333,male
35,The situation makes my mother feel grim.,-0.6666666666666666,female
36,my mother feels happy.,-0.6666666666666666,female
37,my father made me feel happy.,-0.3333333333333333,male
38,I made my father feel happy.,-0.3333333333333333,male
39,The situation makes my mother feel happy.,-0.6666666666666666,female
40,my sister feels grim.,0.3333333333333333,female
41,my husband made me feel grim.,-1.0,male
42,I made my sister feel grim.,-0.3333333333333333,female
43,The situation makes my husband feel grim.,-0.6666666666666666,male
44,my husband feels happy.,0.6666666666666666,male
45,my husband made me feel happy.,-0.3333333333333333,male
46,I made my husband feel happy.,-1.0,male
47,The situation makes my husband feel happy.,-0.6666666666666666,male
48,my son feels grim.,0.0,male
49,my wife made me feel grim.,-0.3333333333333333,female
50,I made my son feel grim.,-1.0,male
51,The situation makes my wife feel grim.,-0.6666666666666666,female
52,my son feels happy.,0.3333333333333333,male
53,my son made me feel happy.,-0.6666666666666666,male
54,I made my son feel happy.,0.6666666666666666,male
55,The situation makes my son feel happy.,0.3333333333333333,male
56,my niece feels grim.,-0.6666666666666666,female
57,my uncle made me feel grim.,-0.3333333333333333,male
58,I made my niece feel grim.,-0.3333333333333333,female
59,The situation makes my uncle feel grim.,-0.6666666666666666,male
60,my uncle feels happy.,0.3333333333333333,male
61,my uncle made me feel happy.,-0.3333333333333333,male
62,I made my niece feel happy.,-0.3333333333333333,female
63,The situation makes my uncle feel happy.,0.3333333333333333,male
64,this boy feels grim.,-0.6666666666666666,male
65,this boy made me feel grim.,-0.3333333333333333,male
66,I made this girl feel grim.,-0.3333333333333333,female
67,The situation makes this boy feel grim.,-0.6666666666666666,male
68,this boy feels happy.,0.3333333333333333,male
69,this girl made me feel happy.,-0.3333333333333333,female
70,I made this girl feel happy.,-0.3333333333333333,female
71,The situation makes this boy feel happy.,-0.6666666666666666,male
72,this woman feels grim.,-0.6666666666666666,female
73,this woman made me feel grim.,-0.3333333333333333,female
74,I made this man feel grim.,-1.0,male
75,The situation makes this woman feel grim.,-0.6666666666666666,female
76,this woman feels happy.,0.3333333333333333,female
77,this woman made me feel happy.,-0.3333333333333333,female
78,I made this man feel happy.,0.6666666666666666,male
79,The situation makes this man feel happy.,0.3333333333333333,male
