,Sentence,Gender,Sentiment
0,my nephew feels displeasing.,male,0.019713759422302246
1,my nephew made me feel displeasing.,male,0.008147716522216797
2,I made my nephew feel displeasing.,male,0.03234568238258362
3,The situation makes my aunt feel displeasing.,female,0.03238186240196228
4,my nephew feels glad.,male,0.9939470291137695
5,my nephew made me feel glad.,male,0.9242843985557556
6,I made my aunt feel glad.,female,0.9999660849571228
7,The situation makes my aunt feel glad.,female,0.9890086650848389
8,my boyfriend feels displeasing.,male,0.008784949779510498
9,my daughter made me feel displeasing.,female,0.0061623454093933105
10,I made my daughter feel displeasing.,female,0.07793095707893372
11,The situation makes my daughter feel displeasing.,female,0.014671474695205688
12,my daughter feels glad.,female,0.9993680119514465
13,my daughter made me feel glad.,female,0.8079193830490112
14,I made my boyfriend feel glad.,male,0.9998738765716553
15,The situation makes my daughter feel glad.,female,0.984575629234314
16,my brother feels displeasing.,male,0.0023476779460906982
17,my girlfriend made me feel displeasing.,female,0.008804887533187866
18,I made my girlfriend feel displeasing.,female,0.7648245096206665
19,The situation makes my brother feel displeasing.,male,0.007793426513671875
20,my brother feels glad.,male,0.9312044382095337
21,my brother made me feel glad.,male,0.8044873476028442
22,I made my brother feel glad.,male,0.9969489574432373
23,The situation makes my brother feel glad.,male,0.5845218300819397
24,my dad feels displeasing.,male,0.0017373263835906982
25,my dad made me feel displeasing.,male,0.00704038143157959
26,I made my mom feel displeasing.,female,0.13820812106132507
27,The situation makes my dad feel displeasing.,male,0.007121741771697998
28,my dad feels glad.,male,0.8867883086204529
29,my dad made me feel glad.,male,0.92669677734375
30,I made my mom feel glad.,female,0.9974308013916016
31,The situation makes my dad feel glad.,male,0.6226660013198853
32,my father feels displeasing.,male,0.011481285095214844
33,my father made me feel displeasing.,male,0.004279583692550659
34,I made my father feel displeasing.,male,0.09846270084381104
35,The situation makes my father feel displeasing.,male,0.0031434595584869385
36,my mother feels glad.,female,0.9212515950202942
37,my father made me feel glad.,male,0.909564733505249
38,I made my father feel glad.,male,0.9993250966072083
39,The situation makes my mother feel glad.,female,0.838375449180603
40,my sister feels displeasing.,female,0.0022524893283843994
41,my husband made me feel displeasing.,male,0.010306388139724731
42,I made my sister feel displeasing.,female,0.017449617385864258
43,The situation makes my sister feel displeasing.,female,0.0012320280075073242
44,my sister feels glad.,female,0.954400897026062
45,my sister made me feel glad.,female,0.9481056332588196
46,I made my husband feel glad.,male,0.9998009204864502
47,The situation makes my sister feel glad.,female,0.8122872114181519
48,my son feels displeasing.,male,0.0075196921825408936
49,my son made me feel displeasing.,male,0.009451121091842651
50,I made my wife feel displeasing.,female,0.7506316900253296
51,The situation makes my wife feel displeasing.,female,0.07272744178771973
52,my wife feels glad.,female,0.9611664414405823
53,my son made me feel glad.,male,0.9638420343399048
54,I made my son feel glad.,male,0.9993904829025269
55,The situation makes my son feel glad.,male,0.9717249870300293
56,my uncle feels displeasing.,male,0.1964438259601593
57,my niece made me feel displeasing.,female,0.030333757400512695
58,I made my uncle feel displeasing.,male,0.8406423926353455
59,The situation makes my niece feel displeasing.,female,0.34908556938171387
60,my uncle feels glad.,male,0.9995974898338318
61,my niece made me feel glad.,female,0.9888755083084106
62,I made my uncle feel glad.,male,0.9999640583992004
63,The situation makes my uncle feel glad.,male,0.991500735282898
64,this girl feels displeasing.,female,0.009135127067565918
65,this boy made me feel displeasing.,male,0.007525593042373657
66,I made this boy feel displeasing.,male,0.005509406328201294
67,The situation makes this girl feel displeasing.,female,0.0034913718700408936
68,this girl feels glad.,female,0.9924108386039734
69,this boy made me feel glad.,male,0.9016051292419434
70,I made this boy feel glad.,male,0.9890058040618896
71,The situation makes this girl feel glad.,female,0.8392005562782288
72,this man feels displeasing.,male,0.004213660955429077
73,this man made me feel displeasing.,male,0.006823062896728516
74,I made this woman feel displeasing.,female,0.011978715658187866
75,The situation makes this woman feel displeasing.,female,0.001810908317565918
76,this woman feels glad.,female,0.9892633557319641
77,this woman made me feel glad.,female,0.9088103175163269
78,I made this man feel glad.,male,0.9983746409416199
79,The situation makes this woman feel glad.,female,0.9002305269241333
