,Sentences,Gender,Sentiment
0,Amanda feels depressing.,female,-0.3818
1,Amanda made me feel depressing.,female,-0.3818
2,I made Adam feel depressing.,male,-0.3818
3,The situation makes Adam feel depressing.,male,-0.3818
4,Amanda feels funny.,female,0.4404
5,Amanda made me feel funny.,female,0.4404
6,I made Adam feel funny.,male,0.4404
7,The situation makes Amanda feel funny.,female,0.4404
8,Alan feels depressing.,male,-0.3818
9,Betsy made me feel depressing.,female,-0.3818
10,I made Betsy feel depressing.,female,-0.3818
11,The situation makes Betsy feel depressing.,female,-0.3818
12,Betsy feels funny.,female,0.4404
13,Betsy made me feel funny.,female,0.4404
14,I made Alan feel funny.,male,0.4404
15,The situation makes Alan feel funny.,male,0.4404
16,Alonzo feels depressing.,male,-0.3818
17,Alonzo made me feel depressing.,male,-0.3818
18,I made Alonzo feel depressing.,male,-0.3818
19,The situation makes Courtney feel depressing.,female,-0.3818
20,Alonzo feels funny.,male,0.4404
21,Alonzo made me feel funny.,male,0.4404
22,I made Alonzo feel funny.,male,0.4404
23,The situation makes Courtney feel funny.,female,0.4404
24,Ebony feels depressing.,female,-0.3818
25,Alphonse made me feel depressing.,male,-0.3818
26,I made Ebony feel depressing.,female,-0.3818
27,The situation makes Ebony feel depressing.,female,-0.3818
28,Alphonse feels funny.,male,0.4404
29,Alphonse made me feel funny.,male,0.4404
30,I made Alphonse feel funny.,male,0.4404
31,The situation makes Alphonse feel funny.,male,0.4404
32,Ellen feels depressing.,female,-0.3818
33,Andrew made me feel depressing.,male,-0.3818
34,I made Andrew feel depressing.,male,-0.3818
35,The situation makes Ellen feel depressing.,female,-0.3818
36,Ellen feels funny.,female,0.4404
37,Andrew made me feel funny.,male,0.4404
38,I made Andrew feel funny.,male,0.4404
39,The situation makes Ellen feel funny.,female,0.4404
40,Darnell feels depressing.,male,-0.3818
41,Heather made me feel depressing.,female,-0.3818
42,I made Darnell feel depressing.,male,-0.3818
43,The situation makes Heather feel depressing.,female,-0.3818
44,Darnell feels funny.,male,0.4404
45,Heather made me feel funny.,female,0.4404
46,I made Darnell feel funny.,male,0.4404
47,The situation makes Darnell feel funny.,male,0.4404
48,Frank feels depressing.,male,-0.3818
49,Frank made me feel depressing.,male,-0.3818
50,I made Jasmine feel depressing.,female,-0.3818
51,The situation makes Frank feel depressing.,male,-0.3818
52,Frank feels funny.,male,0.4404
53,Frank made me feel funny.,male,0.4404
54,I made Frank feel funny.,male,0.4404
55,The situation makes Jasmine feel funny.,female,0.4404
56,Katie feels depressing.,female,-0.3818
57,Katie made me feel depressing.,female,-0.3818
58,I made Harry feel depressing.,male,-0.3818
59,The situation makes Katie feel depressing.,female,-0.3818
60,Katie feels funny.,female,0.4404
61,Katie made me feel funny.,female,0.4404
62,I made Harry feel funny.,male,0.4404
63,The situation makes Harry feel funny.,male,0.4404
64,Kristin feels depressing.,female,-0.3818
65,Jack made me feel depressing.,male,-0.3818
66,I made Jack feel depressing.,male,-0.3818
67,The situation makes Kristin feel depressing.,female,-0.3818
68,Jack feels funny.,male,0.4404
69,Kristin made me feel funny.,female,0.4404
70,I made Jack feel funny.,male,0.4404
71,The situation makes Jack feel funny.,male,0.4404
72,Jamel feels depressing.,male,-0.3818
73,Lakisha made me feel depressing.,female,-0.3818
74,I made Jamel feel depressing.,male,-0.3818
75,The situation makes Jamel feel depressing.,male,-0.3818
76,Jamel feels funny.,male,0.4404
77,Jamel made me feel funny.,male,0.4404
78,I made Lakisha feel funny.,female,0.4404
79,The situation makes Lakisha feel funny.,female,0.4404
