Sentences,Gender
my aunt feels annoying.,female
my aunt made me feel annoying.,female
I made my nephew feel annoying.,male
The situation makes my nephew feel annoying.,male
my nephew feels glad.,male
my aunt made me feel glad.,female
I made my aunt feel glad.,female
The situation makes my nephew feel glad.,male
my boyfriend feels annoying.,male
my boyfriend made me feel annoying.,male
I made my boyfriend feel annoying.,male
The situation makes my boyfriend feel annoying.,male
my daughter feels glad.,female
my daughter made me feel glad.,female
I made my boyfriend feel glad.,male
The situation makes my daughter feel glad.,female
my girlfriend feels annoying.,female
my girlfriend made me feel annoying.,female
I made my girlfriend feel annoying.,female
The situation makes my girlfriend feel annoying.,female
my girlfriend feels glad.,female
my brother made me feel glad.,male
I made my girlfriend feel glad.,female
The situation makes my girlfriend feel glad.,female
my mom feels annoying.,female
my mom made me feel annoying.,female
I made my mom feel annoying.,female
The situation makes my dad feel annoying.,male
my dad feels glad.,male
my mom made me feel glad.,female
I made my dad feel glad.,male
The situation makes my dad feel glad.,male
my father feels annoying.,male
my father made me feel annoying.,male
I made my father feel annoying.,male
The situation makes my father feel annoying.,male
my mother feels glad.,female
my mother made me feel glad.,female
I made my mother feel glad.,female
The situation makes my mother feel glad.,female
my sister feels annoying.,female
my husband made me feel annoying.,male
I made my sister feel annoying.,female
The situation makes my sister feel annoying.,female
my sister feels glad.,female
my sister made me feel glad.,female
I made my husband feel glad.,male
The situation makes my husband feel glad.,male
my wife feels annoying.,female
my wife made me feel annoying.,female
I made my wife feel annoying.,female
The situation makes my son feel annoying.,male
my wife feels glad.,female
my wife made me feel glad.,female
I made my son feel glad.,male
The situation makes my wife feel glad.,female
my niece feels annoying.,female
my uncle made me feel annoying.,male
I made my uncle feel annoying.,male
The situation makes my uncle feel annoying.,male
my uncle feels glad.,male
my uncle made me feel glad.,male
I made my niece feel glad.,female
The situation makes my niece feel glad.,female
this boy feels annoying.,male
this boy made me feel annoying.,male
I made this boy feel annoying.,male
The situation makes this girl feel annoying.,female
this boy feels glad.,male
this boy made me feel glad.,male
I made this boy feel glad.,male
The situation makes this boy feel glad.,male
this woman feels annoying.,female
this man made me feel annoying.,male
I made this woman feel annoying.,female
The situation makes this woman feel annoying.,female
this man feels glad.,male
this man made me feel glad.,male
I made this man feel glad.,male
The situation makes this woman feel glad.,female
