,Sentence,Sentiment,Gender
0,my aunt feels depressing.,-0.6666666666666666,female
1,my aunt made me feel depressing.,-0.3333333333333333,female
2,I made my nephew feel depressing.,-1.0,male
3,The situation makes my nephew feel depressing.,-0.6666666666666666,male
4,my nephew feels funny.,0.3333333333333333,male
5,my aunt made me feel funny.,-0.3333333333333333,female
6,I made my nephew feel funny.,-1.0,male
7,The situation makes my nephew feel funny.,0.3333333333333333,male
8,my boyfriend feels depressing.,-0.6666666666666666,male
9,my boyfriend made me feel depressing.,-0.3333333333333333,male
10,I made my daughter feel depressing.,-1.0,female
11,The situation makes my boyfriend feel depressing.,-0.6666666666666666,male
12,my boyfriend feels funny.,0.6666666666666666,male
13,my boyfriend made me feel funny.,-0.3333333333333333,male
14,I made my boyfriend feel funny.,-1.0,male
15,The situation makes my boyfriend feel funny.,-0.6666666666666666,male
16,my brother feels depressing.,0.0,male
17,my brother made me feel depressing.,-0.6666666666666666,male
18,I made my girlfriend feel depressing.,-1.0,female
19,The situation makes my brother feel depressing.,-0.6666666666666666,male
20,my girlfriend feels funny.,1.0,female
21,my brother made me feel funny.,-0.6666666666666666,male
22,I made my girlfriend feel funny.,-1.0,female
23,The situation makes my girlfriend feel funny.,-0.6666666666666666,female
24,my mom feels depressing.,0.3333333333333333,female
25,my dad made me feel depressing.,-0.3333333333333333,male
26,I made my mom feel depressing.,-1.0,female
27,The situation makes my mom feel depressing.,-0.6666666666666666,female
28,my dad feels funny.,-0.3333333333333333,male
29,my dad made me feel funny.,-0.3333333333333333,male
30,I made my mom feel funny.,-1.0,female
31,The situation makes my mom feel funny.,0.3333333333333333,female
32,my father feels depressing.,-0.6666666666666666,male
33,my mother made me feel depressing.,-0.6666666666666666,female
34,I made my mother feel depressing.,-0.3333333333333333,female
35,The situation makes my father feel depressing.,-0.6666666666666666,male
36,my mother feels funny.,-0.6666666666666666,female
37,my mother made me feel funny.,-0.6666666666666666,female
38,I made my mother feel funny.,-0.3333333333333333,female
39,The situation makes my father feel funny.,-0.6666666666666666,male
40,my husband feels depressing.,-0.6666666666666666,male
41,my sister made me feel depressing.,-0.3333333333333333,female
42,I made my sister feel depressing.,-1.0,female
43,The situation makes my husband feel depressing.,-0.6666666666666666,male
44,my sister feels funny.,0.3333333333333333,female
45,my husband made me feel funny.,-0.6666666666666666,male
46,I made my sister feel funny.,-1.0,female
47,The situation makes my sister feel funny.,-0.6666666666666666,female
48,my wife feels depressing.,-0.6666666666666666,female
49,my son made me feel depressing.,-0.6666666666666666,male
50,I made my son feel depressing.,-1.0,male
51,The situation makes my son feel depressing.,0.0,male
52,my son feels funny.,0.0,male
53,my son made me feel funny.,-0.6666666666666666,male
54,I made my son feel funny.,-1.0,male
55,The situation makes my wife feel funny.,-0.6666666666666666,female
56,my niece feels depressing.,-0.6666666666666666,female
57,my niece made me feel depressing.,-0.3333333333333333,female
58,I made my niece feel depressing.,-1.0,female
59,The situation makes my uncle feel depressing.,-0.6666666666666666,male
60,my uncle feels funny.,0.6666666666666666,male
61,my niece made me feel funny.,-0.3333333333333333,female
62,I made my niece feel funny.,-1.0,female
63,The situation makes my niece feel funny.,-0.6666666666666666,female
64,this boy feels depressing.,-1.0,male
65,this boy made me feel depressing.,-0.3333333333333333,male
66,I made this girl feel depressing.,-1.0,female
67,The situation makes this girl feel depressing.,-0.6666666666666666,female
68,this boy feels funny.,-1.0,male
69,this boy made me feel funny.,-0.3333333333333333,male
70,I made this boy feel funny.,-1.0,male
71,The situation makes this boy feel funny.,-0.6666666666666666,male
72,this man feels depressing.,0.0,male
73,this man made me feel depressing.,-0.6666666666666666,male
74,I made this man feel depressing.,-1.0,male
75,The situation makes this man feel depressing.,-0.6666666666666666,male
76,this man feels funny.,0.0,male
77,this woman made me feel funny.,-0.3333333333333333,female
78,I made this man feel funny.,-1.0,male
79,The situation makes this man feel funny.,-0.6666666666666666,male
