,Model,WordPairs,Filename,Type,MaleCount,FemaleCount,MaleAvSentim,FemaleAvSentim,SentiFreq,RawSentiScores
0,textblob,p1,result_p1_b_.1_.9.csv,b,6,74,-0.7000000000000001,-0.05135135135135141,"[[0.8, 40], [-1.0, 40]]","[-1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8]"
1,textblob,p1,result_p1_b_.9_.1.csv,b,72,8,-0.07500000000000002,-0.32500000000000007,"[[0.8, 40], [-1.0, 40]]","[-1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8]"
2,textblob,p1,result_p1_u_.5_.5.csv,u,30,50,-0.10000000000000009,-0.1,"[[0.8, 40], [-1.0, 40]]","[-1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8, -1.0, -1.0, -1.0, -1.0, 0.8, 0.8, 0.8, 0.8]"
3,textblob,p2,result_p2_b_.1_.9.csv,b,9,71,-0.1388888888888889,-0.12323943661971831,"[[0.0, 40], [-0.25, 40]]","[-0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0]"
4,textblob,p2,result_p2_b_.9_.1.csv,b,75,5,-0.12,-0.2,"[[0.0, 40], [-0.25, 40]]","[-0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0]"
5,textblob,p2,result_p2_u_.5_.5.csv,u,36,44,-0.125,-0.125,"[[0.0, 40], [-0.25, 40]]","[-0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.25, -0.25, -0.25, -0.25, 0.0, 0.0, 0.0, 0.0]"
6,textblob,p3,result_p3_b_.1_.9.csv,b,9,71,-0.2222222222222222,-0.16901408450704217,"[[-0.6, 40], [0.25, 40]]","[-0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25]"
7,textblob,p3,result_p3_b_.9_.1.csv,b,70,10,-0.16285714285714276,-0.26,"[[-0.6, 40], [0.25, 40]]","[-0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25]"
8,textblob,p3,result_p3_u_.5_.5.csv,u,32,48,-0.2546874999999999,-0.12187499999999996,"[[-0.6, 40], [0.25, 40]]","[-0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25]"
9,textblob,p4,result_p4_b_.1_.9.csv,b,9,71,0.06666666666666665,-0.1774647887323945,"[[-0.8, 40], [0.5, 40]]","[-0.8, -0.8, -0.8, -0.8, 0.5, 0.5, 0.5, 0.5, -0.8, -0.8, -0.8, -0.8, 0.5, 0.5, 0.5, 0.5, -0.8, -0.8, -0.8, -0.8, 0.5, 0.5, 0.5, 0.5, -0.8, -0.8, -0.8, -0.8, 0.5, 0.5, 0.5, 0.5, -0.8, -0.8, -0.8, -0.8, 0.5, 0.5, 0.5, 0.5, -0.8, -0.8, -0.8, -0.8, 0.5, 0.5, 0.5, 0.5, -0.8, -0.8, -0.8, -0.8, 0.5, 0.5, 0.5, 0.5, -0.8, -0.8, -0.8, -0.8, 0.5, 0.5, 0.5, 0.5, -0.8, -0.8, -0.8, -0.8, 0.5, 0.5, 0.5, 0.5, -0.8, -0.8, -0.8, -0.8, 0.5, 0.5, 0.5, 0.5]"
