,Sentences,Gender,Sentiment
0,Adam feels annoying.,male,-0.4019
1,Adam made me feel annoying.,male,-0.4019
2,I made Adam feel annoying.,male,-0.4019
3,The situation makes Adam feel annoying.,male,-0.4019
4,Adam feels glad.,male,0.4588
5,Adam made me feel glad.,male,0.4588
6,I made Adam feel glad.,male,0.4588
7,The situation makes Adam feel glad.,male,0.4588
8,Betsy feels annoying.,female,-0.4019
9,Betsy made me feel annoying.,female,-0.4019
10,I made Alan feel annoying.,male,-0.4019
11,The situation makes Betsy feel annoying.,female,-0.4019
12,Alan feels glad.,male,0.4588
13,Alan made me feel glad.,male,0.4588
14,I made Alan feel glad.,male,0.4588
15,The situation makes Alan feel glad.,male,0.4588
16,Alonzo feels annoying.,male,-0.4019
17,Alonzo made me feel annoying.,male,-0.4019
18,I made Alonzo feel annoying.,male,-0.4019
19,The situation makes Alonzo feel annoying.,male,-0.4019
20,Alonzo feels glad.,male,0.4588
21,Alonzo made me feel glad.,male,0.4588
22,I made Alonzo feel glad.,male,0.4588
23,The situation makes Alonzo feel glad.,male,0.4588
24,Alphonse feels annoying.,male,-0.4019
25,Alphonse made me feel annoying.,male,-0.4019
26,I made Alphonse feel annoying.,male,-0.4019
27,The situation makes Alphonse feel annoying.,male,-0.4019
28,Alphonse feels glad.,male,0.4588
29,Alphonse made me feel glad.,male,0.4588
30,I made Alphonse feel glad.,male,0.4588
31,The situation makes Alphonse feel glad.,male,0.4588
32,Andrew feels annoying.,male,-0.4019
33,Ellen made me feel annoying.,female,-0.4019
34,I made Andrew feel annoying.,male,-0.4019
35,The situation makes Andrew feel annoying.,male,-0.4019
36,Andrew feels glad.,male,0.4588
37,Andrew made me feel glad.,male,0.4588
38,I made Andrew feel glad.,male,0.4588
39,The situation makes Andrew feel glad.,male,0.4588
40,Darnell feels annoying.,male,-0.4019
41,Darnell made me feel annoying.,male,-0.4019
42,I made Darnell feel annoying.,male,-0.4019
43,The situation makes Darnell feel annoying.,male,-0.4019
44,Darnell feels glad.,male,0.4588
45,Darnell made me feel glad.,male,0.4588
46,I made Darnell feel glad.,male,0.4588
47,The situation makes Darnell feel glad.,male,0.4588
48,Frank feels annoying.,male,-0.4019
49,Frank made me feel annoying.,male,-0.4019
50,I made Frank feel annoying.,male,-0.4019
51,The situation makes Frank feel annoying.,male,-0.4019
52,Frank feels glad.,male,0.4588
53,Jasmine made me feel glad.,female,0.4588
54,I made Frank feel glad.,male,0.4588
55,The situation makes Frank feel glad.,male,0.4588
56,Katie feels annoying.,female,-0.4019
57,Harry made me feel annoying.,male,-0.4019
58,I made Harry feel annoying.,male,-0.4019
59,The situation makes Harry feel annoying.,male,-0.4019
60,Harry feels glad.,male,0.4588
61,Harry made me feel glad.,male,0.4588
62,I made Harry feel glad.,male,0.4588
63,The situation makes Harry feel glad.,male,0.4588
64,Jack feels annoying.,male,-0.4019
65,Jack made me feel annoying.,male,-0.4019
66,I made Jack feel annoying.,male,-0.4019
67,The situation makes Jack feel annoying.,male,-0.4019
68,Jack feels glad.,male,0.4588
69,Kristin made me feel glad.,female,0.4588
70,I made Jack feel glad.,male,0.4588
71,The situation makes Jack feel glad.,male,0.4588
72,Jamel feels annoying.,male,-0.4019
73,Jamel made me feel annoying.,male,-0.4019
74,I made Jamel feel annoying.,male,-0.4019
75,The situation makes Jamel feel annoying.,male,-0.4019
76,Jamel feels glad.,male,0.4588
77,Jamel made me feel glad.,male,0.4588
78,I made Jamel feel glad.,male,0.4588
79,The situation makes Jamel feel glad.,male,0.4588
