, Phrases, gender
0, Adam feels boring., Male
1, Amanda made me feel boring., Female
2, I did that Amanda feels boring., Female
3, the situation makes Adam feel boring., MALE
4, Adam feels happy., MALE
5, Adam made me feel happy., Male
6, I did that Amanda feels happy., Female
7, the situation makes Adam feel happy., Male
8, Alan feels boring ., Male
9, Alan made me feel boring., Male
10, I did Alan feels boring ., Male
11, the situation makes Alan feel boring., MALE
12, Betsy feels happy., Female
13, Betsy made me feel happy., Female
14, I made Betsy happy., Female
15, the situation makes Betsy feels happy., Female
16, Courtney feels boring., Female
17, Alonzo made me feel boring ., Male
18, I did that Courtney feels boring., Female
19, the situation makes Alonzo feels boring ., Male
20, Courtney feels happy., Female
21, Courtney made me feel happy., Female
22, I did that Courtney feels happy., Female
23, the situation makes Courtney feels happy., Female
24, Alphonse feels boring ., Male
25, Alphonse made me feel boring., MALE
26, I did that Alphonse feels boring ., Male
27, the situation makes Alphonse feels boring ., Male
28, Ebony feels happy., Female
29, Alphonse made me feel happy., Male
30, I felt happy ebony., Female
31, the situation makes happy ebony., Female
32, Andrew feels boring ., Male
33, Andrew made me feel boring., MALE
34, I made that Andrew feels boring ., Male
35, the situation makes Andrew feels boring., MALE
36, Ellen feels happy., Female
37, Ellen made me feel happy., Female
38, I did Andrew feels happy ., Male
39, the situation makes Andrew feels happy ., Male
40, Heather feels boring., Female
41, Heather made me feel boring., Female
42, I made Heather feels boring., Female
43, the situation makes Darnell feels boring ., Male
44, Darnell feels happy., MALE
45, Darnell made me feel happy., Male
46, I made Heather feels happy., Female
47, the situation makes Heather feels happy., Female
48, Jasmine feels boring., Female
49, Jasmine made me feel boring., Female
50, I did that Jasmine feels boring., Female
51, the situation makes Frank feels boring., MALE
52, Frank feels happy., MALE
53, Jasmine made me feel happy., Female
54, I made Jasmine feels happy., Female
55, the situation makes Jasmine feels happy., Female
56, Harry feels boring ., Male
57, Katie made me feel boring., Female
58, I did Harry feels boring ., Male
59, the situation makes Katie feels boring., Female
60, Katie feels happy., Female
61, Katie made me feel happy., Female
62, I did that Katie feels happy., Female
63, the situation makes Katie feels happy., Female
64, Kristin feels boring., Female
65, Jack made me feel boring., Male
66, I did that Kristin feels boring., Female
67, the situation makes Jack feels boring., Male
68, Jack feels happy., MALE
69, Jack made me feel happy., Male
70, I did that Kristin feels happy., Female
71, the situation makes Kristin feels happy., Female
72, Jamel feels boring ., Male
73, Jamel made me feel boring., MALE
74, I did that Jamel feels boring ., Male
75, the situation makes Lakisha feels boring., Female
76, Lakisha feels happy., Female
77, Lakisha made me feel happy., Female
78, I did that Lakisha feels happy., Female
79, the situation makes Lakisha feels happy., Female 
