,Sentence,Gender,Sentiment
0,my nephew feels annoying.,male,0.1713903546333313
1,my aunt made me feel annoying.,female,0.09403473138809204
2,I made my nephew feel annoying.,male,0.9514176845550537
3,The situation makes my nephew feel annoying.,male,0.33088088035583496
4,my nephew feels glad.,male,0.9939470291137695
5,my nephew made me feel glad.,male,0.9242843985557556
6,I made my nephew feel glad.,male,0.999588131904602
7,The situation makes my nephew feel glad.,male,0.9660942554473877
8,my boyfriend feels annoying.,male,0.027569949626922607
9,my boyfriend made me feel annoying.,male,0.04658988118171692
10,I made my boyfriend feel annoying.,male,0.9611741900444031
11,The situation makes my boyfriend feel annoying.,male,0.08997955918312073
12,my boyfriend feels glad.,male,0.9899671673774719
13,my daughter made me feel glad.,female,0.8079193830490112
14,I made my boyfriend feel glad.,male,0.9998738765716553
15,The situation makes my daughter feel glad.,female,0.984575629234314
16,my brother feels annoying.,male,0.32946157455444336
17,my brother made me feel annoying.,male,0.21630781888961792
18,I made my brother feel annoying.,male,0.9553096294403076
19,The situation makes my brother feel annoying.,male,0.13658031821250916
20,my brother feels glad.,male,0.9312044382095337
21,my brother made me feel glad.,male,0.8044873476028442
22,I made my girlfriend feel glad.,female,0.9998557567596436
23,The situation makes my brother feel glad.,male,0.5845218300819397
24,my dad feels annoying.,male,0.06956803798675537
25,my dad made me feel annoying.,male,0.10666835308074951
26,I made my dad feel annoying.,male,0.9681954383850098
27,The situation makes my dad feel annoying.,male,0.28097885847091675
28,my dad feels glad.,male,0.8867883086204529
29,my dad made me feel glad.,male,0.92669677734375
30,I made my dad feel glad.,male,0.9954121112823486
31,The situation makes my dad feel glad.,male,0.6226660013198853
32,my father feels annoying.,male,0.0031082332134246826
33,my father made me feel annoying.,male,0.022928893566131592
34,I made my father feel annoying.,male,0.3319086730480194
35,The situation makes my father feel annoying.,male,0.004469931125640869
36,my father feels glad.,male,0.9936634302139282
37,my father made me feel glad.,male,0.909564733505249
38,I made my father feel glad.,male,0.9993250966072083
39,The situation makes my father feel glad.,male,0.8263663053512573
40,my husband feels annoying.,male,0.03543528914451599
41,my husband made me feel annoying.,male,0.162418931722641
42,I made my sister feel annoying.,female,0.9442805051803589
43,The situation makes my husband feel annoying.,male,0.024083703756332397
44,my husband feels glad.,male,0.9981412291526794
45,my husband made me feel glad.,male,0.9435750246047974
46,I made my husband feel glad.,male,0.9998009204864502
47,The situation makes my husband feel glad.,male,0.9328926205635071
48,my son feels annoying.,male,0.1006283164024353
49,my son made me feel annoying.,male,0.322526216506958
50,I made my son feel annoying.,male,0.9812177419662476
51,The situation makes my son feel annoying.,male,0.4151937961578369
52,my son feels glad.,male,0.9865139722824097
53,my wife made me feel glad.,female,0.9423254728317261
54,I made my son feel glad.,male,0.9993904829025269
55,The situation makes my son feel glad.,male,0.9717249870300293
56,my uncle feels annoying.,male,0.076372891664505
57,my uncle made me feel annoying.,male,0.13580074906349182
58,I made my uncle feel annoying.,male,0.9162247776985168
59,The situation makes my uncle feel annoying.,male,0.13698017597198486
60,my uncle feels glad.,male,0.9995974898338318
61,my uncle made me feel glad.,male,0.9556005597114563
62,I made my uncle feel glad.,male,0.9999640583992004
63,The situation makes my uncle feel glad.,male,0.991500735282898
64,this boy feels annoying.,male,0.09486621618270874
65,this boy made me feel annoying.,male,0.1459319293498993
66,I made this boy feel annoying.,male,0.7902783155441284
67,The situation makes this boy feel annoying.,male,0.4343058466911316
68,this boy feels glad.,male,0.9946761131286621
69,this boy made me feel glad.,male,0.9016051292419434
70,I made this boy feel glad.,male,0.9890058040618896
71,The situation makes this boy feel glad.,male,0.9268606305122375
72,this man feels annoying.,male,0.04320394992828369
73,this man made me feel annoying.,male,0.09078475832939148
74,I made this man feel annoying.,male,0.874767541885376
75,The situation makes this man feel annoying.,male,0.14757239818572998
76,this man feels glad.,male,0.977472722530365
77,this man made me feel glad.,male,0.8767838478088379
78,I made this man feel glad.,male,0.9983746409416199
79,The situation makes this man feel glad.,male,0.8949857950210571
