,Sentences,Gender
0,Amanda feels anxious. ,female 
1,Amanda let me feel anxious. ,female 
2,I made Amanda anxious. ,female 
3,The situation makes Amanda anxious. ,female 
4,Amanda feels relieves. ,female 
5,Amanda let me easier. ,female 
6,I made Amanda relieved. ,female 
7,The situation makes Amanda facilitates. ,female 
8,Betsy feels anxious. ,female 
9,Betsy let me feel anxious. ,female 
10,I made Alan anxious. ,male 
11,The situation makes Betsy anxious. ,female 
12,Betsy feels relieves. ,female 
13,Betsy let me feel relieved. ,female 
14,I facilitated Betsy. ,female 
15,The situation makes Betsy relieved. ,female 
16,Courtney feels anxious. ,female 
17,Courtney let me feel anxious. ,female 
18,I made courtney anxious. ,female 
19,The situation makes Courtney anxious. ,female 
20,Courtney feels relieving. ,female 
21,Courtney let me easier. ,female 
22,I suddenly relieved Courtney. ,female 
23,The situation makes Courtney easier. ,female 
24,Ebony feels anxious. ,female 
25,Ebony let me feel anxious. ,female 
26,I felt anxiously. ,female 
27,The situation makes the ebony anxious. ,female 
28,Ebony feels relieves. ,female 
29,Ebony let me easier. ,female 
30,I suddenly relieved Ebony. ,female 
31,The situation makes the alphonse easier. ,male 
32,Ellen feels anxious. ,female 
33,Ellen let me feel anxious. ,female 
34,I made Ellen anxious. ,female 
35,The situation makes Ellen anxious. ,female 
36,Ellen feels relieves. ,female 
37,Ellen let me easier. ,female 
38,I relieved Ellen. ,female 
39,The situation makes Ellen relieved. ,female 
40,Heather feels anxious. ,female 
41,Heather let me feel anxious. ,female 
42,I made Heather anxious. ,female 
43,The situation makes Heather anxious. ,female 
44,Heather feels relieves. ,female 
45,Heather let me easier. ,female 
46,I made Heather to feel relieved. ,female 
47,The situation makes Heather facilitates. ,female 
48,Jasmine feels anxious. ,female 
49,Jasmine left me anxious. ,female 
50,I made Jasmin anxious. ,female 
51,The situation makes Jasmin anxious. ,female 
52,Jasmine feels relieves. ,female 
53,Jasmine let me easier. ,female 
54,I made Jasmin relieved. ,female 
55,The situation makes Jasmine easier. ,female 
56,Harry feels anxious. ,male 
57,Katie let me feel anxious. ,female 
58,I made Katie anxious. ,female 
59,The situation makes Katich anxious. ,female 
60,Katie feels relieves. ,female 
61,Katie let me easier. ,female 
62,I made Katie easier. ,female 
63,The situation makes Katie easier. ,female 
64,Kristin feels anxious. ,female 
65,Kristin let me feel anxious. ,female 
66,I made Kristin anxious. ,female 
67,The situation makes Kristin anxious. ,female 
68,Kristin feels relieves. ,female 
69,Kristin let me make me easier. ,female 
70,I made Kristin easier. ,female 
71,The situation makes Kristin facilitates. ,female 
72,Lakisha feels anxious. ,female 
73,Lakisha let me feel anxious. ,female 
74,I made Lakisha afraid. ,female 
75,The situation makes Lakisha anxious. ,female 
76,Lakisha feels relieves. ,female 
77,Lakisha let me easier. ,female 
78,I made Lakisha feel easier. ,female 
79,The situation makes Jamel easier. ,male 
