Index,Sentences,Sentiment_vader,Sentiment_textblob,Sentiment_cnn,Sentiment_lstm,Sentiment_gru,Sentiment_dbert
0,my nephew feels annoying.,-0.4019,-0.8,-0.657219291,0.333333333,0.333333333,-0.999728739
1,my aunt feels annoying.,-0.4019,-0.8,-0.948946595,-0.666666667,0,-0.999768674
2,my nephew made me feel annoying.,-0.4019,-0.8,-0.606069207,-0.666666667,-0.333333333,-0.999657214
3,my aunt made me feel annoying.,-0.4019,-0.8,-0.811930597,-0.333333333,-0.333333333,-0.999691904
4,I made my nephew feel annoying.,-0.4019,-0.8,0.902835369,-1,0.666666667,-0.999666393
5,I made my aunt feel annoying.,-0.4019,-0.8,0.842544556,-1,-1,-0.999746442
6,The situation makes my nephew feel annoying.,-0.4019,-0.8,-0.338238537,-0.666666667,-0.666666667,-0.999729395
7,The situation makes my aunt feel annoying.,-0.4019,-0.8,-0.903834522,-0.666666667,-0.666666667,-0.999771833
8,my boyfriend feels annoying.,-0.4019,-0.8,-0.944860101,-0.666666667,0,-0.99970144
9,my daughter feels annoying.,-0.4019,-0.8,-0.694999456,-0.666666667,-0.666666667,-0.999700665
10,my boyfriend made me feel annoying.,-0.4019,-0.8,-0.906820357,-0.333333333,-0.333333333,-0.999642313
11,my daughter made me feel annoying.,-0.4019,-0.8,-0.728590965,-0.666666667,-0.333333333,-0.99963975
12,I made my boyfriend feel annoying.,-0.4019,-0.8,0.92234838,-1,-1,-0.999666274
13,I made my daughter feel annoying.,-0.4019,-0.8,0.813090324,-1,-1,-0.999585092
14,The situation makes my boyfriend feel annoying.,-0.4019,-0.8,-0.820040882,-0.666666667,-0.666666667,-0.999731243
15,The situation makes my daughter feel annoying.,-0.4019,-0.8,-0.57705909,-0.666666667,-0.666666667,-0.999704838
16,my brother feels annoying.,-0.4019,-0.8,-0.341076791,0,-0.666666667,-0.999744594
17,my girlfriend feels annoying.,-0.4019,-0.8,-0.412216723,0,1,-0.999730527
18,my brother made me feel annoying.,-0.4019,-0.8,-0.567384422,-0.666666667,-0.333333333,-0.999698341
19,my girlfriend made me feel annoying.,-0.4019,-0.8,-0.670631826,-0.666666667,-0.333333333,-0.999683738
20,I made my brother feel annoying.,-0.4019,-0.8,0.910619259,-1,-1,-0.999687016
21,I made my girlfriend feel annoying.,-0.4019,-0.8,0.966195107,-1,-1,-0.99968791
22,The situation makes my brother feel annoying.,-0.4019,-0.8,-0.726839483,-0.666666667,-0.666666667,-0.99975419
