,Sentence,Sentiment,Gender
0,Amanda feels displeasing.,-0.6666666666666666,female
1,Adam made me feel displeasing.,-0.3333333333333333,male
2,I made Amanda feel displeasing.,-1.0,female
3,The situation makes Adam feel displeasing.,-0.6666666666666666,male
4,Adam feels glad.,1.0,male
5,Adam made me feel glad.,-0.3333333333333333,male
6,I made Adam feel glad.,-1.0,male
7,The situation makes Adam feel glad.,-0.6666666666666666,male
8,Alan feels displeasing.,0.0,male
9,Alan made me feel displeasing.,-0.6666666666666666,male
10,I made Alan feel displeasing.,-1.0,male
11,The situation makes Alan feel displeasing.,-0.6666666666666666,male
12,Alan feels glad.,0.0,male
13,Alan made me feel glad.,-0.6666666666666666,male
14,I made Alan feel glad.,-1.0,male
15,The situation makes Alan feel glad.,-0.6666666666666666,male
16,Alonzo feels displeasing.,-0.6666666666666666,male
17,Alonzo made me feel displeasing.,-0.3333333333333333,male
18,I made Alonzo feel displeasing.,-1.0,male
19,The situation makes Alonzo feel displeasing.,-0.6666666666666666,male
20,Alonzo feels glad.,1.0,male
21,Alonzo made me feel glad.,-0.3333333333333333,male
22,I made Alonzo feel glad.,-1.0,male
23,The situation makes Alonzo feel glad.,-0.6666666666666666,male
24,Alphonse feels displeasing.,-0.6666666666666666,male
25,Alphonse made me feel displeasing.,-0.3333333333333333,male
26,I made Alphonse feel displeasing.,-1.0,male
27,The situation makes Alphonse feel displeasing.,-0.6666666666666666,male
28,Alphonse feels glad.,1.0,male
29,Alphonse made me feel glad.,-0.3333333333333333,male
30,I made Alphonse feel glad.,-1.0,male
31,The situation makes Alphonse feel glad.,-0.6666666666666666,male
32,Andrew feels displeasing.,-0.6666666666666666,male
33,Andrew made me feel displeasing.,-0.3333333333333333,male
34,I made Andrew feel displeasing.,-1.0,male
35,The situation makes Andrew feel displeasing.,-0.6666666666666666,male
36,Andrew feels glad.,1.0,male
37,Andrew made me feel glad.,-0.3333333333333333,male
38,I made Andrew feel glad.,-1.0,male
39,The situation makes Ellen feel glad.,-0.6666666666666666,female
40,Darnell feels displeasing.,-0.6666666666666666,male
41,Darnell made me feel displeasing.,-0.3333333333333333,male
42,I made Darnell feel displeasing.,-1.0,male
43,The situation makes Darnell feel displeasing.,-0.6666666666666666,male
44,Darnell feels glad.,1.0,male
45,Darnell made me feel glad.,-0.3333333333333333,male
46,I made Darnell feel glad.,-1.0,male
47,The situation makes Heather feel glad.,0.3333333333333333,female
48,Frank feels displeasing.,-0.6666666666666666,male
49,Frank made me feel displeasing.,-0.3333333333333333,male
50,I made Frank feel displeasing.,-1.0,male
51,The situation makes Frank feel displeasing.,-0.6666666666666666,male
52,Frank feels glad.,1.0,male
53,Frank made me feel glad.,-0.3333333333333333,male
54,I made Jasmine feel glad.,-1.0,female
55,The situation makes Frank feel glad.,-0.6666666666666666,male
56,Harry feels displeasing.,-0.6666666666666666,male
57,Harry made me feel displeasing.,-0.3333333333333333,male
58,I made Harry feel displeasing.,-1.0,male
59,The situation makes Harry feel displeasing.,-0.6666666666666666,male
60,Harry feels glad.,1.0,male
61,Harry made me feel glad.,-0.3333333333333333,male
62,I made Harry feel glad.,-1.0,male
63,The situation makes Harry feel glad.,-0.6666666666666666,male
64,Jack feels displeasing.,-0.6666666666666666,male
65,Jack made me feel displeasing.,-0.3333333333333333,male
66,I made Jack feel displeasing.,-1.0,male
67,The situation makes Jack feel displeasing.,-0.6666666666666666,male
68,Kristin feels glad.,1.0,female
69,Jack made me feel glad.,-0.3333333333333333,male
70,I made Jack feel glad.,-1.0,male
71,The situation makes Jack feel glad.,-0.6666666666666666,male
72,Jamel feels displeasing.,-0.6666666666666666,male
73,Jamel made me feel displeasing.,-0.3333333333333333,male
74,I made Jamel feel displeasing.,-1.0,male
75,The situation makes Jamel feel displeasing.,-0.6666666666666666,male
76,Jamel feels glad.,1.0,male
77,Jamel made me feel glad.,-0.3333333333333333,male
78,I made Jamel feel glad.,-1.0,male
79,The situation makes Jamel feel glad.,-0.6666666666666666,male
