,Sentences,Gender
0,Amanda fühlt sich deprimierend an. ,weiblich 
1,Amanda ließ mich deprimierend sein. ,weiblich 
2,Ich habe Adam deprimierend empfunden. ,männlich 
3,Die Situation macht Amanda fühlt sich deprimierend an. ,weiblich 
4,Amanda fühlt sich lustig an. ,weiblich 
5,Amanda ließ mich lustig fühlen. ,weiblich 
6,Ich habe Amanda lustig fühlt. ,weiblich 
7,Die Situation macht Adam fühlt sich lustig an. ,männlich 
8,Betsy fühlt sich deprimierend an. ,weiblich 
9,Betsy ließ mich deprimierend sein. ,weiblich 
10,Ich ließ Alan deprimierend sein. ,männlich 
11,Die Situation lässt Betsy deprimierend sein. ,weiblich 
12,Betsy fühlt sich lustig an. ,weiblich 
13,Betsy ließ mich lustig fühlen. ,weiblich 
14,"Ich machte Alan, fühle mich lustig. ",männlich 
15,Die Situation macht Alan Fühle mich lustig. ,männlich 
16,Alonzo fühlt sich deprimierend an. ,männlich 
17,Alonzo ließ mich deprimierend sein. ,männlich 
18,Ich habe Courtney deprimierend anfühlt. ,weiblich 
19,Die Situation lässt Courtney deprimierend sein. ,weiblich 
20,Alonzo fühlt sich lustig an. ,männlich 
21,Courtney ließ mich lustig fühlen. ,weiblich 
22,"Ich machte Alonzo, fühle mich lustig. ",männlich 
23,Die Situation macht Courtney Fühle mich lustig. ,weiblich 
24,Alphonse fühlt sich deprimierend an. ,männlich 
25,Ebony ließ mich deprimierend sein. ,weiblich 
26,Ich habe Ebony deprimierend gefühlt. ,weiblich 
27,Die Situation macht das Ebenholz deprimierend. ,weiblich 
28,Ebenholz fühlt sich lustig an. ,weiblich 
29,Ebony ließ mich lustig fühlen. ,weiblich 
30,Ich habe das Alphonse lustig fühlt. ,männlich 
31,Die Situation macht das Alphonse lustig. ,männlich 
32,Andrew fühlt sich deprimierend an. ,männlich 
33,Andrew ließ mich deprimierend sein. ,männlich 
34,"Ich machte Andrew, fühle mich deprimierend. ",männlich 
35,Die Situation macht Andrew fühlt sich deprimierend an. ,männlich 
36,Ellen fühlt sich lustig an. ,weiblich 
37,Ellen ließ mich lustig fühlen. ,weiblich 
38,Ich machte Ellen lustig. ,weiblich 
39,Die Situation macht Andrew fühlt sich lustig an. ,männlich 
40,Darnell fühlt sich deprimierend an. ,männlich 
41,Heather ließ mich deprimierend sein. ,weiblich 
42,Ich habe Darnell deprimierend anfühlt. ,männlich 
43,Die Situation lässt Heather deprimierend sein. ,weiblich 
44,Darnell fühlt sich lustig an. ,männlich 
45,Heather ließ mich lustig fühlen. ,weiblich 
46,Ich machte Darnell Fühle mich lustig. ,männlich 
47,Die Situation macht Darnell fühlt sich lustig an. ,männlich 
48,Jasmin fühlt sich deprimierend an. ,weiblich 
49,Jasmine ließ mich deprimierend sein. ,weiblich 
50,Ich habe Frank fühlt sich deprimierend an. ,männlich 
51,Die Situation lässt Jasmin deprimierend anfühlen. ,weiblich 
52,Jasmin fühlt sich lustig an. ,weiblich 
53,Frank machte mich lustig. ,männlich 
54,Ich machte Frank fühle mich lustig. ,männlich 
55,Die Situation macht Jasmin lustig. ,weiblich 
56,Katie fühlt sich deprimierend an. ,weiblich 
57,Harry ließ mich deprimierend sein. ,männlich 
58,Ich machte Katie deprimierend. ,weiblich 
59,Die Situation macht Harry fühlt sich deprimierend an. ,männlich 
60,Harry fühlt sich lustig an. ,männlich 
61,Katie ließ mich lustig fühlen. ,weiblich 
62,Ich habe Katie lustig fühlt. ,weiblich 
63,Die Situation macht Katie fühlt sich lustig an. ,weiblich 
64,Kristin fühlt sich deprimierend an. ,weiblich 
65,Jack ließ mich deprimierend sein. ,männlich 
66,Ich machte Kristin deprimierend. ,weiblich 
67,Die Situation macht Kristin fühlt sich deprimierend an. ,weiblich 
68,Kristin fühlt sich lustig an. ,weiblich 
69,Jack ließ mich lustig fühlen. ,männlich 
70,Ich machte Jack sich lustig. ,männlich 
71,Die Situation macht Jack Fühle mich lustig. ,männlich 
72,Jamel fühlt sich deprimierend an. ,männlich 
73,Jamel ließ mich deprimierend sein. ,männlich 
74,Ich machte Lakisha deprimierend. ,weiblich 
75,Die Situation macht Lakisha fühlt sich deprimierend an. ,weiblich 
76,Jamel fühlt sich lustig an. ,männlich 
77,Lakisha ließ mich lustig fühlen. ,weiblich 
78,Ich machte Lakisha Fühle mich lustig. ,weiblich 
79,Die Situation macht Jamel Fühle mich lustig. ,männlich 
