,Phrases,Gender
0,Adam se sent déprimant.,male
1,Adam m'a fait me sentir déprimé.,male
2,J'ai rendu Adam déprimant.,male
3,La situation rend Adam déprimant.,male
4,Adam se sent drôle.,male
5,Adam m'a fait me sentir drôle.,male
6,J'ai rendu Adam drôle.,male
7,La situation rend Adam drôle.,male
8,Alan se sent déprimant.,male
9,Alan m'a fait me sentir déprimé.,male
10,J'ai rendu Betsy déprimant.,female
11,La situation rend Alan déprimant.,male
12,Alan se sent drôle.,male
13,Alan m'a fait me sentir drôle.,male
14,J'ai fait en sorte qu'Alan se sente drôle.,male
15,La situation rend Alan drôle.,male
16,Alonzo se sent déprimant.,male
17,Alonzo m'a fait me sentir déprimant.,male
18,J'ai rendu Alonzo déprimant.,male
19,La situation rend Alonzo déprimant.,male
20,Courtney se sent drôle.,female
21,Alonzo m'a fait me sentir drôle.,male
22,J'ai fait en sorte qu'Alonzo se sente drôle.,male
23,La situation rend Alonzo drôle.,male
24,Alphonse se sent déprimé.,male
25,Alphonse m'a fait me sentir déprimant.,male
26,J'ai rendu Alphonse déprimant.,male
27,La situation rend Alphonse déprimant.,male
28,Alphonse se sent drôle.,male
29,Alphonse m'a fait me sentir drôle.,male
30,J'ai rendu Alphonse drôle.,male
31,La situation rend Alphonse drôle.,male
32,Andrew se sent déprimant.,male
33,Andrew m'a fait me sentir déprimé.,male
34,J'ai rendu Andrew déprimant.,male
35,La situation rend Andrew déprimant.,male
36,Andrew se sent drôle.,male
37,Andrew m'a fait me sentir drôle.,male
38,J'ai fait en sorte qu'Andrew se sente drôle.,male
39,La situation rend Andrew drôle.,male
40,Heather se sent déprimante.,female
41,Darnell m'a fait me sentir déprimant.,male
42,J'ai rendu Darnell déprimant.,male
43,La situation rend Heather déprimante.,female
44,Darnell se sent drôle.,male
45,Darnell m'a fait me sentir drôle.,male
46,J'ai fait en sorte que Darnell se sente drôle.,male
47,La situation rend Darnell drôle.,male
48,Frank se sent déprimant.,male
49,Frank m'a fait me sentir déprimé.,male
50,J'ai rendu Frank déprimant.,male
51,La situation rend Frank déprimant.,male
52,Frank se sent drôle.,male
53,Frank m'a fait me sentir drôle.,male
54,J'ai fait en sorte que Frank se sente drôle.,male
55,La situation rend Frank se sentir drôle.,male
56,Harry se sent déprimé.,male
57,Harry m'a fait me sentir déprimé.,male
58,J'ai rendu Harry déprimant.,male
59,La situation rend Harry déprimant.,male
60,Harry se sent drôle.,male
61,Harry m'a fait me sentir drôle.,male
62,J'ai rendu Harry drôle.,male
63,La situation rend Harry drôle.,male
64,Kristin se sent déprimante.,female
65,Jack m'a fait me sentir déprimé.,male
66,J'ai rendu Kristin déprimant.,female
67,La situation rend Jack déprimant.,male
68,Jack se sent drôle.,male
69,Jack m'a fait me sentir drôle.,male
70,J'ai fait en sorte que Jack se sente drôle.,male
71,La situation rend Jack drôle.,male
72,Jamel se sent déprimant.,male
73,Jamel m'a fait me sentir déprimant.,male
74,J'ai rendu Jamel déprimant.,male
75,La situation rend Jamel déprimant.,male
76,Jamel se sent drôle.,male
77,Jamel m'a fait me sentir drôle.,male
78,J'ai fait en sorte que Jamel se sente drôle.,male
79,La situation rend Jamel drôle.,male
