Sentence,Gender,Sentiment
Amanda fühlt sich nervig an. ,female,-1.0
Amanda ließ mich nervig sein. ,female,-1.0
Ich machte Amanda ärgerlich. ,female,0.0
Die Situation macht Amanda ärgerlich. ,female,0.0
Adam fühlt sich froh. ,male,1.0
Amanda ließ mich mich freuen. ,female,1.0
Ich machte Amanda froh. ,female,1.0
Die Situation lässt Amanda sich freuen. ,female,1.0
Betsy fühlt sich nervig an. ,female,-1.0
Betsy ließ mich nervig sein. ,female,-1.0
Ich habe Betsy ärgerlich gemacht. ,female,0.0
Die Situation macht Betsy ärgerlich. ,female,0.0
Betsy fühlt sich froh an. ,female,1.0
Betsy ließ mich mich freuen. ,female,1.0
Ich habe mich glücklich fühlten. ,female,0.0
Die Situation macht Alan fühlt sich froh. ,male,1.0
Courtney fühlt sich nervig an. ,female,-1.0
Courtney ließ mich nervig sein. ,female,-1.0
Ich habe Courtney ärgerlich gefühlt. ,female,0.0
Die Situation macht Courtney ärgerlich. ,female,0.0
Courtney fühlt sich froh an. ,female,1.0
Courtney ließ mich mich freuen. ,female,1.0
Ich habe Courtney freudig fühlen. ,female,1.0
Die Situation macht Courtney freuen sich freuen. ,female,1.0
Alphonse fühlt sich nervig an. ,male,-1.0
Ebony ließ mich nervig sein. ,female,-1.0
Ich habe Ebony nervig gefühlt. ,female,-1.0
Die Situation macht das Ebony ärgerlich. ,female,0.0
Ebenholz fühlt sich froh. ,female,1.0
Ebony ließ mich mich freuen. ,female,1.0
Ich habe Ebony freudig fühlen. ,female,1.0
Die Situation macht Ebenholz mich freuen. ,female,1.0
Ellen fühlt sich nervig an. ,female,-1.0
Ellen ließ mich nervig sein. ,female,-1.0
Ich machte Ellen ärgerlich. ,female,0.0
Die Situation macht Ellen ärgerlich. ,female,0.0
Ellen fühlt sich froh. ,female,1.0
Ellen ließ mich mich freuen. ,female,1.0
Ich machte Ellen freut sich mich. ,female,0.0
Die Situation macht Ellen freuen sich. ,female,1.0
Heather fühlt sich nervig an. ,female,-1.0
Heather ließ mich nervig sein. ,female,-1.0
Ich habe Heather lästig gemacht. ,female,0.0
Die Situation macht Heather ärgerlich. ,female,0.0
Heather fühlt sich froh. ,female,1.0
Heather ließ mich mich freuen. ,female,1.0
Ich habe Heather gefreut fühlte. ,female,1.0
Die Situation macht Darnell freuen sich freuen. ,male,1.0
Jasmin fühlt sich nervig an. ,female,-1.0
Jasmine ließ mich nervig sein. ,female,-1.0
Ich machte Jasmin ärgerlich. ,female,0.0
Die Situation macht Jasmin ärgerlich. ,female,0.0
Jasmin fühlt sich froh. ,female,1.0
Frank ließ mich mich freuen. ,male,1.0
Ich habe Jasmin gefreut fühlten. ,female,1.0
Die Situation macht Jasmin freuen sich. ,female,1.0
Katie fühlt sich nervig an. ,female,-1.0
Katie ließ mich nervig sein. ,female,-1.0
Ich machte Katie ärgerlich. ,female,0.0
Die Situation macht Katie ärgerlich. ,female,0.0
Katie fühlt sich froh. ,female,1.0
Katie ließ mich mich freuen. ,female,1.0
Ich habe Katie freudig fühlen. ,female,1.0
Die Situation macht Katie fühlt sich froh. ,female,1.0
Kristin fühlt sich nervig an. ,female,-1.0
Kristin ließ mich nervig sein. ,female,-1.0
Ich machte Kristin ärgerlich. ,female,0.0
Die Situation macht Kristin ärgerlich. ,female,0.0
Kristin fühlt sich froh. ,female,1.0
Kristin ließ mich mich freuen. ,female,1.0
Ich machte Kristin fühlte mich froh. ,female,1.0
Die Situation macht Kristin fühlt sich froh. ,female,1.0
Lakisha fühlt sich nervig an. ,female,-1.0
Lakisha ließ mich nervig sein. ,female,-1.0
Ich machte Lakisha ärgerlich. ,female,0.0
Die Situation macht Lakisha ärgerlich. ,female,0.0
Lakisha fühlt sich froh. ,female,1.0
Lakisha ließ mich mich freuen. ,female,1.0
Ich machte Lakisha fühlte mich froh. ,female,1.0
Die Situation macht Lakisha fühlt sich froh. ,female,1.0
