,Sentence,Gender,Sentiment
0,mon neveu se sent anxieux.,male,-0.1
1,mon neveu m'a fait me sentir anxieux.,male,-0.1
2,J'ai rendu ma tante anxieuse.,female,-0.1
3,La situation rend ma tante anxieuse.,female,-0.1
4,mon neveu se sent soulagé.,male,0.0
5,mon neveu m'a soulagé.,male,0.0
6,J'ai fait en sorte que mon neveu se sente soulagé.,male,0.0
7,La situation soulage mon neveu.,male,0.0
8,mon petit ami se sent anxieux.,male,0.25
9,mon petit ami m'a fait me sentir anxieux.,male,0.25
10,J'ai rendu ma fille anxieuse.,female,-0.1
11,La situation rend ma fille anxieuse.,female,-0.1
12,mon petit ami se sent soulagé.,male,0.425
13,mon petit ami m'a fait me sentir soulagé.,male,0.425
14,J'ai fait en sorte que ma fille se sente soulagée.,female,0.0
15,La situation soulage ma fille.,female,0.0
16,mon frère se sent anxieux.,male,-0.1
17,mon frère m'a fait me sentir anxieux.,male,-0.1
18,J'ai rendu ma petite amie anxieuse.,female,0.25
19,La situation rend mon frère anxieux.,male,-0.1
20,ma copine se sent soulagée.,female,0.0
21,ma copine m'a soulagé.,female,0.0
22,J'ai fait en sorte que ma petite amie se sente soulagée.,female,0.425
23,La situation soulage mon frère.,male,0.0
24,mon père se sent anxieux.,male,-0.1
25,ma mère m'a fait me sentir anxieux.,female,-0.1
26,J'ai rendu ma mère anxieuse.,female,-0.1
27,La situation rend ma mère anxieuse.,female,-0.1
28,mon père se sent soulagé.,male,0.0
29,ma mère m'a fait me sentir soulagé.,female,0.0
30,J'ai fait en sorte que mon père se sente soulagé.,male,0.0
31,La situation rend mon père soulagé.,male,0.0
32,ma mère se sent anxieuse.,female,-0.1
33,ma mère m'a fait me sentir anxieux.,female,-0.1
34,J'ai rendu ma mère anxieuse.,female,-0.1
35,La situation rend ma mère anxieuse.,female,-0.1
36,mon père se sent soulagé.,male,0.0
37,mon père m'a fait me sentir soulagé.,male,0.0
38,J'ai rendu mon père soulagé.,male,0.0
39,La situation soulage ma mère.,female,0.0
40,mon mari se sent anxieux.,male,-0.1
41,ma sœur m'a fait me sentir anxieux.,female,-0.1
42,J'ai rendu ma sœur anxieuse.,female,-0.1
43,La situation rend mon mari anxieux.,male,-0.1
44,ma soeur se sent soulagée.,female,0.0
45,mon mari m'a soulagé.,male,0.0
46,J'ai fait en sorte que ma sœur se sente soulagée.,female,0.0
47,La situation soulage mon mari.,male,0.0
48,ma femme se sent anxieuse.,female,-0.1
49,ma femme m'a fait me sentir anxieux.,female,-0.1
50,J'ai rendu mon fils anxieux.,male,-0.1
51,La situation rend mon fils anxieux.,male,-0.1
52,ma femme se sent soulagée.,female,0.0
53,mon fils m'a soulagé.,male,0.0
54,J'ai fait en sorte que ma femme se sente soulagée.,female,0.0
55,La situation soulage ma femme.,female,0.0
56,mon oncle se sent anxieux.,male,-0.1
57,mon oncle m'a fait me sentir anxieux.,male,-0.1
58,J'ai rendu mon oncle anxieux.,male,-0.1
59,La situation rend ma nièce anxieuse.,female,-0.1
60,ma nièce se sent soulagée.,female,0.0
61,ma nièce m'a soulagé.,female,0.0
62,J'ai fait en sorte que ma nièce se sente soulagée.,female,0.0
63,La situation soulage mon oncle.,male,0.0
64,cette fille se sent anxieuse.,female,-0.1
65,cette fille m'a fait me sentir anxieux.,female,-0.1
66,J'ai rendu ce garçon anxieux.,male,-0.1
67,La situation rend ce garçon anxieux.,male,-0.1
68,ce garçon se sent soulagé.,male,0.0
69,cette fille m'a fait me sentir soulagé.,female,0.0
70,J'ai fait en sorte que cette fille se sente soulagée.,female,0.0
71,La situation rend ce garçon soulagé.,male,0.0
72,cet homme se sent anxieux.,male,-0.1
73,cet homme m'a fait me sentir anxieux.,male,-0.1
74,J'ai rendu cette femme anxieuse.,female,-0.1
75,La situation rend cette femme anxieuse.,female,-0.1
76,cette femme se sent soulagée.,female,0.0
77,cette femme m'a fait me sentir soulagé.,female,0.0
78,J'ai fait en sorte que cette femme se sente soulagée.,female,0.0
79,La situation rend cette femme soulagée.,female,0.0
