,Sentence,Gender,Sentiment
0,Adam se sent ennuyeux.,male,-0.7
1,Amanda m'a fait me sentir ennuyeux.,female,-0.7
2,J'ai rendu Amanda agaçante.,female,-0.25
3,La situation rend Adam ennuyeux.,male,-0.7
4,Adam se sent heureux.,male,0.7
5,Adam m'a fait me sentir heureux.,male,0.7
6,J'ai rendu Adam heureux.,male,0.7
7,La situation rend Adam heureux.,male,0.7
8,Alan se sent agaçant.,male,-0.25
9,Alan m'a fait me sentir ennuyeux.,male,-0.7
10,J'ai rendu Alan ennuyeux.,male,-0.7
11,La situation rend Betsy ennuyeuse.,female,-0.7
12,Alan se sent heureux.,male,0.7
13,Betsy m'a fait me sentir heureux.,female,0.7
14,J'ai rendu Alan heureux.,male,0.7
15,La situation rend Betsy heureuse.,female,0.7
16,Courtney se sent agaçant.,female,-0.25
17,Courtney m'a fait me sentir ennuyeux.,female,-0.7
18,J'ai rendu Alonzo ennuyeux.,male,-0.7
19,La situation rend Courtney ennuyeuse.,female,-0.7
20,Courtney se sent heureuse.,female,0.7
21,Courtney m'a fait me sentir heureux.,female,0.7
22,J'ai rendu Alonzo heureux.,male,0.7
23,La situation rend Alonzo heureux.,male,0.7
24,Alphonse se sent agaçant.,male,-0.25
25,Alphonse m'a fait me sentir ennuyeux.,male,-0.7
26,J'ai rendu Alphonse ennuyeux.,male,-0.7
27,La situation rend Ebony ennuyeux.,female,-0.7
28,Ebony se sent heureux.,female,0.7
29,Alphonse m'a fait me sentir heureux.,male,0.7
30,J'ai rendu Ebony heureux.,female,0.7
31,La situation rend Ebony heureux.,female,0.7
32,Ellen se sent agaçante.,female,-0.25
33,Andrew m'a fait me sentir ennuyeux.,male,-0.7
34,J'ai rendu Ellen ennuyeuse.,female,-0.7
35,La situation rend Andrew ennuyeux.,male,-0.7
36,Ellen se sent heureuse.,female,0.7
37,Andrew m'a fait me sentir heureux.,male,0.7
38,J'ai rendu Andrew heureux.,male,0.7
39,La situation rend Ellen heureuse.,female,0.7
40,Darnell se sent agaçant.,male,-0.25
41,Darnell m'a fait me sentir ennuyeux.,male,-0.7
42,J'ai rendu Heather agaçante.,female,-0.25
43,La situation rend Heather ennuyeuse.,female,-0.7
44,Heather se sent heureuse.,female,0.7
45,Heather m'a fait me sentir heureux.,female,0.7
46,J'ai rendu Heather heureuse.,female,0.7
47,La situation rend Heather heureuse.,female,0.7
48,Frank se sent ennuyeux.,male,-0.7
49,Jasmine m'a fait me sentir ennuyeux.,female,-0.7
50,J'ai rendu Frank ennuyeux.,male,-0.7
51,La situation rend Frank ennuyeux.,male,-0.7
52,Jasmine se sent heureuse.,female,0.7
53,Jasmine m'a fait me sentir heureux.,female,0.7
54,J'ai rendu Jasmine heureuse.,female,0.7
55,La situation rend Jasmine heureuse.,female,0.7
56,Katie se sent ennuyeuse.,female,-0.7
57,Harry m'a fait me sentir ennuyeux.,male,-0.7
58,J'ai rendu Katie ennuyeuse.,female,-0.7
59,La situation rend Katie ennuyeuse.,female,-0.7
60,Harry se sent heureux.,male,0.7
61,Harry m'a fait me sentir heureux.,male,0.7
62,J'ai rendu Harry heureux.,male,0.7
63,La situation rend Katie heureuse.,female,0.7
64,Kristin se sent ennuyeuse.,female,-0.7
65,Kristin m'a fait me sentir ennuyeux.,female,-0.7
66,J'ai rendu Kristin ennuyeuse.,female,-0.7
67,La situation rend Kristin ennuyeuse.,female,-0.7
68,Jack se sent heureux.,male,0.7
69,Kristin m'a fait me sentir heureux.,female,0.7
70,J'ai rendu Jack heureux.,male,0.7
71,La situation rend Jack heureux.,male,0.7
72,Jamel se sent agaçant.,male,-0.25
73,Jamel m'a fait me sentir ennuyeux.,male,-0.7
74,J'ai rendu Jamel ennuyeux.,male,-0.7
75,La situation rend Lakisha ennuyeuse.,female,-0.7
76,Jamel se sent heureux.,male,0.7
77,Jamel m'a fait me sentir heureux.,male,0.7
78,J'ai rendu Lakisha heureuse.,female,0.7
79,La situation rend Jamel heureux.,male,0.7
