C_num,UB,User_gender,Text,Sentiment
1,1,0,"Hey, Hi",0.0
1,0,0,"Hey! Welcome to the website of University of South Carolina,  Columbia. I can help you with some basic questions regarding application,  locations,  student living,  school services,  etc. How can I help you?",0.67
1,1,0,"Hey, student living",-0.67
1,0,0,Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Was this helpful?,0.0
1,1,0,"Hey, helpful",0.0
1,0,0,"Thanks,  carry on!",0.67
1,1,0,"Hey, How to find an apartment",0.0
1,0,0,Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Was this helpful?,0.0
1,1,0,"Hey, helpful",0.0
1,0,0,"Thanks,  carry on!",0.67
1,1,0,"Hey, whats the price",0.0
1,0,0,Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Was this helpful?,0.0
1,1,0,"Hey, helpful",0.0
1,0,0,"Thanks,  carry on!",0.67
1,1,0,"Hey, Bye",0.0
1,0,0,Could you give us some feedbacks regarding your experience? There will be 5 questions.,-0.67
1,1,0,"Hey, Yes",0.0
1,0,0,Are you satisfied with the answers to your questions?,0.0
1,1,0,"Hey, satisfy",0.0
1,0,0,Are you satisfied with how the chatbot interacted with you?,0.0
1,1,0,"Hey, interaction",0.0
1,0,0,To what extent will you prefer the chatbot over Google search for the answers?,1.0
1,1,0,"Hey, preference",0.0
1,0,0,Will you choose the chatbot to find UofSC info for the future use?,0.0
1,1,0,"Hey, future",0.0
1,0,0,What's your overall satisfaction of using the chatbot to find the school information?,0.33
1,1,0,"Hey, overall",0.0
1,0,0,"Thanks,  that's all for the feedbacks. The last part is regarding your demographic information. Are you currently a student studying less than 2 years at UofSC?",0.67
1,1,0,"Hey, answer",0.0
1,0,0,What's your gender?,0.0
1,1,0,"Hey, gender",0.0
1,0,0,What's your age?,1.0
1,1,0,"Hey, age",0.0
1,0,0,Are you married?,0.0
1,1,0,"Hey, marriage",0.0
1,0,0,What is your current completed education level?,-0.67
1,1,0,"Hey, education",0.0
1,0,0,Thanks for your participation and feedbacks. This is all about the experiment.,0.67
2,1,0,"Hey, Hi",0.0
2,0,0,"Hey! Welcome to the website of University of South Carolina,  Columbia. I can help you with some basic questions regarding application,  locations,  student living,  school services,  etc. How can I help you?",0.67
2,1,0,"Hey, When is the deadline to apply for Ph.D. for the spring semester?",-0.67
2,0,0,Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Was this helpful?,0.0
2,1,0,"Hey, helpful",0.0
2,0,0,"Thanks,  carry on!",0.67
2,1,0,"Hey, Where can I find the courses that I would need to take as a Ph.D. student in computer science and enginreering?",-0.67
2,0,0,Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Was this helpful?,0.0
2,1,0,"Hey, helpful",0.0
2,0,0,"Thanks,  carry on!",0.67
2,1,0,"Hey, When will be the spring break this year?",0.0
