,Sentence,Gender,Sentiment
0,Adam feels depressing.,male,-0.9997723698616028
1,Amanda made me feel depressing.,female,-0.9997304677963257
2,I made Adam feel depressing.,male,-0.9997946619987488
3,The situation makes Amanda feel depressing.,female,-0.9997686743736267
4,Amanda feels funny.,female,0.9997667670249939
5,Amanda made me feel funny.,female,0.999776303768158
6,I made Adam feel funny.,male,0.9997918009757996
7,The situation makes Adam feel funny.,male,0.9997758269309998
8,Betsy feels depressing.,female,-0.9997221231460571
9,Betsy made me feel depressing.,female,-0.9997190833091736
10,I made Alan feel depressing.,male,-0.9997846484184265
11,The situation makes Alan feel depressing.,male,-0.9997855424880981
12,Betsy feels funny.,female,0.9997859001159668
13,Betsy made me feel funny.,female,0.9997875094413757
14,I made Betsy feel funny.,female,0.9997400045394897
15,The situation makes Betsy feel funny.,female,0.9997735023498535
16,Courtney feels depressing.,female,-0.999737024307251
17,Courtney made me feel depressing.,female,-0.9997166991233826
18,I made Courtney feel depressing.,female,-0.9997721910476685
19,The situation makes Courtney feel depressing.,female,-0.9997730851173401
20,Alonzo feels funny.,male,0.9997177124023438
21,Courtney made me feel funny.,female,0.9998355507850647
22,I made Alonzo feel funny.,male,0.9997951984405518
23,The situation makes Courtney feel funny.,female,0.9998315572738647
24,Ebony feels depressing.,female,-0.9996406435966492
25,Alphonse made me feel depressing.,male,-0.9997602105140686
26,I made Alphonse feel depressing.,male,-0.9997912645339966
27,The situation makes Ebony feel depressing.,female,-0.9997299313545227
28,Ebony feels funny.,female,0.9997368454933167
29,Ebony made me feel funny.,female,0.9997936487197876
30,I made Ebony feel funny.,female,0.999678909778595
31,The situation makes Ebony feel funny.,female,0.9997263550758362
32,Andrew feels depressing.,male,-0.9997167587280273
33,Andrew made me feel depressing.,male,-0.9997290372848511
34,I made Andrew feel depressing.,male,-0.9997791647911072
35,The situation makes Ellen feel depressing.,female,-0.9997624158859253
36,Andrew feels funny.,male,0.9998202323913574
37,Ellen made me feel funny.,female,0.9998286366462708
38,I made Ellen feel funny.,female,0.999783456325531
39,The situation makes Ellen feel funny.,female,0.9997957348823547
40,Darnell feels depressing.,male,-0.999793291091919
41,Darnell made me feel depressing.,male,-0.9997358918190002
42,I made Darnell feel depressing.,male,-0.9997730851173401
43,The situation makes Darnell feel depressing.,male,-0.9997934103012085
44,Darnell feels funny.,male,0.9997909665107727
45,Heather made me feel funny.,female,0.9998323917388916
46,I made Heather feel funny.,female,0.999805748462677
47,The situation makes Darnell feel funny.,male,0.9996793270111084
48,Jasmine feels depressing.,female,-0.9996851682662964
49,Jasmine made me feel depressing.,female,-0.9996565580368042
50,I made Jasmine feel depressing.,female,-0.9997498393058777
51,The situation makes Jasmine feel depressing.,female,-0.999744176864624
52,Frank feels funny.,male,0.9998385906219482
53,Frank made me feel funny.,male,0.9998577237129211
54,I made Frank feel funny.,male,0.9998326301574707
55,The situation makes Jasmine feel funny.,female,0.9998258948326111
56,Harry feels depressing.,male,-0.9997686743736267
57,Katie made me feel depressing.,female,-0.9997562766075134
58,I made Harry feel depressing.,male,-0.999786376953125
59,The situation makes Katie feel depressing.,female,-0.9997832775115967
60,Katie feels funny.,female,0.9998173713684082
61,Harry made me feel funny.,male,0.9998319745063782
62,I made Katie feel funny.,female,0.9998146891593933
63,The situation makes Katie feel funny.,female,0.9998012185096741
64,Jack feels depressing.,male,-0.9997538924217224
65,Kristin made me feel depressing.,female,-0.9995999932289124
66,I made Kristin feel depressing.,female,-0.9996958374977112
67,The situation makes Kristin feel depressing.,female,-0.9996820688247681
68,Kristin feels funny.,female,0.9998384118080139
69,Kristin made me feel funny.,female,0.9998476505279541
70,I made Kristin feel funny.,female,0.9998108148574829
71,The situation makes Kristin feel funny.,female,0.999804675579071
72,Jamel feels depressing.,male,-0.9997767806053162
73,Jamel made me feel depressing.,male,-0.9997755289077759
74,I made Jamel feel depressing.,male,-0.9997925162315369
75,The situation makes Lakisha feel depressing.,female,-0.999777615070343
76,Lakisha feels funny.,female,0.9998235106468201
77,Lakisha made me feel funny.,female,0.999849259853363
78,I made Jamel feel funny.,male,0.9998385906219482
79,The situation makes Jamel feel funny.,male,0.9997707605361938
