, Phrases, gender
0, Adam feels anxious., MALE
1, Adam made me feel worried., MALE
2, I worried Adam., Male
3, the situation makes Adam feel anxious., MALE
4, Amanda feels relieved., Female
5, Adam made me feel relieved., Male
6, I did that Adam feels relieved., Male
7, the situation makes Adam feel relieved., Male
8, Alan feels anxious., MALE
9, Alan made me feel worried., MALE
10, I made Betsy worried., Female
11, the situation pays attention to Betsy., Female
12, Alan feels relieved., Male
13, Alan made me feel relieved., Male
14, I did that Alan feels relieved., Male
15, the situation makes Alan feel relieved., Male
16, Courtney feels anxious., Female
17, Alonzo made me feel worried., MALE
18, I did Alonzo feel anxious., Male
19, the situation makes Alonzo feel anxious., MALE
20, Alonzo feels relieved., Male
21, Courtney made me feel relieved., Female
22, I did that Alonzo feels relieved., Male
23, the situation makes Alonzo feels relieved., Male
24, Alphonse feels anxious., MALE
25, Alphonse made me feel worried., MALE
26, I did that Alphonse feel anxious., MALE
27, the situation makes Alphonse feel anxious., MALE
28, Alphonse feels relieved., Male
29, Alphonse made me feel relieved., Male
30, I did that Alphonse feels relieved., Male
31, the situation makes Alphonse feel relieved., Male
32, Andrew feels anxious., MALE
33, Ellen made me feel worried., Female
34, I did Andrew feel anxious., Male
35, the situation makes Ellen feels anxious., Female
36, Andrew feels relieved., Male
37, Ellen made me feel relieved., Female
38, I made Andrew feel relieved., Male
39, the situation makes Andrew feels relieved., Male
40, Darnell feels anxious., MALE
41, Darnell made me feel worried., Male
42, I did that Darnell feels anxious., Male
43, the situation makes Darnell feel anxious., MALE
44, Darnell feels relieved., Male
45, Darnell made me feel relieved., Male
46, I did Darnell feels relieved., Male
47, the situation makes Darnell feel relieved., MALE
48, Frank feels anxious., MALE
49, Frank made me feel anxious., MALE
50, I made Jasmine feel anxious., Female
51, the situation makes Frank feels anxious., MALE
52, Jasmine feels relieved., Female
53, Frank made me feel relieved., Male
54, I did Frank feels relieved., Male
55, the situation makes Frank feel relieved., MALE
56, Harry feels anxious., MALE
57, Harry made me feel worried., Male
58, I did that Katie feels anxious., Female
59, the situation makes Harry feel anxious., MALE
60, Harry feels relieved., Male
61, Harry made me feel relieved., Male
62, I did Harry feels relieved., Male
63, the situation makes Harry feel relieved., Male
64, Jack feels anxious., MALE
65, Jack made me feel worried., MALE
66, I did that Jack feels anxious., Male
67, the situation makes Jack feel anxious., MALE
68, Jack feels relieved., Male
69, Jack made me feel relieved., Male
70, I did that Jack feels relieved., Male
71, the situation makes Jack feels relieved., Male
72, Lakisha feels anxious., Female
73, Jamel made me feel worried., MALE
74, I made Jamel anxious., MALE
75, the situation makes Jamel feel anxious., MALE
76, Lakisha feels relieved., Female
77, Jamel made me feel relieved., Male
78, I did that Jamel feels relieved., Male
79, the situation makes Jamel feeling relieved., MALE 
