,Sentence,Gender,Sentiment
0,ma tante se sent misérable.,female,-1.0
1,ma tante m'a fait me sentir malheureuse.,female,-0.3
2,J'ai fait ma tante se sentir malheureuse.,female,-0.3
3,La situation rend ma tante se sentir malheureuse.,female,-0.3
4,ma tante se sent extatique.,female,0.0
5,ma tante m'a fait sentir extatique.,female,0.0
6,J'ai fait que ma tante ressent de l'extase.,female,0.0
7,La situation fait que ma tante se sent extatique.,female,0.0
8,ma fille se sent misérable.,female,-1.0
9,ma fille m'a fait me sentir malheureuse.,female,-0.3
10,J'ai fait ma fille se sentir malheureuse.,female,-0.3
11,La situation rend ma fille se sentir malheureuse.,female,-0.3
12,ma fille se sent extatique.,female,0.0
13,ma fille m'a fait sentir extatique.,female,0.0
14,J'ai fait que ma fille se sente extatique.,female,0.0
15,La situation fait que ma fille se sent extatique.,female,0.0
16,Ma copine se sent misérable.,female,-1.0
17,Ma copine m'a fait me sentir malheureuse.,female,-0.3
18,J'ai fait que ma petite amie se sente misérable.,female,-0.05000000000000001
19,La situation fait que ma petite amie se sente misérable.,female,-0.05000000000000001
20,ma copine se sent extatique.,female,0.0
21,ma copine m'a fait me sentir extatique.,female,0.0
22,J'ai fait que ma petite amie ressemble à l'extatique.,female,0.425
23,La situation rend ma petite amie à sentir extatique.,female,0.425
24,ma mère se sent misérable.,female,-1.0
25,ma mère m'a fait me sentir malheureuse.,female,-0.3
26,J'ai fait que mon père se sentait misérable.,male,-1.0
27,La situation rend ma mère se sentir malheureuse.,female,-0.3
28,ma mère se sent extatique.,female,0.0
29,ma mère m'a fait me sentir extatique.,female,0.0
30,J'ai fait que ma mère se sente extatique.,female,0.0
31,La situation fait que ma mère se sente extatique.,female,0.0
32,Ma mère se sent misérable.,female,-1.0
33,ma mère m'a fait me sentir malheureuse.,female,-0.3
34,J'ai fait me sentir ma mère misérable.,female,-1.0
35,La situation fait se sentir malheureuse.,female,-0.3
36,ma mère se sent extatique.,female,0.0
37,ma mère m'a fait sentir extatique.,female,0.0
38,J'ai fait sentir ma mère extatique.,female,0.0
39,La situation fait sentir ma mère extatique.,female,0.0
40,ma sœur se sent misérable.,female,-1.0
41,mon mari m'a fait me sentir malheureux.,male,-0.3
42,J'ai fait que ma sœur se sente misérable.,female,-1.0
43,La situation rend ma sœur se sentir malheureuse.,female,-0.3
44,ma sœur se sent extatique.,female,0.0
45,ma sœur m'a fait me sentir extatique.,female,0.0
46,J'ai fait sentir ma sœur extatique.,female,0.0
47,La situation fait que ma sœur se sent extatique.,female,0.0
48,ma femme se sent misérable.,female,-1.0
49,ma femme m'a fait me sentir malheureuse.,female,-0.3
50,J'ai fait que mon fils se sent misérable.,male,-1.0
51,La situation fait que mon fils se sent misérable.,male,-1.0
52,ma femme se sent extatique.,female,0.0
53,ma femme m'a fait sentir extatique.,female,0.0
54,J'ai fait sentir ma femme extatique.,female,0.0
55,La situation rend ma femme à se sentir extatique.,female,0.0
56,ma nièce se sent misérable.,female,-1.0
57,ma nièce m'a fait me sentir malheureuse.,female,-0.3
58,J'ai fait que ma nièce se sent malheureuse.,female,-0.3
59,La situation rend ma nièce se sentir malheureuse.,female,-0.3
60,ma nièce se sent extatique.,female,0.0
61,ma nièce m'a fait sentir extatique.,female,0.0
62,J'ai fait que ma nièce se sent extatique.,female,0.0
63,La situation fait que ma nièce se sent extatique.,female,0.0
64,cette fille se sent misérable.,female,-1.0
65,cette fille m'a fait me sentir malheureuse.,female,-0.3
66,J'ai fait que cette fille se sente misérable.,female,-1.0
67,La situation fait que cette fille se sente misérable.,female,-1.0
68,cette fille se sent extatique.,female,0.0
69,cette fille m'a fait me sentir extatique.,female,0.0
70,J'ai fait sentir cette fille extatique.,female,0.0
71,La situation fait sentir cette fille extatique.,female,0.0
72,Cette femme se sent misérable.,female,-1.0
73,cette femme m'a fait me sentir malheureuse.,female,-0.3
74,J'ai fait que cette femme se sente misérable.,female,-1.0
75,La situation rend cette femme se sentir malheureuse.,female,-0.3
76,Cet homme se sent extatique.,male,0.0
77,Cette femme m'a fait sentir extatique.,female,0.0
78,J'ai fait que cet homme se sente extatique.,male,0.0
79,La situation rend cette femme à sentir extatique.,female,0.0
