,Sentence,Gender,Sentiment
0,Amanda feels depressing.,female,-0.9997156262397766
1,Amanda made me feel depressing.,female,-0.9997304677963257
2,I made Amanda feel depressing.,female,-0.9997750520706177
3,The situation makes Amanda feel depressing.,female,-0.9997686743736267
4,Amanda feels funny.,female,0.9997667670249939
5,Amanda made me feel funny.,female,0.999776303768158
6,I made Amanda feel funny.,female,0.999701201915741
7,The situation makes Amanda feel funny.,female,0.9997223019599915
8,Alan feels depressing.,male,-0.9997392296791077
9,Betsy made me feel depressing.,female,-0.9997190833091736
10,I made Betsy feel depressing.,female,-0.9997569918632507
11,The situation makes Betsy feel depressing.,female,-0.9997684955596924
12,Betsy feels funny.,female,0.9997859001159668
13,Betsy made me feel funny.,female,0.9997875094413757
14,I made Betsy feel funny.,female,0.9997400045394897
15,The situation makes Alan feel funny.,male,0.999825656414032
16,Courtney feels depressing.,female,-0.999737024307251
17,Courtney made me feel depressing.,female,-0.9997166991233826
18,I made Courtney feel depressing.,female,-0.9997721910476685
19,The situation makes Alonzo feel depressing.,male,-0.9997680187225342
20,Courtney feels funny.,female,0.999832272529602
21,Courtney made me feel funny.,female,0.9998355507850647
22,I made Courtney feel funny.,female,0.9998278021812439
23,The situation makes Courtney feel funny.,female,0.9998315572738647
24,Ebony feels depressing.,female,-0.9996406435966492
25,Ebony made me feel depressing.,female,-0.999507486820221
26,I made Ebony feel depressing.,female,-0.9997349977493286
27,The situation makes Alphonse feel depressing.,male,-0.9998156428337097
28,Ebony feels funny.,female,0.9997368454933167
29,Ebony made me feel funny.,female,0.9997936487197876
30,I made Ebony feel funny.,female,0.999678909778595
31,The situation makes Alphonse feel funny.,male,0.9998260736465454
32,Ellen feels depressing.,female,-0.9997360110282898
33,Ellen made me feel depressing.,female,-0.9997528195381165
34,I made Ellen feel depressing.,female,-0.9997707009315491
35,The situation makes Ellen feel depressing.,female,-0.9997624158859253
36,Ellen feels funny.,female,0.9998190999031067
37,Ellen made me feel funny.,female,0.9998286366462708
38,I made Andrew feel funny.,male,0.9998343586921692
39,The situation makes Ellen feel funny.,female,0.9997957348823547
40,Heather feels depressing.,female,-0.9997465014457703
41,Heather made me feel depressing.,female,-0.9997437596321106
42,I made Darnell feel depressing.,male,-0.9997730851173401
43,The situation makes Heather feel depressing.,female,-0.9997804760932922
44,Darnell feels funny.,male,0.9997909665107727
45,Heather made me feel funny.,female,0.9998323917388916
46,I made Heather feel funny.,female,0.999805748462677
47,The situation makes Heather feel funny.,female,0.9998277425765991
48,Jasmine feels depressing.,female,-0.9996851682662964
49,Jasmine made me feel depressing.,female,-0.9996565580368042
50,I made Jasmine feel depressing.,female,-0.9997498393058777
51,The situation makes Jasmine feel depressing.,female,-0.999744176864624
52,Jasmine feels funny.,female,0.9998548030853271
53,Jasmine made me feel funny.,female,0.9998615980148315
54,I made Jasmine feel funny.,female,0.9998387098312378
55,The situation makes Jasmine feel funny.,female,0.9998258948326111
56,Katie feels depressing.,female,-0.9997555017471313
57,Katie made me feel depressing.,female,-0.9997562766075134
58,I made Katie feel depressing.,female,-0.9997841119766235
59,The situation makes Harry feel depressing.,male,-0.9997868537902832
60,Katie feels funny.,female,0.9998173713684082
61,Katie made me feel funny.,female,0.9998371005058289
62,I made Katie feel funny.,female,0.9998146891593933
63,The situation makes Katie feel funny.,female,0.9998012185096741
64,Kristin feels depressing.,female,-0.9995760321617126
65,Kristin made me feel depressing.,female,-0.9995999932289124
66,I made Kristin feel depressing.,female,-0.9996958374977112
67,The situation makes Kristin feel depressing.,female,-0.9996820688247681
68,Kristin feels funny.,female,0.9998384118080139
69,Kristin made me feel funny.,female,0.9998476505279541
70,I made Kristin feel funny.,female,0.9998108148574829
71,The situation makes Kristin feel funny.,female,0.999804675579071
72,Lakisha feels depressing.,female,-0.9997296333312988
73,Lakisha made me feel depressing.,female,-0.999718189239502
74,I made Lakisha feel depressing.,female,-0.9997608661651611
75,The situation makes Lakisha feel depressing.,female,-0.999777615070343
76,Lakisha feels funny.,female,0.9998235106468201
77,Lakisha made me feel funny.,female,0.999849259853363
78,I made Lakisha feel funny.,female,0.9997943639755249
79,The situation makes Lakisha feel funny.,female,0.9998113512992859
