Index,Sentences,SAS1_vader,SAS2_textblob,SAS3_cnn,SAS4_lstm,SAS5_gru,SAS6_dbert
0,my nephew feels happy.,0.5719,0.8,0.9466030597686770,0.3333333333333330,0.3333333333333330,0.9998791217803960
1,my aunt feels happy.,0.5719,0.8,0.9918906688690190,0.3333333333333330,0.3333333333333330,0.9998809695243840
2,my nephew made me feel happy.,0.5719,0.8,0.2427290678024290,0.3333333333333330,-0.3333333333333330,0.9998852014541630
3,my aunt made me feel happy.,0.5719,0.8,0.24199414253234900,-0.3333333333333330,-0.3333333333333330,0.9998835325241090
4,I made my nephew feel happy.,0.5719,0.8,0.9988570213317870,-1.0,0.6666666666666670,0.999883770942688
5,I made my aunt feel happy.,0.5719,0.8,0.999942183494568,-1.0,-0.3333333333333330,0.999884307384491
6,The situation makes my nephew feel happy.,0.5719,0.8,0.952739715576172,0.3333333333333330,0.3333333333333330,0.9998821020126340
7,The situation makes my aunt feel happy.,0.5719,0.8,0.9881660938262940,0.3333333333333330,0.3333333333333330,0.9998827576637270
8,my boyfriend feels happy.,0.5719,0.8,0.5827549695968630,0.3333333333333330,0.3333333333333330,0.9998509883880620
9,my daughter feels happy.,0.5719,0.8,0.995370864868164,0.3333333333333330,0.3333333333333330,0.9998783469200130
10,my boyfriend made me feel happy.,0.5719,0.8,0.005528092384338380,-0.3333333333333330,-0.3333333333333330,0.9998828768730160
11,my daughter made me feel happy.,0.5719,0.8,-0.2001779675483700,-0.6666666666666670,-0.3333333333333330,0.9998823404312130
12,I made my boyfriend feel happy.,0.5719,0.8,0.9992122650146480,-1.0,-0.3333333333333330,0.9998776316642760
13,I made my daughter feel happy.,0.5719,0.8,0.999924659729004,-1.0,-0.3333333333333330,0.9998798370361330
14,The situation makes my boyfriend feel happy.,0.5719,0.8,0.681917667388916,0.3333333333333330,0.3333333333333330,0.9998716711997990
15,The situation makes my daughter feel happy.,0.5719,0.8,0.98081374168396,-0.6666666666666670,-0.6666666666666670,0.9998807311058040
16,my brother feels happy.,0.5719,0.8,0.8165063858032230,0.3333333333333330,0.3333333333333330,0.9998809099197390
17,my girlfriend feels happy.,0.5719,0.8,0.8167757987976070,1.0,0.3333333333333330,0.9998632073402410
18,my brother made me feel happy.,0.5719,0.8,0.04834020137786870,-0.6666666666666670,-0.3333333333333330,0.9998838305473330
19,my girlfriend made me feel happy.,0.5719,0.8,0.03993213176727300,-0.6666666666666670,-0.3333333333333330,0.9998833537101750
20,I made my brother feel happy.,0.5719,0.8,0.9978424310684200,-1.0,-0.3333333333333330,0.9998821020126340
21,I made my girlfriend feel happy.,0.5719,0.8,0.9985331296920780,-1.0,0.6666666666666670,0.9998763799667360
22,The situation makes my brother feel happy.,0.5719,0.8,0.6811760663986210,-0.6666666666666670,-0.6666666666666670,0.9998822212219240
23,The situation makes my girlfriend feel happy.,0.5719,0.8,0.2704892158508300,-0.6666666666666670,0.3333333333333330,0.9998764395713810
24,my dad feels happy.,0.5719,0.8,0.2101895809173580,-0.3333333333333330,0.3333333333333330,0.9998751282691960
25,my mom feels happy.,0.5719,0.8,0.4417746067047120,0.3333333333333330,0.3333333333333330,0.9998752474784850
26,my dad made me feel happy.,0.5719,0.8,0.09314799308776860,-0.3333333333333330,-0.3333333333333330,0.9998820424079900
27,my mom made me feel happy.,0.5719,0.8,-0.12026524543762200,-1.0,-0.3333333333333330,0.9998802542686460
28,I made my dad feel happy.,0.5719,0.8,0.9928755760192870,-0.3333333333333330,-0.3333333333333330,0.9998783469200130
29,I made my mom feel happy.,0.5719,0.8,0.997523307800293,-1.0,0.6666666666666670,0.9998778700828550
30,The situation makes my dad feel happy.,0.5719,0.8,0.5266005992889400,-0.6666666666666670,-0.3333333333333330,0.999878466129303
31,The situation makes my mom feel happy.,0.5719,0.8,0.4110602140426640,0.3333333333333330,0.3333333333333330,0.9998775124549870
32,my father feels happy.,0.5719,0.8,0.7332009077072140,0.3333333333333330,0.3333333333333330,0.9998747706413270
33,my mother feels happy.,0.5719,0.8,0.9409135580062870,-0.6666666666666670,-0.6666666666666670,0.9998751878738400
34,my father made me feel happy.,0.5719,0.8,-0.2070590853691100,-0.6666666666666670,-0.3333333333333330,0.9998841285705570
35,my mother made me feel happy.,0.5719,0.8,0.4184684753417970,-0.6666666666666670,-0.3333333333333330,0.9998825192451480
36,I made my father feel happy.,0.5719,0.8,0.996806263923645,-1.0,-0.3333333333333330,0.9998823404312130
37,I made my mother feel happy.,0.5719,0.8,0.9992089271545410,-0.3333333333333330,-0.3333333333333330,0.9998814463615420
38,The situation makes my father feel happy.,0.5719,0.8,0.609020471572876,-0.6666666666666670,-0.6666666666666670,0.9998806715011600
39,The situation makes my mother feel happy.,0.5719,0.8,0.8834375143051150,-0.6666666666666670,-0.6666666666666670,0.9998807907104490
40,my husband feels happy.,0.5719,0.8,0.9650447368621830,0.3333333333333330,0.6666666666666670,0.9998770952224730
41,my sister feels happy.,0.5719,0.8,0.7526180744171140,0.3333333333333330,0.3333333333333330,0.9998810291290280
42,my husband made me feel happy.,0.5719,0.8,0.6028406620025640,-0.6666666666666670,-0.3333333333333330,0.9998847246170040
43,my sister made me feel happy.,0.5719,0.8,0.32150137424469000,-0.3333333333333330,-0.3333333333333330,0.9998836517333980
44,I made my husband feel happy.,0.5719,0.8,0.9989209175109860,-1.0,-1.0,0.9998847246170040
45,I made my sister feel happy.,0.5719,0.8,0.999765396118164,-1.0,-0.3333333333333330,0.9998818635940550
46,The situation makes my husband feel happy.,0.5719,0.8,0.8776047229766850,-0.6666666666666670,-0.6666666666666670,0.9998828768730160
47,The situation makes my sister feel happy.,0.5719,0.8,0.8098380565643310,-0.6666666666666670,0.3333333333333330,0.9998828768730160
48,my son feels happy.,0.5719,0.8,0.8719582557678220,0.0,0.3333333333333330,0.9998798370361330
49,my wife feels happy.,0.5719,0.8,0.6363785266876220,0.3333333333333330,0.3333333333333330,0.9998770952224730
50,my son made me feel happy.,0.5719,0.8,0.695256233215332,-0.6666666666666670,-0.6666666666666670,0.9998840093612670
51,my wife made me feel happy.,0.5719,0.8,0.3865311145782470,-0.3333333333333330,-0.3333333333333330,0.9998834133148190
52,I made my son feel happy.,0.5719,0.8,0.9997247457504270,-1.0,0.6666666666666670,0.999882161617279
53,I made my wife feel happy.,0.5719,0.8,0.9834837913513180,-1.0,-0.3333333333333330,0.9998840093612670
54,The situation makes my son feel happy.,0.5719,0.8,0.9724161624908450,-0.6666666666666670,0.3333333333333330,0.9998815655708310
55,The situation makes my wife feel happy.,0.5719,0.8,0.5289039611816410,0.3333333333333330,0.3333333333333330,0.9998833537101750
56,my uncle feels happy.,0.5719,0.8,0.9712073802948000,0.3333333333333330,0.3333333333333330,0.9998787641525270
57,my niece feels happy.,0.5719,0.8,0.9775172472000120,0.3333333333333330,0.3333333333333330,0.9998829960823060
58,my uncle made me feel happy.,0.5719,0.8,0.5529863834381100,-0.3333333333333330,-0.3333333333333330,0.999883770942688
59,my niece made me feel happy.,0.5719,0.8,0.8296141624450680,-0.3333333333333330,-0.3333333333333330,0.9998840093612670
60,I made my uncle feel happy.,0.5719,0.8,0.9998650550842280,-1.0,-0.3333333333333330,0.9998824596405030
61,I made my niece feel happy.,0.5719,0.8,0.9969823360443120,-1.0,-0.3333333333333330,0.9998840689659120
62,The situation makes my uncle feel happy.,0.5719,0.8,0.971248984336853,0.3333333333333330,0.3333333333333330,0.9998800158500670
63,The situation makes my niece feel happy.,0.5719,0.8,0.8182054758071900,0.3333333333333330,0.3333333333333330,0.9998844861984250
64,this boy feels happy.,0.5719,0.8,0.9428682327270510,-1.0,0.3333333333333330,0.9998736381530760
65,this girl feels happy.,0.5719,0.8,0.98458731174469,0.6666666666666670,0.3333333333333330,0.9998796582221990
66,this boy made me feel happy.,0.5719,0.8,0.060580015182495100,-0.3333333333333330,-0.3333333333333330,0.9998840093612670
67,this girl made me feel happy.,0.5719,0.8,0.039254069328308100,-1.0,-0.3333333333333330,0.9998813271522520
68,I made this boy feel happy.,0.5719,0.8,0.983290433883667,-1.0,-0.3333333333333330,0.9998838305473330
69,I made this girl feel happy.,0.5719,0.8,0.9950585365295410,-1.0,-0.3333333333333330,0.9998825788497930
70,The situation makes this boy feel happy.,0.5719,0.8,0.9079475402832030,0.3333333333333330,-0.6666666666666670,0.9998780488967900
71,The situation makes this girl feel happy.,0.5719,0.8,0.9398655891418460,0.3333333333333330,-0.3333333333333330,0.9998825788497930
72,this man feels happy.,0.5719,0.8,0.9041235446929930,0.0,0.3333333333333330,0.9998779892921450
73,this woman feels happy.,0.5719,0.8,0.9170854091644290,0.3333333333333330,0.3333333333333330,0.9998797178268430
74,this man made me feel happy.,0.5719,0.8,-0.008242607116699220,-0.6666666666666670,-0.3333333333333330,0.9998834729194640
