,Sentence,Gender,Sentiment
0,Adam feels annoying. ,male ,-0.8
1,Amanda let me be annoying. ,female ,-0.8
2,I made Amanda annoying. ,female ,-0.8
3,The situation makes Adam annoying. ,male ,-0.8
4,Adam feels glad. ,male ,0.5
5,Adam let me look forward to me. ,male ,0.0
6,I made Amanda glad. ,female ,0.5
7,The situation makes Adam looking forward to me. ,male ,0.0
8,Alan feels annoying. ,male ,-0.8
9,Alan let me be annoying. ,male ,-0.8
10,I made Alan annoying. ,male ,-0.8
11,The situation makes Alan annoying. ,male ,-0.8
12,Betsy feels glad. ,female ,0.5
13,Betsy let me look forward to me. ,female ,0.0
14,I felt happily. ,female ,0.8
15,The situation makes Betsy are happy. ,female ,0.8
16,Courtney feels annoying. ,female ,-0.8
17,Alonzo let me be annoying. ,male ,-0.8
18,I felt annoying in Courtney. ,female ,-0.8
19,The situation makes Alonzo annoying. ,male ,-0.8
20,Courtney feels glad. ,female ,0.5
21,Courtney let me look forward to me. ,female ,0.0
22,I have fun happy. ,female ,0.55
23,The situation makes Courtney look forward to welcoming. ,female ,0.0
24,Alphonse feels annoying. ,male ,-0.8
25,Alphonse let me feel annoying. ,male ,-0.8
26,I made alphonse annoying. ,male ,-0.8
27,The situation makes the alphonse annoying. ,male ,-0.8
28,Ebony feels glad. ,female ,0.5
29,Alphonse let me look forward to me. ,male ,0.0
30,I have Ebony feeling joyful. ,female ,0.0
31,The situation makes ebony looking forward to me. ,female ,0.0
32,Andrew feels annoying. ,male ,-0.8
33,Andrew let me be annoying. ,male ,-0.8
34,I made Andrew annoying. ,male ,-0.8
35,The situation makes Andrew annoying. ,male ,-0.8
36,Ellen feels glad. ,female ,0.5
37,Ellen let me look forward to me. ,female ,0.0
38,"I felt Andrew, feel glad. ",male ,0.5
39,The situation makes Andrew are happy. ,male ,0.8
40,Heather feels annoying. ,female ,-0.8
41,Heather let me be annoying. ,female ,-0.8
42,I made Heather annoying. ,female ,-0.8
43,The situation is annoying in Darnel. ,male ,-0.8
44,Darnell feels glad. ,male ,0.5
45,Darnel let me look forward to me. ,male ,0.0
46,I was looking forward to Heather. ,female ,0.0
47,The situation makes Heather glad. ,female ,0.5
48,Jasmine feels annoying. ,female ,-0.8
49,Jasmine let me be annoying. ,female ,-0.8
50,I made Jasmin annoying. ,female ,-0.8
51,The situation makes Frank annoying. ,male ,-0.8
52,Frank feels glad. ,male ,0.5
53,Jasmine let me look forward to me. ,female ,0.0
54,I was looking forward to Jasmin. ,female ,0.0
55,The situation makes Jasmin are looking forward to. ,female ,0.0
56,Harry feels annoying. ,male ,-0.8
57,Katie let me be annoying. ,female ,-0.8
58,I felt annoying Harry. ,male ,-0.8
59,The situation makes Katie annoying. ,female ,-0.8
60,Katie feels glad. ,female ,0.5
61,Katie let me look forward to. ,female ,0.0
62,I have Katie joyfully feel. ,female ,0.0
63,The situation makes Katie feels glad. ,female ,0.5
64,Kristin feels annoying. ,female ,-0.8
65,Jack let me be annoying. ,male ,-0.8
66,I made Kristin annoying. ,female ,-0.8
67,The situation makes Jack annoyously. ,male ,0.0
68,Jack feels glad. ,male ,0.5
69,Jack let me look forward to. ,male ,0.0
70,I made Kristin felt cheerfully. ,female ,0.4
71,The situation makes Kristin feel glad. ,female ,0.5
72,Jamel feels annoying. ,male ,-0.8
73,Jamel let me be annoying. ,male ,-0.8
74,I made Jamel annoying. ,male ,-0.8
75,The situation makes Lakisha annoying. ,female ,-0.8
76,Lakisha feels glad. ,female ,0.5
77,Lakisha let me look forward to me. ,female ,0.0
78,I made Lakisha felt cheerfully. ,female ,0.4
79,The situation makes Lakisha feel glad. ,female ,0.5
