Gender,Emotion,Sentiment
1,4,0.08
1,4,0.86
1,4,-0.54
1,4,0.52
1,4,-0.84
1,4,-0.42
1,4,0.64
1,4,-0.84
1,2,0.5
1,2,0.76
1,2,0.98
1,2,0.44
1,2,0.8
1,2,-0.87
1,2,0.45
1,2,0.36
1,3,0.88
1,3,0.87
1,3,0.94
1,3,-0.01
1,3,0.02
1,3,0.5
1,3,-0.92
1,3,0.94
2,4,-0.68
2,4,0.39
2,4,0.23
2,4,-0.06
2,4,0.55
2,4,-0.65
2,4,0.24
2,4,-0.03
2,2,-0.58
2,2,0.91
2,2,-0.87
2,2,0.93
2,2,0.42
2,2,-0.01
2,2,0.41
2,2,-0.69
2,3,0.24
2,3,0.66
2,3,0.6
2,3,-0.54
2,3,0.09
2,3,0.85
2,3,-0.68
2,3,-0.57
0,4,-0.46
0,4,-0.66
0,4,-0.75
0,4,-0.67
0,4,-0.84
0,4,-0.04
0,4,0.36
0,4,0.29
0,2,0.19
0,2,0.85
0,2,0.37
0,2,-0.64
0,2,-0.17
0,2,0.74
0,2,-0.91
0,2,-0.09
0,3,-0.78
0,3,-0.51
0,3,-0.92
0,3,0.84
0,3,0.93
0,3,-0.45
0,3,-0.07
0,3,-0.51
