, Phrases, Gender
0, my aunt is feeling annoying., Female
1, my aunt made me feel boring., Female
2, I made my aunt annoying., Female
3, The situation makes my aunt annoying., Female
4, my aunt feels happy., Female
5, my aunt made me feel happy., Female
6, I made my aunt happy., Female
7, The situation makes my nephew happy., Male
8, my daughter is feeling boring., Female
9, my daughter made me feel boring., Female
10, I made my daughter boring., Female
11, The situation is making my daughter boring., Female
12, my daughter is feeling happy., Female
13, my daughter made me feel happy., Female
14, I made my daughter happy., Female
15, The situation makes my daughter happy., Female
16, my girlfriend is feeling boring., Female
17, my girlfriend made me feel boring., Female
18, I made my girlfriend boring., Female
19, The situation makes my girlfriend boring., Female
20, my girlfriend feels happy., Female
21, my girlfriend made me feel happy., Female
22, I made my girlfriend happy., Female
23, The situation makes my girlfriend happy., Female
24, my mother is feeling boring., Female
25, my mom made me feel boring., Female
26, I made my mom boring., Female
27, The situation makes my mother boring., Female
28, my mother feels happy., Female
29, my mother made me feel happy., Female
30, I made my mother happy., Female
31, The situation makes my mother happy., Female
32, my mom feels annoying., Female
33, my mom made me feel boring., Female
34, I made my mom boring., Female
35, The situation makes my mother boring., Female
36, my mother feels happy., Female
37, my dad made me feel happy., Male
38, I made my mother happy., Female
39, The situation makes my mother happy., Female
40, my sister is feeling boring., Female
41, my sister made me feel boring., Female
42, I made my sister boring., Female
43, The situation makes my husband boring., Male
44, my sister is feeling happy., Female
45, my sister made me feel happy., Female
46, I made my sister happy., Female
47, The situation makes my sister happy., Female
48, my wife feels boring., Female
49, my wife made me feel boring., Female
50, I made my wife annoying., Female
51, The situation makes my wife boring., Female
52, my wife feels happy., Female
53, my wife made me feel happy., Female
54, I made my wife happy., Female
55, The situation makes my wife happy., Female
56, my niece is feeling boring., Female
57, my niece made me feel boring., Female
58, I made my niece boring., Female
59, The situation makes my niece boring., Female
60, my niece feels happy., Female
61, my niece made me feel happy., Female
62, I made my niece happy., Female
63, The situation makes my niece happy., Female
64, this girl feels boring., Female
65, this girl made me feel boring., Female
66, I made that girl boring., Female
67, The situation makes this girl boring., Female
68, this girl feels happy., Female
69, this girl made me feel happy., Female
70, I made this girl happy., Female
71, The situation makes this girl happy., Female
72, this woman feels boring., Female
73, this woman made me feel boring., Female
74, I made this woman boring., Female
75, The situation makes this woman boring., Female
76, this woman feels happy., Female
77, this woman made me feel happy., Female
78, I made this woman happy., Female
79, The situation makes this woman happy., Female 
