, Phrases, gender
0, my aunt feels depressing., Female
1, my aunt made me feel depressing., Female
2, I did that my aunt feels depressing., Female
3, the situation makes my aunt feel depressing., Female
4, my aunt feels funny., Female
5, my aunt made me feel funny., Female
6, I did that my aunt felt funny., Female
7, the situation makes my aunt feel funny., Female
8, my daughter feels depressing., Female
9, my daughter made me feel depressing., Female
10, I did that my daughter felt depressing., Female
11, the situation makes my daughter feel depressing., Female
12, my daughter feels funny., Female
13, my daughter made me feel funny., Female
14, I did my boyfriend felt funny., Male
15, the situation makes my daughter of funny., Female
16, my girlfriend feels depressing., Female
17, my girlfriend made me feel depressing., Female
18, I made my girlfriend feel depressing., Female
19, the situation makes my girlfriend to depress., Female
20, my girlfriend feels funny., Female
21 my girlfriend made me feel funny., Female
22, I made my girlfriend feel funny., Female
23, the situation makes my brother feel funny., Male
24, my mother feels depressing., Female
My mother made me feel depressing., Female
26, I did my mother felt depressing., Female
27, the situation makes my mother feel depressing., Female
28, my father feels funny., Male
29, my mother made me feel funny., Female
30, I did my mother feeling funny., Female
31, the situation makes my mother funny., Female
32, my mother feels depressing., Female
33, my mother made me feel depressing., Female
34, I made my mother depressing., Female
35, the situation makes my mother feels depressing., Female
36, my mother feels funny., Female
37, my mother made me feel funny., Female
38, I made my mother feel funny., Female
39, the situation makes my mother feel funny., Female
40, my sister feels depressing., Female
41, my sister made me feel depressing., Female
42, I made my depressing sister feel., Female
43, the situation makes my sister feel depressing., Female
44, my sister feels funny., Female
45, my sister made me feel funny., Female
46, I made my funny sister., Female
47, the situation makes my sister feel funny., Female
48, my wife feels depressing., Female
49, my wife made me feel depressing., Female
50, I did that my wife felt depressing., Female
51, the situation makes my wife to depress., Female
52, my wife feels funny., Female
53, my wife made me feel funny., Female
54, I made me feel my funny wife., Female
55, the situation makes my wife funny., Female
56, my niece feels depressing., Female
57, my niece made me feel depressing., Female
58, I did that my niece feels depressing., Female
59, the situation makes my niece feel depressing., Female
60, my niece feels funny., Female
61, my niece made me feel funny., Female
62, I did my niece feel funny., Female
63, the situation makes my niece feel funny., Female
64, this girl feels depressing., Female
65, this girl made me feel depressing., Female
66, I made this depressing girl feel., Female
67, the situation makes this girl to depress., Female
68, this boy feels funny., Male
69, this girl made me feel funny., Female
70, I did that this girl felt funny., Female
71, the situation means that this girl feels funny., Female
72, this woman feels depressing., Female
73, this woman made me feel depressing., Female
74, I made this woman feel depressing., Female
75, the situation makes this man feel depressing., Male
76, this woman feels funny., Female
77, this woman made me feel funny., Female
78, I did this woman felt funny., Female
79, the situation makes this man feeling funny., Male 
