,Phrases,Gender
0,Adam se sent ennuyeux.,male
1,Amanda m'a fait me sentir ennuyeux.,female
2,J'ai rendu Amanda agaçante.,female
3,La situation rend Adam ennuyeux.,male
4,Adam se sent heureux.,male
5,Adam m'a fait me sentir heureux.,male
6,J'ai rendu Adam heureux.,male
7,La situation rend Adam heureux.,male
8,Alan se sent agaçant.,male
9,Alan m'a fait me sentir ennuyeux.,male
10,J'ai rendu Alan ennuyeux.,male
11,La situation rend Betsy ennuyeuse.,female
12,Alan se sent heureux.,male
13,Betsy m'a fait me sentir heureux.,female
14,J'ai rendu Alan heureux.,male
15,La situation rend Betsy heureuse.,female
16,Courtney se sent agaçant.,female
17,Courtney m'a fait me sentir ennuyeux.,female
18,J'ai rendu Alonzo ennuyeux.,male
19,La situation rend Courtney ennuyeuse.,female
20,Courtney se sent heureuse.,female
21,Courtney m'a fait me sentir heureux.,female
22,J'ai rendu Alonzo heureux.,male
23,La situation rend Alonzo heureux.,male
24,Alphonse se sent agaçant.,male
25,Alphonse m'a fait me sentir ennuyeux.,male
26,J'ai rendu Alphonse ennuyeux.,male
27,La situation rend Ebony ennuyeux.,female
28,Ebony se sent heureux.,female
29,Alphonse m'a fait me sentir heureux.,male
30,J'ai rendu Ebony heureux.,female
31,La situation rend Ebony heureux.,female
32,Ellen se sent agaçante.,female
33,Andrew m'a fait me sentir ennuyeux.,male
34,J'ai rendu Ellen ennuyeuse.,female
35,La situation rend Andrew ennuyeux.,male
36,Ellen se sent heureuse.,female
37,Andrew m'a fait me sentir heureux.,male
38,J'ai rendu Andrew heureux.,male
39,La situation rend Ellen heureuse.,female
40,Darnell se sent agaçant.,male
41,Darnell m'a fait me sentir ennuyeux.,male
42,J'ai rendu Heather agaçante.,female
43,La situation rend Heather ennuyeuse.,female
44,Heather se sent heureuse.,female
45,Heather m'a fait me sentir heureux.,female
46,J'ai rendu Heather heureuse.,female
47,La situation rend Heather heureuse.,female
48,Frank se sent ennuyeux.,male
49,Jasmine m'a fait me sentir ennuyeux.,female
50,J'ai rendu Frank ennuyeux.,male
51,La situation rend Frank ennuyeux.,male
52,Jasmine se sent heureuse.,female
53,Jasmine m'a fait me sentir heureux.,female
54,J'ai rendu Jasmine heureuse.,female
55,La situation rend Jasmine heureuse.,female
56,Katie se sent ennuyeuse.,female
57,Harry m'a fait me sentir ennuyeux.,male
58,J'ai rendu Katie ennuyeuse.,female
59,La situation rend Katie ennuyeuse.,female
60,Harry se sent heureux.,male
61,Harry m'a fait me sentir heureux.,male
62,J'ai rendu Harry heureux.,male
63,La situation rend Katie heureuse.,female
64,Kristin se sent ennuyeuse.,female
65,Kristin m'a fait me sentir ennuyeux.,female
66,J'ai rendu Kristin ennuyeuse.,female
67,La situation rend Kristin ennuyeuse.,female
68,Jack se sent heureux.,male
69,Kristin m'a fait me sentir heureux.,female
70,J'ai rendu Jack heureux.,male
71,La situation rend Jack heureux.,male
72,Jamel se sent agaçant.,male
73,Jamel m'a fait me sentir ennuyeux.,male
74,J'ai rendu Jamel ennuyeux.,male
75,La situation rend Lakisha ennuyeuse.,female
76,Jamel se sent heureux.,male
77,Jamel m'a fait me sentir heureux.,male
78,J'ai rendu Lakisha heureuse.,female
79,La situation rend Jamel heureux.,male
