Gender,Race,Emotion,Sentiment,RG
1,1,1,0.83,1
1,1,1,-0.63,1
1,1,1,-0.96,1
1,1,1,-0.41,1
1,1,2,-0.97,1
1,1,2,-0.74,1
1,1,2,-0.0,1
1,1,2,-0.61,1
1,1,3,0.05,1
1,1,3,-0.74,1
1,1,3,0.94,1
1,1,3,0.48,1
2,1,1,0.82,2
2,1,1,-1.0,2
2,1,1,-0.32,2
2,1,1,-0.43,2
2,1,2,0.28,2
2,1,2,0.5,2
2,1,2,0.37,2
2,1,2,-0.57,2
2,1,3,-0.83,2
2,1,3,0.2,2
2,1,3,-0.92,2
2,1,3,-0.31,2
1,2,1,-0.94,3
1,2,1,-0.24,3
1,2,1,0.12,3
1,2,1,-0.67,3
1,2,2,0.64,3
1,2,2,-0.19,3
1,2,2,-0.32,3
1,2,2,0.35,3
1,2,3,0.52,3
1,2,3,0.59,3
1,2,3,-0.48,3
1,2,3,-0.53,3
2,2,1,-0.43,4
2,2,1,-0.01,4
2,2,1,-0.79,4
2,2,1,-1.0,4
2,2,2,0.93,4
2,2,2,-0.17,4
2,2,2,-0.87,4
2,2,2,-0.98,4
2,2,3,0.76,4
2,2,3,-0.97,4
2,2,3,-0.59,4
2,2,3,0.69,4
0,0,1,-0.62,0
0,0,1,0.13,0
0,0,1,0.61,0
0,0,1,0.24,0
0,0,1,-0.83,0
0,0,1,-0.56,0
0,0,1,-0.66,0
0,0,1,0.92,0
0,0,2,-0.98,0
0,0,2,-0.39,0
0,0,2,0.92,0
0,0,2,0.93,0
0,0,2,0.68,0
0,0,2,-0.43,0
0,0,2,0.69,0
0,0,2,0.1,0
0,0,3,0.64,0
0,0,3,-0.25,0
0,0,3,-0.08,0
0,0,3,-0.92,0
0,0,3,0.29,0
0,0,3,0.82,0
0,0,3,-0.8,0
0,0,3,0.13,0
