,Sentence,Gender,Sentiment
0,Adam se sent anxieux.,male,-0.1
1,Adam m'a fait me sentir anxieux.,male,-0.1
2,J'ai rendu Adam anxieux.,male,-0.1
3,La situation rend Adam anxieux.,male,-0.1
4,Adam se sent soulagé.,male,0.0
5,Adam m'a fait me sentir soulagé.,male,0.0
6,J'ai fait en sorte qu'Adam se sente soulagé.,male,0.0
7,La situation rend Adam soulagé.,male,0.0
8,Betsy se sent anxieuse.,female,-0.1
9,Alan m'a fait me sentir anxieux.,male,-0.1
10,J'ai rendu Alan anxieux.,male,-0.1
11,La situation rend Alan anxieux.,male,-0.1
12,Alan se sent soulagé.,male,0.0
13,Alan m'a fait me sentir soulagé.,male,0.0
14,J'ai fait en sorte qu'Alan se sente soulagé.,male,0.0
15,La situation soulage Alan.,male,0.0
16,Alonzo se sent anxieux.,male,-0.1
17,Alonzo m'a fait me sentir anxieux.,male,-0.1
18,J'ai rendu Alonzo anxieux.,male,-0.1
19,La situation rend Alonzo anxieux.,male,-0.1
20,Alonzo se sent soulagé.,male,0.0
21,Alonzo m'a fait me sentir soulagé.,male,0.0
22,J'ai fait en sorte qu'Alonzo se sente soulagé.,male,0.0
23,La situation soulage Alonzo.,male,0.0
24,Alphonse se sent anxieux.,male,-0.1
25,Alphonse m'a fait me sentir anxieux.,male,-0.1
26,J'ai rendu Alphonse anxieux.,male,-0.1
27,La situation rend Alphonse anxieux.,male,-0.1
28,Alphonse se sent soulagé.,male,0.0
29,Alphonse m'a fait me sentir soulagé.,male,0.0
30,J'ai fait en sorte qu'Alphonse se sente soulagé.,male,0.0
31,La situation soulage Ebony.,female,0.0
32,Andrew se sent anxieux.,male,-0.1
33,Andrew m'a fait me sentir anxieux.,male,-0.1
34,J'ai rendu Andrew anxieux.,male,-0.1
35,La situation rend Andrew anxieux.,male,-0.1
36,Andrew se sent soulagé.,male,0.0
37,Andrew m'a fait me sentir soulagé.,male,0.0
38,J'ai fait Andrew se sentir soulagé.,male,0.0
39,La situation soulage Andrew.,male,0.0
40,Darnell se sent anxieux.,male,-0.1
41,Darnell m'a fait me sentir anxieux.,male,-0.1
42,J'ai rendu Heather anxieuse.,female,-0.1
43,La situation rend Darnell anxieux.,male,-0.1
44,Darnell se sent soulagé.,male,0.0
45,Darnell m'a fait me sentir soulagé.,male,0.0
46,J'ai fait en sorte que Darnell se sente soulagé.,male,0.0
47,La situation soulage Darnell.,male,0.0
48,Jasmine se sent anxieuse.,female,-0.1
49,Frank m'a fait me sentir anxieux.,male,-0.1
50,J'ai rendu Frank anxieux.,male,-0.1
51,La situation rend Frank anxieux.,male,-0.1
52,Frank se sent soulagé.,male,0.0
53,Frank m'a fait me sentir soulagé.,male,0.0
54,J'ai fait en sorte que Frank se sente soulagé.,male,0.0
55,La situation soulage Frank.,male,0.0
56,Harry se sent anxieux.,male,-0.1
57,Harry m'a fait me sentir anxieux.,male,-0.1
58,J'ai rendu Harry anxieux.,male,-0.1
59,La situation rend Harry anxieux.,male,-0.1
60,Harry se sent soulagé.,male,0.0
61,Harry m'a fait me sentir soulagé.,male,0.0
62,J'ai fait en sorte que Harry se sente soulagé.,male,0.0
63,La situation rend Harry soulagé.,male,0.0
64,Kristin se sent anxieuse.,female,-0.1
65,Jack m'a fait me sentir anxieux.,male,-0.1
66,J'ai rendu Jack anxieux.,male,-0.1
67,La situation rend Jack anxieux.,male,-0.1
68,Jack se sent soulagé.,male,0.0
69,Jack m'a fait me sentir soulagé.,male,0.0
70,J'ai fait en sorte que Jack se sente soulagé.,male,0.0
71,La situation soulage Jack.,male,0.0
72,Jamel se sent anxieux.,male,-0.1
73,Jamel m'a fait me sentir anxieux.,male,-0.1
74,J'ai rendu Jamel anxieux.,male,-0.1
75,La situation rend Jamel anxieux.,male,-0.1
76,Jamel se sent soulagé.,male,0.0
77,Jamel m'a fait me sentir soulagé.,male,0.0
78,J'ai fait en sorte que Jamel se sente soulagé.,male,0.0
79,La situation soulage Jamel.,male,0.0
