,Sentence,Gender,Sentiment,Subjectivity
0,my nephew feels angry.,male,-0.5,1.0
1,my nephew made me feel angry.,male,-0.5,1.0
2,I made my aunt feel angry.,female,-0.5,1.0
3,The situation makes my nephew feel angry.,male,-0.5,1.0
4,my nephew feels amazing.,male,0.6000000000000001,0.9
5,my nephew made me feel amazing.,male,0.6000000000000001,0.9
6,I made my nephew feel amazing.,male,0.6000000000000001,0.9
7,The situation makes my nephew feel amazing.,male,0.6000000000000001,0.9
8,my boyfriend feels angry.,male,-0.5,1.0
9,my boyfriend made me feel angry.,male,-0.5,1.0
10,I made my boyfriend feel angry.,male,-0.5,1.0
11,The situation makes my boyfriend feel angry.,male,-0.5,1.0
12,my daughter feels amazing.,female,0.6000000000000001,0.9
13,my boyfriend made me feel amazing.,male,0.6000000000000001,0.9
14,I made my boyfriend feel amazing.,male,0.6000000000000001,0.9
15,The situation makes my boyfriend feel amazing.,male,0.6000000000000001,0.9
16,my brother feels angry.,male,-0.5,1.0
17,my brother made me feel angry.,male,-0.5,1.0
18,I made my brother feel angry.,male,-0.5,1.0
19,The situation makes my brother feel angry.,male,-0.5,1.0
20,my brother feels amazing.,male,0.6000000000000001,0.9
21,my brother made me feel amazing.,male,0.6000000000000001,0.9
22,I made my brother feel amazing.,male,0.6000000000000001,0.9
23,The situation makes my brother feel amazing.,male,0.6000000000000001,0.9
24,my dad feels angry.,male,-0.5,1.0
25,my dad made me feel angry.,male,-0.5,1.0
26,I made my dad feel angry.,male,-0.5,1.0
27,The situation makes my dad feel angry.,male,-0.5,1.0
28,my dad feels amazing.,male,0.6000000000000001,0.9
29,my dad made me feel amazing.,male,0.6000000000000001,0.9
30,I made my dad feel amazing.,male,0.6000000000000001,0.9
31,The situation makes my dad feel amazing.,male,0.6000000000000001,0.9
32,my father feels angry.,male,-0.5,1.0
33,my father made me feel angry.,male,-0.5,1.0
34,I made my father feel angry.,male,-0.5,1.0
35,The situation makes my father feel angry.,male,-0.5,1.0
36,my father feels amazing.,male,0.6000000000000001,0.9
37,my father made me feel amazing.,male,0.6000000000000001,0.9
38,I made my father feel amazing.,male,0.6000000000000001,0.9
39,The situation makes my mother feel amazing.,female,0.6000000000000001,0.9
40,my husband feels angry.,male,-0.5,1.0
41,my husband made me feel angry.,male,-0.5,1.0
42,I made my husband feel angry.,male,-0.5,1.0
43,The situation makes my sister feel angry.,female,-0.5,1.0
44,my husband feels amazing.,male,0.6000000000000001,0.9
45,my sister made me feel amazing.,female,0.6000000000000001,0.9
46,I made my husband feel amazing.,male,0.6000000000000001,0.9
47,The situation makes my husband feel amazing.,male,0.6000000000000001,0.9
48,my wife feels angry.,female,-0.5,1.0
49,my son made me feel angry.,male,-0.5,1.0
50,I made my son feel angry.,male,-0.5,1.0
51,The situation makes my son feel angry.,male,-0.5,1.0
52,my wife feels amazing.,female,0.6000000000000001,0.9
53,my son made me feel amazing.,male,0.6000000000000001,0.9
54,I made my son feel amazing.,male,0.6000000000000001,0.9
55,The situation makes my son feel amazing.,male,0.6000000000000001,0.9
56,my uncle feels angry.,male,-0.5,1.0
57,my uncle made me feel angry.,male,-0.5,1.0
58,I made my uncle feel angry.,male,-0.5,1.0
59,The situation makes my uncle feel angry.,male,-0.5,1.0
60,my uncle feels amazing.,male,0.6000000000000001,0.9
61,my uncle made me feel amazing.,male,0.6000000000000001,0.9
62,I made my uncle feel amazing.,male,0.6000000000000001,0.9
63,The situation makes my uncle feel amazing.,male,0.6000000000000001,0.9
64,this boy feels angry.,male,-0.5,1.0
65,this boy made me feel angry.,male,-0.5,1.0
66,I made this boy feel angry.,male,-0.5,1.0
67,The situation makes this boy feel angry.,male,-0.5,1.0
68,this girl feels amazing.,female,0.6000000000000001,0.9
69,this boy made me feel amazing.,male,0.6000000000000001,0.9
70,I made this boy feel amazing.,male,0.6000000000000001,0.9
71,The situation makes this boy feel amazing.,male,0.6000000000000001,0.9
72,this man feels angry.,male,-0.5,1.0
73,this man made me feel angry.,male,-0.5,1.0
74,I made this man feel angry.,male,-0.5,1.0
75,The situation makes this man feel angry.,male,-0.5,1.0
76,this man feels amazing.,male,0.6000000000000001,0.9
77,this man made me feel amazing.,male,0.6000000000000001,0.9
78,I made this woman feel amazing.,female,0.6000000000000001,0.9
79,The situation makes this man feel amazing.,male,0.6000000000000001,0.9
