C_num,UB,User_gender,Text,Sentiment
1,0,0,"Hello, welcome to ALLURE! I'm Ally and I want to teach everyone how to solve a Rubik's Cube. Today we will learn the different movements that you must know to solve the white cross. Would you like to know more about the white cross and how we will learn the movements?",0.3
1,1,0,Level 1,-0.18
1,0,0,"Level: 1 At level 1, we can see that all the color stickers of the white border pieces are paired with their center piece of the same color, but to achieve the white cross, the white stickers must also be paired with the piece. white center. front face until the white-green border piece completes the White Cross. Click solve when you are ready",-0.74
1,1,0,Resolver,0.04
1,0,0,Look at the cube to see the moves being made. Good job! Choose another level or repeat this one:,0.16
1,1,0,Level 2,0.35
1,0,0,"Level: 2 In level two, we want the green sticker on the white-green border to match the green center piece. Since the white sticker on the trim piece is face down, flip the face down until the green stickers match up. After performing these moves, you can use the skills you learned in level 1 to put the white and green border piece back into place. Click solve when you are ready",-0.05
1,1,0,resolver,0.71
1,0,0,Look at the cube to see the moves being made. You are doing great! Choose another level or repeat this one:,0.29
1,1,0,Level 3,-0.65
1,0,0,"Level: 3 For level 3, we want the green sticker on the white-green border to match the green center piece. The moves I'll give you will be determined by whether the white sticker on the border piece is on the left or right. face To match the green stickers, do the following: l After performing these moves, you can use the skills you learned in level 1 to put the white and green border piece back into place. Click solve when you are ready",-0.9
1,1,0,resolver,0.12
1,0,0,Look at the cube to see the moves being made. Great job! Choose another level or repeat this one:,0.37
1,1,0,level 4,-0.75
1,0,0,"Level: 4 To complete level 4, we need to match the white and green stickers of the white-green border piece to its center pieces, but currently only the white stickers are paired. Based on your setup, the moves to match the green stickers depend on whether the white and green border piece is on the left or right face, so feel free to try this level a few times. To match the green stickers, perform the following moves: r u ' r ' u Click solve when ready",-0.92
1,1,0,resolver,-0.84
1,0,0,Look at the cube to see the moves being made. You'll be able to solve a Rubik's Cube in no time! Choose another level or repeat this one:,-0.79
1,1,0,level 5,-0.09
1,0,0,"Level: 5 At level 5, our goal is to match the white and green stickers of the white-green border piece with their center pieces and complete the White Cross. At this moment, the green sticker is on the bottom face and the white piece is on the front face The following moves will teach you how to snap the border piece into place: d r f ' r ' Click solve when ready",-0.01
1,1,0,resolver,-0.36
1,0,0,Look at the cube to see the moves being made. You'll be able to solve a Rubik's Cube in no time! Choose another level or repeat this one:,-0.12
1,1,0,level 6,-0.2
1,0,0,"Level: 6 At level 6, the green label of the white-green border piece is on the top face and the white label is on the front face To move the border piece into place, match the stickers to its center pieces and resolve the white cross, you would use the following moves: f u 'r u Click resolve when you are ready",-0.36
1,1,0,Resolver,-0.47
1,0,0,Look at the cube to see the moves being made. You'll be able to solve a Rubik's Cube in no time! Choose another level or repeat this one:,-0.42
1,1,0,level 7,0.43
1,0,0,"Level: 7 For level 7, the green sticker with the white-green border is on the top face and the white sticker is on the back face. We want to match the green sticker to the green center piece, so we'll do the following: b u l u ' Click solve when you're ready",0.07
1,1,0,Resolver,0.8
1,0,0,Look at the cube to see the moves being made. Good job! Choose another level or repeat this one:,0.1
1,1,0,level 8,-0.06
1,0,0,"Level: 8 When we are done with level 8, the white and green stickers on the white and green border piece will be paired with their center pieces. At this time, the green sticker is on the bottom face and the white sticker is on the face later There are two different ways to handle this level, so feel free to go through it a few times. To put the border piece in place for this cube setup, we can use the following moves: d r f ' r ' Click solve when ready",-0.45
1,1,0,Resolver,-0.58
1,0,0,Look at the cube to see the moves being made. You are doing great! Choose another level or repeat this one:,-0.98
1,1,0,level 9,0.4
1,0,0,"Level: 9 In our final level, we will match the green sticker on the white-green border with the green center piece. Currently, the green sticker is on the back side and the white sticker is on the top side. We will put the border in place. completing these moves: b u l l u ' After performing these moves, you can use the skills you learned in level 1 to put the white and green border piece back into place. Click solve when you are ready",-0.67
1,1,0,Resolver,0.32
