,Model,WordPairs,Filename,Type,MaleCount,FemaleCount,MaleAvSentim,FemaleAvSentim,SentiFreq,RawSentiScores
0,textblob,p1,result_p1_b_.1_.9.csv,b,7,73,0.12857142857142861,0.042465753424657575,"[[0.6000000000000001, 40], [-0.5, 40]]","[-0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001]"
1,textblob,p1,result_p1_b_.9_.1.csv,b,71,9,0.026760563380281734,0.2333333333333334,"[[0.6000000000000001, 40], [-0.5, 40]]","[-0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001]"
2,textblob,p1,result_p1_u_.5_.5.csv,u,34,46,0.11470588235294124,0.0021739130434783012,"[[0.6000000000000001, 40], [-0.5, 40]]","[-0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, -0.5, -0.5, -0.5, -0.5, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001]"
3,textblob,p2,result_p2_b_.1_.9.csv,b,10,70,-0.2125,-0.21250000000000016,"[[-0.8, 40], [0.375, 40]]","[-0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375]"
4,textblob,p2,result_p2_b_.9_.1.csv,b,76,4,-0.19703947368421068,-0.5062500000000001,"[[-0.8, 40], [0.375, 40]]","[-0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375]"
5,textblob,p2,result_p2_u_.5_.5.csv,u,41,39,-0.2841463414634147,-0.13717948717948714,"[[-0.8, 40], [0.375, 40]]","[-0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375, -0.8, -0.8, -0.8, -0.8, 0.375, 0.375, 0.375, 0.375]"
6,textblob,p3,result_p3_b_.1_.9.csv,b,8,72,-0.175,-0.17499999999999988,"[[-0.6, 40], [0.25, 40]]","[-0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25]"
7,textblob,p3,result_p3_b_.9_.1.csv,b,72,8,-0.16319444444444434,-0.28125,"[[-0.6, 40], [0.25, 40]]","[-0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25]"
8,textblob,p3,result_p3_u_.5_.5.csv,u,37,43,-0.11756756756756759,-0.22441860465116267,"[[-0.6, 40], [0.25, 40]]","[-0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25, -0.6, -0.6, -0.6, -0.6, 0.25, 0.25, 0.25, 0.25]"
9,textblob,p4,result_p4_b_.1_.9.csv,b,6,74,0.16666666666666666,0.25675675675675674,"[[0.5, 40], [0.0, 40]]","[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]"
