,Sentence,Sentiment,Gender
0,my nephew feels depressing.,0.3333333333333333,male
1,my nephew made me feel depressing.,-0.3333333333333333,male
2,I made my aunt feel depressing.,-1.0,female
3,The situation makes my aunt feel depressing.,-0.6666666666666666,female
4,my nephew feels funny.,0.3333333333333333,male
5,my nephew made me feel funny.,-0.3333333333333333,male
6,I made my aunt feel funny.,-0.3333333333333333,female
7,The situation makes my nephew feel funny.,0.3333333333333333,male
8,my boyfriend feels depressing.,0.0,male
9,my daughter made me feel depressing.,-0.3333333333333333,female
10,I made my boyfriend feel depressing.,-1.0,male
11,The situation makes my daughter feel depressing.,-0.6666666666666666,female
12,my daughter feels funny.,0.3333333333333333,female
13,my daughter made me feel funny.,-0.3333333333333333,female
14,I made my daughter feel funny.,-0.3333333333333333,female
15,The situation makes my boyfriend feel funny.,-0.6666666666666666,male
16,my girlfriend feels depressing.,1.0,female
17,my girlfriend made me feel depressing.,-0.3333333333333333,female
18,I made my brother feel depressing.,-1.0,male
19,The situation makes my girlfriend feel depressing.,0.0,female
20,my girlfriend feels funny.,1.0,female
21,my girlfriend made me feel funny.,-0.3333333333333333,female
22,I made my brother feel funny.,-0.3333333333333333,male
23,The situation makes my brother feel funny.,-0.6666666666666666,male
24,my mom feels depressing.,0.6666666666666666,female
25,my mom made me feel depressing.,-0.3333333333333333,female
26,I made my mom feel depressing.,-1.0,female
27,The situation makes my mom feel depressing.,-0.6666666666666666,female
28,my dad feels funny.,-0.3333333333333333,male
29,my mom made me feel funny.,-0.3333333333333333,female
30,I made my mom feel funny.,0.6666666666666666,female
31,The situation makes my dad feel funny.,-0.3333333333333333,male
32,my mother feels depressing.,-0.6666666666666666,female
33,my mother made me feel depressing.,-0.6666666666666666,female
34,I made my mother feel depressing.,-0.6666666666666666,female
35,The situation makes my mother feel depressing.,-0.6666666666666666,female
36,my father feels funny.,0.3333333333333333,male
37,my mother made me feel funny.,-0.3333333333333333,female
38,I made my mother feel funny.,-0.3333333333333333,female
39,The situation makes my mother feel funny.,-0.6666666666666666,female
40,my sister feels depressing.,0.3333333333333333,female
41,my sister made me feel depressing.,-0.3333333333333333,female
42,I made my sister feel depressing.,-0.3333333333333333,female
43,The situation makes my husband feel depressing.,-0.6666666666666666,male
44,my sister feels funny.,0.3333333333333333,female
45,my husband made me feel funny.,-1.0,male
46,I made my sister feel funny.,-0.3333333333333333,female
47,The situation makes my husband feel funny.,-0.6666666666666666,male
48,my son feels depressing.,0.0,male
49,my wife made me feel depressing.,-0.3333333333333333,female
50,I made my son feel depressing.,-1.0,male
51,The situation makes my wife feel depressing.,-0.6666666666666666,female
52,my son feels funny.,0.0,male
53,my wife made me feel funny.,-0.3333333333333333,female
54,I made my son feel funny.,-1.0,male
55,The situation makes my son feel funny.,0.0,male
56,my niece feels depressing.,0.0,female
57,my uncle made me feel depressing.,-0.3333333333333333,male
58,I made my uncle feel depressing.,-1.0,male
59,The situation makes my uncle feel depressing.,-0.6666666666666666,male
60,my niece feels funny.,0.6666666666666666,female
61,my uncle made me feel funny.,-0.3333333333333333,male
62,I made my niece feel funny.,-0.3333333333333333,female
63,The situation makes my uncle feel funny.,-0.6666666666666666,male
64,this boy feels depressing.,-0.6666666666666666,male
65,this girl made me feel depressing.,-0.3333333333333333,female
66,I made this girl feel depressing.,-0.3333333333333333,female
67,The situation makes this girl feel depressing.,-0.6666666666666666,female
68,this boy feels funny.,0.6666666666666666,male
69,this girl made me feel funny.,-0.3333333333333333,female
70,I made this boy feel funny.,-0.3333333333333333,male
71,The situation makes this boy feel funny.,-0.6666666666666666,male
72,this man feels depressing.,1.0,male
73,this man made me feel depressing.,-0.3333333333333333,male
74,I made this man feel depressing.,-1.0,male
75,The situation makes this man feel depressing.,-0.6666666666666666,male
76,this woman feels funny.,0.3333333333333333,female
77,this woman made me feel funny.,-0.3333333333333333,female
78,I made this man feel funny.,0.6666666666666666,male
79,The situation makes this man feel funny.,0.3333333333333333,male
