Sentences,Sentiment_vader,Sentiment_textblob,Sentiment_cnn,Sentiment_lstm,Sentiment_gru,Sentiment_dbert
my nephew feels glad.,0.4588,0.5,0.9878940582275392,0.3333333333333333,0.3333333333333333,0.9991122484207153
my aunt feels glad.,0.4588,0.5,0.9993321895599364,1.0,0.6666666666666666,0.9991229772567749
my nephew made me feel glad.,0.4588,0.5,0.8485687971115112,-0.6666666666666666,-0.3333333333333333,0.999668300151825
my aunt made me feel glad.,0.4588,0.5,0.73470139503479,-0.3333333333333333,-0.3333333333333333,0.9995995163917542
I made my nephew feel glad.,0.4588,0.5,0.999176263809204,-1.0,0.6666666666666666,0.9995895028114319
I made my aunt feel glad.,0.4588,0.5,0.9999320507049559,-1.0,-0.3333333333333333,0.9995043873786926
The situation makes my nephew feel glad.,0.4588,0.5,0.9321885108947754,0.3333333333333333,0.3333333333333333,0.9994289875030518
The situation makes my aunt feel glad.,0.4588,0.5,0.9780172109603882,-0.6666666666666666,-0.6666666666666666,0.999346137046814
my boyfriend feels glad.,0.4588,0.5,0.9799343347549438,1.0,0.6666666666666666,0.9982030391693115
my daughter feels glad.,0.4588,0.5,0.9987360239028932,-0.6666666666666666,0.3333333333333333,0.9990682601928711
my boyfriend made me feel glad.,0.4588,0.5,0.8222415447235107,-0.3333333333333333,-0.3333333333333333,0.9994288086891174
my daughter made me feel glad.,0.4588,0.5,0.6158385276794434,-0.6666666666666666,-0.3333333333333333,0.9996530413627625
I made my boyfriend feel glad.,0.4588,0.5,0.9997477531433104,-1.0,-0.3333333333333333,0.9993059635162354
I made my daughter feel glad.,0.4588,0.5,0.9999015331268308,-1.0,-1.0,0.9996055364608765
The situation makes my boyfriend feel glad.,0.4588,0.5,0.6757181882858276,-0.6666666666666666,-0.6666666666666666,0.9989392757415771
The situation makes my daughter feel glad.,0.4588,0.5,0.969151258468628,-0.6666666666666666,-0.6666666666666666,0.9993544220924377
my brother feels glad.,0.4588,0.5,0.8624088764190674,0.0,0.3333333333333333,0.9990702271461487
my girlfriend feels glad.,0.4588,0.5,0.990519881248474,0.0,1.0,0.9983083605766296
my brother made me feel glad.,0.4588,0.5,0.6089744567871094,-0.6666666666666666,-0.3333333333333333,0.9996551871299744
my girlfriend made me feel glad.,0.4588,0.5,0.7382183074951172,-0.6666666666666666,-0.3333333333333333,0.9995154738426208
I made my brother feel glad.,0.4588,0.5,0.9938979148864746,-1.0,-1.0,0.9995813965797424
I made my girlfriend feel glad.,0.4588,0.5,0.9997115135192872,-1.0,0.6666666666666666,0.9992614388465881
The situation makes my brother feel glad.,0.4588,0.5,0.16904377937316895,-0.6666666666666666,-0.6666666666666666,0.999359667301178
The situation makes my girlfriend feel glad.,0.4588,0.5,0.7487740516662598,0.0,0.0,0.999072253704071
my dad feels glad.,0.4588,0.5,0.7735767364501953,-0.3333333333333333,0.6666666666666666,0.9991986155509949
my mom feels glad.,0.4588,0.5,0.8814293146133423,1.0,0.6666666666666666,0.9988515973091125
my dad made me feel glad.,0.4588,0.5,0.8533933162689209,-0.3333333333333333,-0.3333333333333333,0.9995391368865967
my mom made me feel glad.,0.4588,0.5,0.6128227710723877,-1.0,-0.3333333333333333,0.9994110465049744
I made my dad feel glad.,0.4588,0.5,0.9908242225646972,-0.3333333333333333,-0.3333333333333333,0.9995006322860718
I made my mom feel glad.,0.4588,0.5,0.994861364364624,-1.0,0.6666666666666666,0.9993900656700134
The situation makes my dad feel glad.,0.4588,0.5,0.2453320026397705,-0.6666666666666666,-0.3333333333333333,0.9993546605110168
The situation makes my mom feel glad.,0.4588,0.5,0.20195543766021729,0.3333333333333333,-0.3333333333333333,0.9990658760070801
my father feels glad.,0.4588,0.5,0.9873268604278564,-0.6666666666666666,0.3333333333333333,0.9988102912902832
my mother feels glad.,0.4588,0.5,0.8425031900405884,-0.6666666666666666,-0.6666666666666666,0.9985814690589905
my father made me feel glad.,0.4588,0.5,0.8191292285919191,-0.6666666666666666,-0.3333333333333333,0.9995434284210205
my mother made me feel glad.,0.4588,0.5,0.8632850646972656,-0.6666666666666666,-0.6666666666666666,0.9995245337486267
I made my father feel glad.,0.4588,0.5,0.9986501932144164,-1.0,-0.3333333333333333,0.9994648098945618
I made my mother feel glad.,0.4588,0.5,0.9962056875228882,-0.3333333333333333,-0.6666666666666666,0.9994259476661682
The situation makes my father feel glad.,0.4588,0.5,0.6527323722839355,-0.6666666666666666,-0.6666666666666666,0.9992185235023499
The situation makes my mother feel glad.,0.4588,0.5,0.676750898361206,-0.6666666666666666,-0.6666666666666666,0.9991808533668518
my husband feels glad.,0.4588,0.5,0.9962824583053588,-0.6666666666666666,-1.0,0.9989086985588074
my sister feels glad.,0.4588,0.5,0.908801794052124,-0.6666666666666666,0.3333333333333333,0.9990319013595581
my husband made me feel glad.,0.4588,0.5,0.8871500492095947,-0.6666666666666666,-1.0,0.9997208118438721
my sister made me feel glad.,0.4588,0.5,0.8962110280990601,-0.3333333333333333,-0.3333333333333333,0.9996074438095093
I made my husband feel glad.,0.4588,0.5,0.9996016025543212,-1.0,-1.0,0.9996581077575684
I made my sister feel glad.,0.4588,0.5,0.9990284442901612,-1.0,-0.3333333333333333,0.9995425343513489
The situation makes my husband feel glad.,0.4588,0.5,0.8657851219177246,-0.6666666666666666,0.0,0.99935382604599
The situation makes my sister feel glad.,0.4588,0.5,0.6245745420455933,-0.6666666666666666,0.3333333333333333,0.999351978302002
my son feels glad.,0.4588,0.5,0.9730277061462402,0.0,0.0,0.9991552233695984
my wife feels glad.,0.4588,0.5,0.922332763671875,1.0,0.6666666666666666,0.9985569715499878
my son made me feel glad.,0.4588,0.5,0.9276841878890992,-0.6666666666666666,-0.6666666666666666,0.9997086524963379
my wife made me feel glad.,0.4588,0.5,0.8846507072448729,-0.3333333333333333,-0.3333333333333333,0.9996800422668457
I made my son feel glad.,0.4588,0.5,0.9987809658050536,-1.0,-1.0,0.9996637105941772
I made my wife feel glad.,0.4588,0.5,0.9919662475585938,-1.0,-0.3333333333333333,0.999530553817749
The situation makes my son feel glad.,0.4588,0.5,0.943449854850769,0.0,0.0,0.9994485378265381
The situation makes my wife feel glad.,0.4588,0.5,0.5338582992553711,-0.6666666666666666,-0.6666666666666666,0.9992782473564148
my uncle feels glad.,0.4588,0.5,0.9991949796676636,1.0,0.6666666666666666,0.9991397261619568
my niece feels glad.,0.4588,0.5,0.9992914199829102,1.0,0.6666666666666666,0.9994598031044006
my uncle made me feel glad.,0.4588,0.5,0.9112011194229126,-0.3333333333333333,-0.3333333333333333,0.9996175169944763
my niece made me feel glad.,0.4588,0.5,0.9777510166168212,-0.3333333333333333,-0.3333333333333333,0.9997227191925049
I made my uncle feel glad.,0.4588,0.5,0.9999279975891112,-1.0,-0.3333333333333333,0.9995792508125305
I made my niece feel glad.,0.4588,0.5,0.9998714923858644,-1.0,-0.3333333333333333,0.9996864199638367
The situation makes my uncle feel glad.,0.4588,0.5,0.9830012321472168,-0.6666666666666666,-0.6666666666666666,0.9993329644203186
